t_sim_s,x,y,z
24.0,-5.085469060588647,3.599120000000001,0.3
24.2,-5.099990939411354,3.599120000000001,0.3
24.4,-5.14273,3.656380939411355,0.3
24.6,-5.14273,3.756380939411355,0.3
24.8,-5.14273,3.856380939411355,0.3
25.0,-5.14273,3.956380939411355,0.3
25.2,-5.14273,4.056380939411355,0.3
25.4,-5.14273,4.1563809394113544,0.3
25.6,-5.14273,4.199120000000001,0.3
25.8,-5.14273,4.199120000000001,0.3
26.0,-5.14273,4.199120000000001,0.3
26.2,-5.14273,4.199120000000001,0.3
26.4,-5.14273,4.199120000000001,0.3
26.6,-5.14273,4.199120000000001,0.3
26.8,-5.14273,4.199120000000001,0.3
27.0,-5.14273,4.199120000000001,0.3
27.2,-5.14273,4.199120000000001,0.3
27.4,-5.14273,4.199120000000001,0.3
27.6,-5.14273,4.199120000000001,0.3
27.8,-5.14273,4.199120000000001,0.3
28.0,-5.14273,4.199120000000001,0.3
