t_sim_s,x,y,z
56.0,-1.6999999999999993,-2.066055512754677,0.3
56.2,-1.6999999999999993,-2.093944487245322,0.3
56.4,-1.6999999999999993,-2.193944487245322,0.3
56.6,-1.6999999999999993,-2.293944487245322,0.3
56.8,-1.6999999999999993,-2.393944487245322,0.3
57.0,-1.6999999999999993,-2.4939444872453223,0.3
57.2,-1.6999999999999993,-2.5939444872453223,0.3
57.4,-1.6999999999999993,-2.6939444872453224,0.3
57.6,-1.6999999999999993,-2.7939444872453225,0.3
57.8,-1.6999999999999993,-2.8939444872453226,0.3
58.0,-1.6999999999999993,-2.9939444872453227,0.3
58.2,-1.6999999999999993,-3.093944487245323,0.3
58.4,-1.7639444872453223,-3.13,0.3
58.6,-1.8639444872453224,-3.13,0.3
58.8,-1.9639444872453224,-3.13,0.3
59.0,-1.9999999999999991,-3.1939444872453233,0.3
59.2,-1.9999999999999991,-3.2939444872453234,0.3
59.4,-1.9999999999999991,-3.3939444872453235,0.3
59.6,-1.9999999999999991,-3.4939444872453236,0.3
59.8,-1.9999999999999991,-3.5939444872453237,0.3
60.0,-1.9999999999999991,-3.63,0.3
