panel,pair_index,A_P_G1A,B_P_G1A,utility_BP_P_G1A,utility_MBD_P_G1A,A_P_E2,B_P_E2,utility_BP_P_E2,utility_MBD_P_E2,Delta_A,Delta_B,Delta_utility_BP,Delta_utility_MBD,Delta_CNR,Delta_ED,Delta_FULL_tail_excess
OFFSTRIP,0,0.9375,-0.12536617775932743,1.2257114874048143,1.8222088001571124,0.96875,-0.07707442897788941,2.0574426297611907,1.592400236910065,0.03125,0.04829174878143802,0.8317311423563765,-0.22980856324704746,28.06981776448899,5.255061297661037,0.10030971921481513
OFFSTRIP,1,0.4375,-1.0808753378674782,2.45743011843412,8.073168974055687,0.875,-0.25000000000000006,-23.966567951669575,-1.0086406915473276,0.4375,0.8308753378674782,-26.423998070103693,-9.081809665603014,52.61327363330332,8.921500066708735,114.08739929931328
OFFSTRIP,2,0.90625,-0.18099489409553587,-13.373015470352975,1.5535925877542454,0.9375,-0.12505728679833372,-1.6452384472190182,0.2656854849910997,0.03125,0.05593760729720215,11.727777023133957,-1.2879071027631457,11.822308158678505,3.276977431859443,-14.764728488953004
