panel,pair_index,protocol,source0_id,source1_id,S,S_fold_min,S_fold_max,S_fold_std,W,W_fold_min,W_fold_max,W_fold_std,D_CNR,D_CNR_fold_min,D_CNR_fold_max,D_CNR_fold_std,ED,ED_fold_min,ED_fold_max,ED_fold_std,W_E,W_E_fold_min,W_E_fold_max,W_E_fold_std,D_ED,D_ED_fold_min,D_ED_fold_max,D_ED_fold_std
CENTRAL,0,P_G1A,pmfs_1_12,pmfs_2_12,27.192444318936225,3.2948767002986306,40.26073506881593,14.275736187076676,167.78623491101527,160.78648182713687,182.51757994445887,8.709677705778368,0.16116905996625935,0.0198652186330957,0.2205855188361978,0.08286227522671352,0.078268816006545,-0.9227858122618287,0.7549056139393215,0.6152631760333174,16.334221210588474,15.991826464799738,17.01392562061562,0.4063272134971304,0.0044203608694239095,-0.05669693517706486,0.04436986682390655,0.03728752960905331
CENTRAL,0,P_E2,pmfs_1_12,pmfs_2_12,7.902136483960863,4.276015608440155,10.677203101750315,2.500497348456197,35.35910531244021,32.91254287443828,38.411107198904986,1.969420263092202,0.22081942038242586,0.12992054806427222,0.27797176078392294,0.06189228643723821,0.4299404181741535,0.15234955619169455,0.6956887592850158,0.23001317733730076,7.726308973340949,7.471196109646758,8.028979813650116,0.1988547202941741,0.055033279290261236,0.020391588435863632,0.08664721738390418,0.028599429453083483
CENTRAL,1,P_G1A,pmfs_3_12,pmfs_4_12,57.61965813377378,40.42449297655264,69.62456712644519,11.127444872825624,54.58008120793983,51.3426724743597,58.25011061709566,2.451770180104662,1.0602960560255177,0.7439272270678516,1.2801403211527396,0.22372708014602805,4.642402998755766,3.845429581545088,5.182042182905537,0.5674053784484528,9.407095433731769,9.12261983720789,9.633640937264325,0.18396710044230907,0.49423155810372665,0.4086904526313451,0.5680432019938686,0.06563883600401373
CENTRAL,1,P_E2,pmfs_3_12,pmfs_4_12,24.567798269972535,19.421055904893493,31.906828459346524,4.548758769503277,16.920994297061398,15.28331790315125,17.583591424535207,0.9482900428287232,1.4547841479045025,1.114489895268557,1.8346633237220622,0.2642244530439718,3.193348494632685,2.5523089420657596,3.786893106046066,0.4633592712201171,5.2561047610133595,4.968488138289468,5.382035784256871,0.16713596807709805,0.6088178783549467,0.4776515266856923,0.7036172292126738,0.09368258722698038
CENTRAL,2,P_G1A,pmfs_5_12,pmfs_6_12,57.506898361578465,49.6143724031546,65.51416531219985,5.698546993651373,117.43265839748014,112.43980515247392,120.08141207535341,2.9850058355013824,0.4889380308259741,0.4412527426192659,0.5455812367614642,0.038440753487844155,3.586757364477557,3.1497364053515966,3.9339529024734805,0.2814552468090193,13.712575275828012,13.27923122522423,13.902690063912829,0.2517702356934877,0.26168206575872965,0.22760223389586573,0.2829634325720097,0.021234064599542395
CENTRAL,2,P_E2,pmfs_5_12,pmfs_6_12,16.634031503386613,11.906956718596026,20.734201628134844,3.5144765291185256,30.0962155994038,28.193510639683815,34.4572435312255,2.5394378169997998,0.5626899556954974,0.34555743577671605,0.7247750448239271,0.1452164296130957,2.172596260117456,1.272489235853965,2.691856023842175,0.5382768770714083,6.781887862360202,6.48092632701332,7.366398339195781,0.35191824317237796,0.3249913062481302,0.17274238742723425,0.4120411112741297,0.09136252301948664
CENTRAL,3,P_G1A,pmfs_7_12,pmfs_8_12,56.967804612495215,11.923680929219252,122.74534939887502,42.494769260390406,113.04265885056967,87.3353836485892,124.14893328359145,15.067071163261609,0.5155394351620619,0.10155973522723892,0.9886943540494788,0.36280778284672577,2.363999995406116,0.3665313954077778,5.340344043443707,1.917570505483103,12.91610978784245,11.44676723257593,13.682799344400195,0.8809384019778875,0.18301648151183972,0.028124821933934434,0.39029616009270424,0.1422828176059611
CENTRAL,3,P_E2,pmfs_7_12,pmfs_8_12,8.229696809984407,2.2465034949433913,19.941818402094764,7.16868231084388,41.277736976914575,34.53588570951441,47.94623227599785,5.783343286422917,0.19628866141374002,0.052583395346750175,0.4335405540232901,0.15561919469326407,0.08405209505755606,-0.5758337757836678,1.388344812653969,0.785676248447416,7.330385554332546,6.519087946032341,7.922481545706078,0.530115846300355,0.01074442838876944,-0.07268351115253645,0.181396966012623,0.1028231282057753
CENTRAL,4,P_G1A,pmfs_9_12,pmfs_10_12,57.06990538598105,20.39329923214733,95.86629096979574,33.58380034051169,104.3747299010184,93.40947645559498,114.7160563861766,7.540393071031002,0.5673535506932882,0.19449325422444586,1.0263015553381547,0.35994313644882725,3.011780692772376,1.228740797861553,4.865099643385265,1.6956164173807815,12.308634792140062,11.6827131055441,13.018005903725495,0.47650446907957045,0.2492042019945223,0.09959993712685303,0.4164357713339411,0.14597308036995235
CENTRAL,4,P_E2,pmfs_9_12,pmfs_10_12,15.314373423905973,10.607317790283876,21.242146066861512,4.774059814325462,31.820186899709377,30.433077182899858,35.44856019732852,2.0979598257386356,0.47898224999030453,0.3469581019141951,0.6908177615178882,0.1430745150783502,1.2660602249993627,0.9267262360385775,1.6263158111100111,0.3139069052686383,6.784539351061996,6.548858582348946,7.044931512202984,0.17645746220014186,0.18680703220111078,0.13727162734576426,0.24833576579157976,0.047240469128179856
CENTRAL,5,P_G1A,pmfs_11_12,pmfs_12_12,1157.1269206542188,1139.431118897115,1169.5913613978573,11.224306069039375,31.912973205973472,21.729414753663086,37.356278041918465,6.051571946829553,38.008377811827785,30.501730328096123,53.82525828034652,9.254308356399267,56.27873345482853,55.019500766247155,57.73955276705757,0.9949185336139444,6.770109585574422,5.919943136775869,7.297262661514145,0.541753864699053,8.381547439640656,7.539745150789991,9.753396516312835,0.8597731411139896
CENTRAL,5,P_E2,pmfs_11_12,pmfs_12_12,881.7803979769096,871.7133371755215,888.1723978746427,6.383459994570714,11.475475205752304,8.998010838771144,13.144418278885993,1.6673694157793781,78.64384421037235,66.31813737812128,97.90703971741684,12.449971255894232,51.22234256589121,50.37348194674912,51.81367295152155,0.581190614792611,4.445136301635659,4.048211940154782,4.752114494801051,0.29885281990986184,11.584480499491661,10.60022480556998,12.799150271141354,0.9117440770721466
CENTRAL,6,P_G1A,pmfs_13_12,pmfs_14_12,93.9053063393832,74.3122929343332,138.85971695201687,26.20857204851818,44.798441787154175,35.37994894779451,52.11845144327139,6.184578235204797,2.10506369879788,1.6208882737151233,2.89836447373134,0.5098705502336403,6.564066506628303,5.137413873778183,9.387389999026816,1.6745659818987721,8.45239746767949,7.567729498535669,8.887277981295993,0.5260245749577626,0.7771873496246761,0.6010703252901789,1.0658437546221007,0.18738808414372227
CENTRAL,6,P_E2,pmfs_13_12,pmfs_14_12,20.171734601961806,14.30746079556042,31.350430944463973,6.585580451397987,20.057142773162383,15.08864020978072,22.21866181063536,2.887017065253347,1.0044606581629292,0.7905250003043066,1.4707310729541896,0.2760409927998588,2.224935277929273,1.7512456385066546,3.2568248864172,0.6010417975987807,5.733144352940071,5.042855975151198,6.081888815002286,0.4052322646034299,0.38865293332153006,0.2879443692204763,0.5503101851374524,0.0996946487085211
CENTRAL,7,P_G1A,pmfs_15_12,pmfs_16_12,492.92244213375693,406.7663436140509,557.4955546677438,54.40601025026069,225.68016059982676,168.08834062726652,263.0411536707325,38.17636718880391,2.2112744024208375,1.9692969352139191,2.4199557333702444,0.17762280336586486,17.721400681838222,16.645009874527872,18.508230925253347,0.7653289460536266,18.030903067549254,15.838446667150087,19.57710712883063,1.3996235043296732,0.9864539242341634,0.9222695096255663,1.050924388250396,0.05390556839230376
CENTRAL,7,P_E2,pmfs_15_12,pmfs_16_12,108.8002057215183,84.04696499674414,123.09119067177423,15.07877315723089,58.00192541189537,46.649044078457,66.38686975111992,7.966604389827358,1.8823907908106678,1.70055171979454,2.1731750449652867,0.1767283463963391,8.046028671567985,6.845128456765236,8.916697408952519,0.7890785122511741,9.284212038959332,8.49897973909867,9.895922601590437,0.5204562047286425,0.8660286288413004,0.8054059036366554,0.9719621410834934,0.06483058309862419
