panel,pair_index,A_P_G1A,B_P_G1A,utility_BP_P_G1A,utility_MBD_P_G1A,A_P_E2,B_P_E2,utility_BP_P_E2,utility_MBD_P_E2,Delta_A,Delta_B,Delta_utility_BP,Delta_utility_MBD
CENTRAL,0,0.5625,-0.6610693513154691,-1.4245581734378483,2.8219953957080772,0.71875,-0.5146007900783846,-2.6218381273864875,-1.1798582050087854,0.15625,0.14646856123708452,-1.1972799539486392,-4.001853600716863
CENTRAL,1,0.6875,-0.4947811062388261,-0.48275636382909726,-0.05614643624925675,0.90625,-0.1799990711972801,0.9803744415388658,1.5851046527167485,0.21875,0.314782035041546,1.463130805367963,1.6412510889660052
CENTRAL,2,0.96875,-0.0826670210328099,0.5520504728243036,0.7209649113707084,0.9375,-0.1264608344209197,-0.33379751906306576,0.4668498722177221,-0.03125,-0.04379381338810981,-0.8858479918873694,-0.2541150391529863
CENTRAL,3,0.6875,-0.5122444552655734,-12.49005658249834,-19.917392833155702,0.59375,-0.7823002161971515,6.6626382567808555,0.6598380993378496,-0.09375,-0.2700557609315781,19.152694839279196,20.577230932493553
CENTRAL,4,0.53125,-0.8877272171113362,18.643180546500485,1.7188078946898386,0.5,-0.935879922688124,-3.327272199197248,-1.1563921201319172,-0.03125,-0.04815270557678786,-21.970452745697735,-2.875200014821756
CENTRAL,5,1.0,-0.0,-7.551963181173555e-46,-7.547593121719167e-46,1.0,-0.0,9.881838767492964e-27,-2.9617050102419963e-34,0.0,0.0,9.881838767492964e-27,-2.961705010234449e-34
CENTRAL,6,0.75,-0.27290727689578276,0.43035077940729444,0.1362702101315364,0.75,-0.35934313903446036,0.17814262190783575,0.1618240672379681,0.0,-0.0864358621386776,-0.2522081574994587,0.02555385710643171
CENTRAL,7,0.84375,-0.3117471454004133,-1.7017039170297767,-1.6998356738042815,0.8125,-0.3157577674362328,0.6858302948532948,0.7448564612993225,-0.03125,-0.004010622035819478,2.3875342118830716,2.4446921351036037
CENTRAL,8,0.53125,-0.7098076673607788,4.6551021501355265,0.5780890001737375,0.5625,-0.8261553676408864,1.0293317496247165,1.9917961449380672,0.03125,-0.11634770028010755,-3.62577040051081,1.4137071447643297
CENTRAL,9,0.5,-0.6784880386390986,0.17199407825371882,1.0097050096934428,0.5625,-0.7062814850417181,1.6872760099674244,1.3247617438255825,0.0625,-0.027793446402619493,1.5152819317137056,0.31505673413213975
CENTRAL,10,0.90625,-0.17695012143730254,-10.383048228363407,-6.7723104649810715,0.875,-0.2485259454180286,6.925052961687086,-1.1105090296078188,-0.03125,-0.07157582398072607,17.308101190050493,5.661801435373253
CENTRAL,11,0.625,-0.6123269335536199,3.041279794350816,2.102637891083621,0.59375,-0.684670811184789,-0.13490388615123017,-0.303847771155616,-0.03125,-0.07234387763116912,-3.1761836805020462,-2.406485662239237
CENTRAL,12,0.4375,-0.9266151915961311,6.636792487296589,5.439760466011116,0.90625,-0.19117358742538118,12.137736547645964,3.794439093816269,0.46875,0.73544160417075,5.500944060349376,-1.6453213721948465
CENTRAL,13,0.875,-0.24292424947749067,-4.6096520083312225,-2.975851230881643,0.625,-0.530613635057491,0.3075846718186117,3.4235757601251127,-0.25,-0.28768938558000035,4.917236680149834,6.399426991006756
CENTRAL,14,0.96875,-0.06858497413831238,-0.14140874775235643,-0.24803194266511566,0.6875,-0.5058684368425345,0.025812982964736886,0.4165731314899983,-0.28125,-0.4372834627042221,0.16722173071709331,0.6646050741551139
