pair_index,D_CNR__A_spearman,D_CNR__B_spearman,D_ED__A_spearman,D_ED__B_spearman
0,0.45855171797533967,0.45105159313211024,0.5219351465692006,0.5055623189622602
1,0.45242575070765656,0.4441459216657571,0.5189720121419144,0.5012174132068342
2,0.46391799897187014,0.4560471852567063,0.5291999047261656,0.5109147390957558
3,0.45946112319039994,0.4547668024012426,0.5247691070068307,0.5102220729608329
4,0.45888655675376067,0.45417908568070187,0.5236293794132585,0.5096343562402922
5,0.46050963508856574,0.4514294110238865,0.5261095390497823,0.5083119936190755
6,0.4671774088320464,0.4522480164560681,0.5323863339842158,0.5068007220519709
7,0.458474316740092,0.4551866000587717,0.5229740234940929,0.509676336006045
8,0.4625316231063672,0.4530876117711262,0.5259232622751906,0.5093824776457746
9,0.4600450342968817,0.45420007556357833,0.5208549771175438,0.509718315771798
10,0.45942563984855805,0.45312959153687915,0.5253734717787797,0.5102220729608329
11,0.46439366052610315,0.4594055665169388,0.5285445488070001,0.5138113429327065
12,0.44952829708728687,0.44120733806305357,0.515334333144078,0.49800596112673695
13,0.4497643257228374,0.4447756181520507,0.514607032452493,0.5001889089458881
14,0.48228855736431386,0.47210444565719323,0.5269981701633034,0.5107678099156207
15,0.4538004549800948,0.445993031358885,0.5196276403333848,0.5022878972335334
16,0.45223299778323744,0.4441459216657571,0.5182078767330953,0.5015112715671046
17,0.45965370850659754,0.45056882582595187,0.5260567040755867,0.5079551656101758
18,0.4535076913755278,0.4458670920616262,0.5197462293655086,0.5032114520800973
19,0.4829478922606365,0.4765333109441249,0.5455976768567803,0.530267411107846
20,0.46409274509966114,0.45682381092313507,0.5228868497012404,0.5059401368540363
21,0.4661879402884435,0.4556483774820536,0.5251591923505111,0.5096343562402922
22,0.4599073163827363,0.46005625288610885,0.5237002642264644,0.5140212417614709
23,0.4608935885605949,0.45367532849166703,0.522120475741181,0.5064019142773183
24,0.44235161577217064,0.43478443390285876,0.5090554308489265,0.4922547332185886
25,0.4573933986371453,0.4510935728978633,0.5231779349325556,0.5079761554930522
26,0.45907475875143083,0.4529196927081147,0.5238758579988628,0.5075563578355232
27,0.44540764027394336,0.4382477645774736,0.5115087100337405,0.49494143822677467
28,0.4442655965154954,0.43619075605558116,0.5104935600262313,0.4931363082993996
29,0.453723410357805,0.4439780026027454,0.5212495167351371,0.5026027454766802
30,0.45707477799416196,0.4474413332773603,0.5217443995186632,0.5031484824314679
31,0.4593578326511024,0.4450694765123211,0.5260567040755867,0.5030225431342092
32,0.4498201664986587,0.44307543763905793,0.5156420920870123,0.5002938583602703
33,0.4742548196539989,0.4661433189202804,0.5329114560253947,0.5158053818059695
34,0.4612098624898362,0.45249989505058563,0.5252782430943235,0.5087737710423575
35,0.459695976485954,0.4588388396792746,0.5245667578032717,0.5116074052306787
36,0.45907290754592445,0.46433818899290535,0.5240174040352185,0.5217665085428823
37,0.46015581857805904,0.45468284286973676,0.5251581813678862,0.5098862348348095
38,0.46120815266069204,0.45417908568070187,0.5284469678922326,0.5139792619957181
39,0.4591462610157556,0.4516183199697745,0.5269031926093573,0.5119012635909491
40,0.4578041878922862,0.45128248184375125,0.5239570728059958,0.5084379329163343
41,0.459135925759481,0.45008605851979344,0.5260567040755867,0.5080181352588052
42,0.4735598737148709,0.4668779648209562,0.5374162235276337,0.5218714579572646
43,0.45495000420994575,0.4451324461609504,0.5218522395762752,0.503379371143109
44,0.45558444930588066,0.45434700474371353,0.5224232401626165,0.5113975064019142
45,0.47837593751198976,0.4679694387305318,0.5423525594216131,0.5231098610469753
46,0.4661060421213421,0.4595734855799504,0.5327198002274901,0.5168758658326686
47,0.4665932936021038,0.45550144830191847,0.5276721364958975,0.5088787204567399
48,0.44731581254334585,0.4404097225137483,0.5137453989454946,0.49735527475756686
49,0.4550987121918625,0.4483858780068007,0.5156805492657102,0.499496242810965
50,0.4843139836849125,0.4787792284119054,0.5520212922051303,0.5376348599974812
51,0.4610921813257478,0.4549976911128835,0.5242394184298587,0.5080391251416817
52,0.45640873481024113,0.4473783636287309,0.522040418711517,0.5036102598547499
53,0.4646307630758201,0.4609798077326728,0.5269548986369114,0.5140842114101003
54,0.4628398327822752,0.45682381092313507,0.5269378697793684,0.5116703748793081
55,0.46048266552463146,0.45501868099576,0.5229740234940929,0.5087108013937282
56,0.459695976485954,0.4536963183745435,0.5245667578032717,0.5099282146005625
57,0.45346206623611,0.44676965702531374,0.515397781033575,0.499496242810965
58,0.46415056287002854,0.45541748877041266,0.5337631014382149,0.5142731203559884
59,0.465289310595852,0.45420007556357833,0.52967348504153,0.5084379329163343
60,0.475990282527867,0.466311237983292,0.5421396702207175,0.5231518408127281
61,0.45928135704323697,0.4530036522396204,0.5197462293655086,0.5032114520800973
62,0.4792470611030584,0.47552579656605515,0.5455976768567803,0.533226984593426
63,0.4556485909713773,0.44907854414172366,0.5166534117217747,0.5005037571890348
64,0.4643302389855388,0.4591326980395449,0.5300983765508279,0.5156374627429579
65,0.46980859054698565,0.463162755551824,0.5320798911338814,0.5163511187607572
66,0.45640873481024113,0.4473783636287309,0.522040418711517,0.5036102598547499
67,0.45946350259949353,0.44521640569245624,0.5256340242820222,0.5039251080978968
68,0.4518085539814689,0.4447336383862977,0.5171895142470485,0.5006087066034172
69,0.4781767175990181,0.4636455228579824,0.5462399877273063,0.5220183871373998
70,0.475990282527867,0.4743923428907266,0.5421396702207175,0.5317367029091977
71,0.4573179366168632,0.4518911884471684,0.5230024810882915,0.5081650644389404
72,0.4526723075151817,0.4436841442424751,0.5185936111278158,0.5002098988287644
73,0.4523233497001003,0.4441459216657571,0.5189319944636522,0.5013223626212164
74,0.4614656994033797,0.4628898870744301,0.525997116927663,0.5193736618949666
75,0.45888655675376067,0.45279375341085587,0.5236399496700193,0.5075983376012762
76,0.45709731006356036,0.4488686453129591,0.5221733487007498,0.505835187439654
77,0.47071735210314936,0.4681373577935435,0.5315304074022476,0.5196465303723605
78,0.4643302389855388,0.4622601905881365,0.5280583169960062,0.5164770580580159
79,0.4591469123441378,0.45569035724780654,0.5233302166232366,0.5101591033122035
80,0.452527607078357,0.4456362033499853,0.517591338036486,0.5013223626212164
81,0.47087322792043335,0.4672138029469795,0.5375609778239064,0.5248310314428445
82,0.4599918523414492,0.4447756181520507,0.5261095390497823,0.5028126443054447
83,0.45968540949111486,0.45287771294236173,0.5260567040755867,0.5102850426094622
