environment_index,L,rho,loo_predictive_loglik
0,1,0.1,-2434.216121435468
0,1,0.2,-2327.610673295507
0,1,0.3,-2242.299427947303
0,1,0.4,-2168.965526108927
0,1,0.5,-2107.958784339565
0,1,0.6,-2065.1128629483806
0,1,0.7,-2054.6775515548356
0,1,0.8,-2117.012298256504
0,2,0.1,-2340.8791123895194
0,2,0.2,-2218.279617068493
0,2,0.3,-2123.302859574197
0,2,0.4,-2042.3931895033122
0,2,0.5,-1976.1675037311713
0,2,0.6,-1932.0376927732689
0,2,0.7,-1927.9254152629953
0,2,0.8,-2013.3873524294336
0,5,0.1,-2255.706391048236
0,5,0.2,-2135.736971197076
0,5,0.3,-2038.7530324796194
0,5,0.4,-1954.8442862387935
0,5,0.5,-1888.2223507336666
0,5,0.6,-1849.2140424658762
0,5,0.7,-1860.5893101073548
0,5,0.8,-1985.5662823575472
0,10,0.1,-2242.914872364797
0,10,0.2,-2124.9136890202385
0,10,0.3,-2023.7473236052658
0,10,0.4,-1935.6387363857477
0,10,0.5,-1867.7175409445185
0,10,0.6,-1830.7588337836698
0,10,0.7,-1854.6671461467524
0,10,0.8,-2015.0171655806305
1,1,0.1,-2104.8830609968645
1,1,0.2,-1980.1204166478183
1,1,0.3,-1879.2590687862726
1,1,0.4,-1789.0928436275801
1,1,0.5,-1706.520489001973
1,1,0.6,-1632.1993269596403
1,1,0.7,-1569.814101056882
1,1,0.8,-1531.0082787409895
1,2,0.1,-2003.3130594183851
1,2,0.2,-1864.2104018354753
1,2,0.3,-1755.4594514616613
1,2,0.4,-1658.7766381743
1,2,0.5,-1571.041486237401
1,2,0.6,-1494.122114595798
1,2,0.7,-1433.6863487761643
1,2,0.8,-1406.8590584016615
1,5,0.1,-1904.258235097113
1,5,0.2,-1769.0089880354026
1,5,0.3,-1658.9898243619173
1,5,0.4,-1559.1236973567518
1,5,0.5,-1468.8327719188928
1,5,0.6,-1392.7362146272733
1,5,0.7,-1340.3583878093953
1,5,0.8,-1339.2641258684268
1,10,0.1,-1889.803789888231
1,10,0.2,-1762.6546937873863
1,10,0.3,-1651.8745743332202
1,10,0.4,-1549.6415520801968
1,10,0.5,-1458.3126467884597
1,10,0.6,-1381.8766812928309
1,10,0.7,-1333.0428940450836
1,10,0.8,-1352.9316303640985
2,1,0.1,-1464.4417347403037
2,1,0.2,-1366.5036260177417
2,1,0.3,-1280.434608653008
2,1,0.4,-1201.1901752085646
2,1,0.5,-1128.2003928430975
2,1,0.6,-1062.7102572371177
2,1,0.7,-1007.0065857807707
2,1,0.8,-965.8131518268664
2,2,0.1,-1387.4512057170352
2,2,0.2,-1269.9399395282521
2,2,0.3,-1173.0898159751928
2,2,0.4,-1086.3221632073933
2,2,0.5,-1008.4939825520001
2,2,0.6,-941.4063514173783
2,2,0.7,-888.1035648239111
2,2,0.8,-856.0854136565791
2,5,0.1,-1290.439189149252
2,5,0.2,-1169.3860710734953
2,5,0.3,-1070.0010609599406
2,5,0.4,-981.1172817634981
2,5,0.5,-902.8924439030097
2,5,0.6,-839.1086892837881
2,5,0.7,-795.0387045384734
2,5,0.8,-779.665373609358
2,10,0.1,-1238.4211260267373
2,10,0.2,-1122.2071040675642
2,10,0.3,-1022.5072294252958
2,10,0.4,-932.5001115536038
2,10,0.5,-854.8604972428892
2,10,0.6,-793.7632351963564
2,10,0.7,-757.1840418574849
2,10,0.8,-758.449421008446
