case,native,fast,mid,slow
House01_seed0_off_off,5.527347155337969,5.216286582843891,5.216286582843891,3.1801184993451943
House01_seed1_off_off,4.001642364490226,2.370212124288475,2.3702121242884755,2.757999122323245
House02_seed0_off_off,4.107022746118029,1.2724416927906206,1.2573305705528262,1.2531568011943
House02_seed1_off_off,3.700743269109462,3.1166612303305263,3.116661230330526,3.1166612303305263
House03_seed0_off_off,7.782054929226254,4.785443464770857,7.550068920250289,7.553237811516898
House03_seed1_off_off,8.211551289867678,5.612049706397461,5.460008105274126,5.396757536867817
