panel,pair_index,x_band,alignment_mean_diff,alignment_rms_diff,source_speed_mean_diff,source_speed_rms_diff,euclidean_mean_diff,euclidean_rms_diff
CENTRAL,0,0,0.06276953329286747,-0.033998850772655076,0.0,0.0,-0.023400537826401613,-0.011209722075360001
CENTRAL,1,0,-0.029355555275344003,0.013420341462938468,0.0,0.0,-0.0225846162395249,-0.008917683774368107
CENTRAL,2,0,0.036799483536886335,0.038318745489427264,0.0,0.0,-0.0368350613450279,-0.010833835022845628
CENTRAL,3,1,-0.11825042353996704,-0.026227165406501718,0.0,0.0,-0.0400035974919994,-0.006691437156256808
CENTRAL,4,1,0.07924325132857077,0.014973643019362326,0.0,0.0,-0.03882532031271058,-0.005214080822110084
CENTRAL,5,1,0.08740626306182586,-0.005628552444163493,0.0,0.0,-0.041593924248557686,-0.005820281778936731
CENTRAL,6,2,0.07116259371044997,0.025732168432128,0.0,0.0,-0.04019184440727089,0.003981722606665156
CENTRAL,7,2,-0.034793038574623805,0.01820807480099773,0.0,0.0,-0.03133849669714081,0.0021819295640931047
CENTRAL,8,2,0.1062843724360315,-0.005459244276803665,0.0,0.0,-0.03264850144873153,0.0007783415507259528
CENTRAL,9,3,0.08284665617163978,0.00015559214041893643,0.0,0.0,-0.02561495218808127,0.007821347989629301
CENTRAL,10,3,-0.11835508293614905,0.009215818213905935,0.0,0.0,-0.028219355887484004,0.0006074778628860911
CENTRAL,11,3,0.14716091632101258,0.07688526601476275,0.0,0.0,-0.022184124286790757,0.012685322981017516
CENTRAL,12,0,0.03190435962563576,0.023235362720323005,0.0,0.0,-0.024524713561572042,-0.010945284355936696
CENTRAL,13,0,-0.05518875137199386,0.008287022185178072,0.0,0.0,-0.027074447166157423,-0.008329171752066128
CENTRAL,14,0,0.04018731718479557,0.034198834316362725,0.0,0.0,-0.032983979925081244,-0.010220922909622648
CENTRAL,15,1,0.0010939741376095463,0.0021760310326064403,0.0,0.0,-0.03463704722444173,-0.005014019349324911
CENTRAL,16,1,0.1618297009843843,-0.013023195672072552,0.0,0.0,-0.04211279054174741,-0.0030728198151662445
CENTRAL,17,1,0.031082609226736696,0.009054593165111924,0.0,0.0,-0.0411037687797065,-0.0021674910165926653
CENTRAL,18,2,0.06303010412252195,0.0374309453598356,0.0,0.0,-0.03684294451521218,0.004928390843603109
CENTRAL,19,2,-0.03675552342834487,-0.0029447147233769844,0.0,0.0,-0.028404667444237766,0.005788197822257063
CENTRAL,20,2,0.1778477946575283,-0.004196420188649297,0.0,0.0,-0.03255804651689542,0.0023142568559694765
CENTRAL,21,3,0.17044054114910678,0.04519532990012154,0.0,0.0,-0.028589893129039062,0.008667297968528775
CENTRAL,22,3,-0.13048315966204893,0.03129748982132785,0.0,0.0,-0.025947016726525718,0.005069291906225765
CENTRAL,23,3,0.12332174366149729,0.09045280990606241,0.0,0.0,-0.01873558792871602,0.014600657175699638
CENTRAL,24,0,0.06556686340814943,0.014797710968982969,0.0,0.0,-0.028194730702481574,-0.010034663072733152
CENTRAL,25,0,-0.07378199659279006,-0.0032812430121129665,0.0,0.0,-0.028220133519159418,-0.008259161957808986
CENTRAL,26,0,0.03797846755409312,0.03346661551043806,0.0,0.0,-0.030760767446824294,-0.010562933022204207
CENTRAL,27,1,0.029943523737443647,-0.01617951067641421,0.0,0.0,-0.03052331666284501,-0.0035444210127597853
CENTRAL,28,1,0.054495314653501714,-0.019549735104247068,0.0,0.0,-0.04338041776451046,-0.0010072531509623117
CENTRAL,29,1,-0.12797811049285518,-0.008555212764240538,0.0,0.0,-0.04003418891817024,-0.00169050200144083
CENTRAL,30,2,0.07061067668958432,0.036036353204893956,0.0,0.0,-0.03474762807196953,0.004988637352088182
CENTRAL,31,2,-0.058313442567857976,-0.024358137773955235,0.0,0.0,-0.025782082766209878,0.006654862149089669
CENTRAL,32,2,0.16137740544368506,-0.01908796941453783,0.0,0.0,-0.03462311035091485,0.003735159285015971
CENTRAL,33,3,0.07524380745531767,0.03652082679042801,0.0,0.0,-0.02927470219204542,0.009234624903791983
CENTRAL,34,3,-0.1360963893464301,0.03091372476265386,0.0,0.0,-0.024687443896476063,0.006574128055461231
CENTRAL,35,3,0.11577691652973154,0.09355030506167283,0.0,0.0,-0.01808797746561594,0.014393748600933814
CENTRAL,36,0,0.06877850644533495,-0.003415891426532869,0.0,0.0,-0.026321743636116196,-0.01366692933982333
CENTRAL,37,0,-0.06799651183704497,-0.03108019210222268,0.0,0.0,-0.026088329835257995,-0.011172512839435433
CENTRAL,38,0,0.026299052892121033,0.04630003806197325,0.0,0.0,-0.029639729795025743,-0.013697590945941723
CENTRAL,39,1,0.01853851512582806,0.008414622476942468,0.0,0.0,-0.03341989748490931,-0.0100301322817547
CENTRAL,40,1,0.05550628487928752,0.026054112674094965,0.0,0.0,-0.037297507910958524,-0.0073178745404673395
CENTRAL,41,1,-0.17504105112545545,-0.04803084813932035,0.0,0.0,-0.038312476920471704,-0.004870532712128506
CENTRAL,42,2,0.07796869855083978,0.023343055010735636,0.0,0.0,-0.03387335715506321,0.0036442797543322636
CENTRAL,43,2,-0.04407843891318308,-0.0022280417740925262,0.0,0.0,-0.025252552095721078,0.0020032876542433464
CENTRAL,44,2,0.1317251146763993,-0.021258836826333116,0.0,0.0,-0.031016952149990423,-0.000487136668076954
CENTRAL,45,3,0.050996347785789625,-0.003991978243101935,0.0,0.0,-0.027171096167222034,0.007960814227091356
CENTRAL,46,3,-0.14335216614111268,0.018575544923971732,0.0,0.0,-0.023829203910553015,0.004841391589583105
CENTRAL,47,3,0.1303644987560546,0.07750015724048032,0.0,0.0,-0.02077440831750979,0.011466871189841688
CENTRAL,48,0,0.06056034032389396,0.01704164418939924,0.0,0.0,-0.0283668887308218,-0.01692780029900348
CENTRAL,49,0,-0.045632407653482254,-0.016915913236761893,0.0,0.0,-0.021212583661034623,-0.016585851637270027
CENTRAL,50,0,0.02897222171493291,0.05464879821756752,0.0,0.0,-0.02899418725149641,-0.017423805801209974
