target,baseline,x_band,mean_squared_error_advantage,PHYS_spearman,n_pairs
CNR,GEOM,0,-21.639571197224182,-0.24805194805194808,21
CNR,GEOM,1,-9.442753875337617,-0.2,21
CNR,GEOM,2,1.1239844755653642e+25,-0.08571428571428572,21
CNR,GEOM,3,4.59419571687466,0.26103896103896107,21
CNR,SIMPLE_WIND,0,-21.34273623903001,-0.24805194805194808,21
CNR,SIMPLE_WIND,1,-9.462933701589048,-0.2,21
CNR,SIMPLE_WIND,2,-5.050024793207568e+25,-0.08571428571428572,21
CNR,SIMPLE_WIND,3,3.208476352537004,0.26103896103896107,21
ED,GEOM,0,-0.2299255221302848,-0.05064935064935065,21
ED,GEOM,1,-0.181065396387044,-0.1961038961038961,21
ED,GEOM,2,2.981063355754586e+22,-0.2584415584415584,21
ED,GEOM,3,0.11427240714631831,0.15584415584415584,21
ED,SIMPLE_WIND,0,-0.20379721046921098,-0.05064935064935065,21
ED,SIMPLE_WIND,1,-0.12220484921120393,-0.1961038961038961,21
ED,SIMPLE_WIND,2,-2.1470672114156225e+24,-0.2584415584415584,21
ED,SIMPLE_WIND,3,0.09113097768433706,0.15584415584415584,21
