panel,pair_index,x_band,mid_x,mid_y,orientation,orientation_cos,orientation_sin,source0_x,source0_y,source1_x,source1_y,separation
CENTRAL,0,0,-4.792730000000001,-3.70088,0.0,1.0,0.0,-4.94273,-3.70088,-4.64273,-3.70088,0.2999999999999998
CENTRAL,1,0,-4.19273,-3.70088,0.0,1.0,0.0,-4.34273,-3.70088,-4.04273,-3.70088,0.3000000000000007
CENTRAL,2,0,-3.59273,-3.70088,0.0,1.0,0.0,-3.74273,-3.70088,-3.44273,-3.70088,0.2999999999999998
CENTRAL,3,1,-2.99273,-3.70088,0.0,1.0,0.0,-3.14273,-3.70088,-2.84273,-3.70088,0.2999999999999998
CENTRAL,4,1,-2.3927300000000002,-3.70088,0.0,1.0,0.0,-2.54273,-3.70088,-2.24273,-3.70088,0.30000000000000027
CENTRAL,5,1,-1.7927300000000002,-3.70088,0.0,1.0,0.0,-1.94273,-3.70088,-1.6427300000000002,-3.70088,0.2999999999999998
CENTRAL,6,2,-1.1927299999999996,-3.70088,0.0,1.0,0.0,-1.34273,-3.70088,-1.0427299999999995,-3.70088,0.3000000000000005
CENTRAL,7,2,-0.59273,-3.70088,0.0,1.0,0.0,-0.7427299999999999,-3.70088,-0.44273,-3.70088,0.2999999999999999
CENTRAL,8,2,0.007269999999999652,-3.70088,0.0,1.0,0.0,-0.1427300000000002,-3.70088,0.1572699999999995,-3.70088,0.2999999999999997
CENTRAL,9,3,0.6072700000000002,-3.70088,0.0,1.0,0.0,0.4572700000000003,-3.70088,0.7572700000000001,-3.70088,0.2999999999999998
CENTRAL,10,3,1.2072699999999998,-3.70088,0.0,1.0,0.0,1.05727,-3.70088,1.3572699999999998,-3.70088,0.2999999999999998
CENTRAL,11,3,1.8072699999999995,-3.70088,0.0,1.0,0.0,1.6572699999999996,-3.70088,1.9572699999999996,-3.70088,0.30000000000000004
CENTRAL,12,0,-4.792730000000001,-3.4008799999999995,0.0,1.0,0.0,-4.94273,-3.4008799999999995,-4.64273,-3.4008799999999995,0.2999999999999998
CENTRAL,13,0,-4.19273,-3.4008799999999995,0.0,1.0,0.0,-4.34273,-3.4008799999999995,-4.04273,-3.4008799999999995,0.3000000000000007
