pair_index,target,observed,predicted,observed_sign,predicted_sign,alpha_CENTRAL_only
0,CNR,28.06981776448899,2.759259527369635,1,1,1000
1,CNR,52.61327363330332,1.3337676847404591,1,1,1000
2,CNR,11.822308158678505,4.232321281711738,1,1,1000
0,ED,5.255061297661037,0.19339840073216588,1,1,1000
1,ED,8.921500066708735,-0.16007262407632122,1,-1,1000
2,ED,3.276977431859443,0.43120013242875876,1,1,1000
