world_id,house,controlled_carrier_id,route_index,stop_id,action_id,member_hit_count,observed_event,world_audit_sha256
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,1,H01_route07_stop01,0,0,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,2,H01_route07_stop02,0,0,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,3,H01_route07_stop03,7,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,4,H01_route07_stop04,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,5,H01_route07_stop05,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,6,H01_route07_stop06,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,7,H01_route07_stop07,5,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,8,H01_route07_stop08,5,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,9,H01_route07_stop09,1,0,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,10,H01_route07_stop10,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,11,H01_route07_stop11,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,12,H01_route07_stop12,8,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,13,H01_route07_stop13,6,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,14,H01_route07_stop14,6,1,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_02,H01,quadtree_0_28_2_2,7,15,H01_route07_stop15,5,0,bf3839da80550839b1ea5dbf47fa905b41ba7087fc97403c545793ab7e121d79
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,1,H01_route06_stop01,0,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,2,H01_route06_stop02,0,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,3,H01_route06_stop03,4,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,4,H01_route06_stop04,4,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,5,H01_route06_stop05,4,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,6,H01_route06_stop06,4,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,7,H01_route06_stop07,8,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,8,H01_route06_stop08,5,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,9,H01_route06_stop09,6,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,10,H01_route06_stop10,4,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,11,H01_route06_stop11,4,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,12,H01_route06_stop12,3,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,13,H01_route06_stop13,5,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,14,H01_route06_stop14,7,0,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_03,H01,quadtree_8_26_2_2,6,15,H01_route06_stop15,4,1,6990211edfd29cd16829ccee658b769d91603a9010b8d5f67185cf896cc1b7c5
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,1,H01_route03_stop01,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,2,H01_route03_stop02,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,3,H01_route03_stop03,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,4,H01_route03_stop04,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,5,H01_route03_stop05,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,6,H01_route03_stop06,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,7,H01_route03_stop07,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,8,H01_route03_stop08,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,9,H01_route03_stop09,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,10,H01_route03_stop10,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,11,H01_route03_stop11,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,12,H01_route03_stop12,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,13,H01_route03_stop13,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,14,H01_route03_stop14,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_04,H01,quadtree_24_2_2_2,3,15,H01_route03_stop15,0,0,abaa3d9217f0b5f5aae4100fab7ac529780c8e5c36b4c3e89989a879e4c5efd2
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,1,H01_route00_stop01,0,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,2,H01_route00_stop02,3,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,3,H01_route00_stop03,8,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,4,H01_route00_stop04,7,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,5,H01_route00_stop05,1,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,6,H01_route00_stop06,1,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,7,H01_route00_stop07,7,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,8,H01_route00_stop08,8,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,9,H01_route00_stop09,2,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,10,H01_route00_stop10,1,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,11,H01_route00_stop11,0,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,12,H01_route00_stop12,0,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,13,H01_route00_stop13,0,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,14,H01_route00_stop14,2,0,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_05,H01,quadtree_20_28_2_2,0,15,H01_route00_stop15,1,1,8b53956b77afd4b89bbc6cf6aba2050b1043a6c1bf9e7cf19ff841e3d6a37217
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,1,H01_route01_stop01,0,0,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,2,H01_route01_stop02,0,0,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,3,H01_route01_stop03,0,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,4,H01_route01_stop04,1,0,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,5,H01_route01_stop05,7,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
