panel,protocol,comparator,count,mean,median,trimmed_10_mean,trimmed_20_mean,minimum,maximum
CENTRAL,P_G1A,BP,2688,25.73313386813308,-4.4839817249488814e-63,0.028038477132890444,0.00024168478936478966,-13050.359285293773,85239.00210522424
CENTRAL,P_G1A,MBD,2688,10.198551205002454,-1.580550767127667e-44,0.051245171321543895,0.0021935835327915295,-2313.3102366168387,21302.287858835356
CENTRAL,P_E2,BP,2688,-0.11496483566191343,-3.341732230878095e-13,0.04512697517632578,0.0007802591625489916,-2627.3223243963225,5141.942610335143
CENTRAL,P_E2,MBD,2688,-5.180305130184879,-2.421871187643616e-74,0.09087400939368162,0.007169274830344321,-15519.356246490708,389.8333549002142
OFFSTRIP,P_G1A,BP,96,-3.229957954838014,-4.723394566846438e-13,0.003137884737643611,-0.0006524226081262305,-279.41560492583915,107.54573351250019
OFFSTRIP,P_G1A,MBD,96,3.8163234539890136,-5.497186270687604e-28,0.10445372984131236,0.0031685047729507003,-5.053997246756783,229.46732051628857
OFFSTRIP,P_E2,BP,96,-7.851454589709131,3.845682101994989e-40,-1.0501923084970955e-05,-1.9650666463604194e-07,-650.1740770553358,52.96470502793882
OFFSTRIP,P_E2,MBD,96,0.2831483434512781,-1.4165707778349226e-25,-1.767451436232965e-06,-1.628241672035752e-08,-477.5097182046045,487.6722693351121
