panel,pair_index,protocol,fold,source_direction,source_id,replicate_index,model,truth_margin,two_class_nll,brier,accuracy
CENTRAL,0,P_G1A,3,0,pmfs_1_12,3,FULL,-1.1067018492847804,1.392367658399448,1.1295457517811875,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,7,FULL,-2.4721584839493485,2.55318761034457,1.7007833308197429,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,11,FULL,0.09533263870701347,0.6466164702723937,0.4535040688329858,1.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,15,FULL,-1.0582207455250288,1.356154681657941,1.1021681753461121,0.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,3,FULL,2.633326215322448,0.06937596933207013,0.00898447502176514,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,7,FULL,23.114895514366196,9.148047865773085e-11,1.6737319420907505e-20,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,11,FULL,1.3770235848283523,0.2250045951066506,0.0811943854174803,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,15,FULL,1.7004545660999817,0.16771582820527628,0.047682367283724006,1.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,3,BLOCK_PRODUCT,-0.6136668135317898,1.0463333527150185,0.8418226656347333,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,7,BLOCK_PRODUCT,-3.766712043998197,3.78957662793031,1.9106013065488736,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,11,BLOCK_PRODUCT,-1.0475918538967193,1.3482751424456403,1.0961243098193238,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,15,BLOCK_PRODUCT,-1.036428040746756,1.3400224369001523,1.08976098050359,0.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,3,BLOCK_PRODUCT,3.105867333275757,0.043811752050977024,0.003674967499266252,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,7,BLOCK_PRODUCT,19.11371321792805,5.000573553313688e-09,5.001147087437267e-17,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,11,BLOCK_PRODUCT,1.094679079428829,0.28866682603725397,0.12573929153945584,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,15,BLOCK_PRODUCT,2.0187503506757096,0.12471128339366433,0.02749431322316795,1.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,3,MATCHED_BLOCK_DIAG,-0.20732264981434056,0.8021717456390072,0.6086261888830795,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,7,MATCHED_BLOCK_DIAG,-3.8752260003695085,3.895763306659892,1.919515034581908,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,11,MATCHED_BLOCK_DIAG,-1.6092909681160918,1.791637017129252,1.3888208566129263,0.0
CENTRAL,0,P_G1A,3,0,pmfs_1_12,15,MATCHED_BLOCK_DIAG,-0.876032638692287,1.2241735126319224,0.9968703403077128,0.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,3,MATCHED_BLOCK_DIAG,2.3360699036191583,0.09231201710313731,0.015551212628072908,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,7,MATCHED_BLOCK_DIAG,10.078033259251725,4.199104171856641e-05,3.5263470916560813e-09,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,11,MATCHED_BLOCK_DIAG,0.061728085344306294,0.6627593568531923,0.4696217460984404,1.0
CENTRAL,0,P_G1A,3,1,pmfs_2_12,15,MATCHED_BLOCK_DIAG,1.257231774443536,0.250323084686156,0.09808090911703103,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,0,FULL,-2.023951565263218,2.1480544133811477,1.5603988853656725,0.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,4,FULL,0.12668072253327978,0.63181148006307,0.4387448576911687,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,8,FULL,0.0008909433567971803,0.6927018081040516,0.4995546275735635,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,12,FULL,4.345838831270111,0.012877361632170417,0.0003274139762783287,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,0,FULL,0.9737771344239725,0.3203819735905402,0.15029262747797004,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,4,FULL,1.3019438042181974,0.24059247679901893,0.09145343151262172,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,8,FULL,1.468871696173764,0.20716461123976745,0.07002342610559632,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,12,FULL,1.0521724625562499,0.29949577578018305,0.13396331353397256,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,0,BLOCK_PRODUCT,-0.9654126685426014,1.2880945483513142,1.0489434515374836,0.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,4,BLOCK_PRODUCT,-2.7461570174224263,2.808355935880884,1.7660569393384864,0.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,8,BLOCK_PRODUCT,0.22247258239882228,0.5880849288904968,0.39535632108285906,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,12,BLOCK_PRODUCT,12.811170105421233,2.7301023176618734e-06,1.4906876631675618e-11,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,0,BLOCK_PRODUCT,3.5513689642988204,0.028281621509531667,0.001555195541561129,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,4,BLOCK_PRODUCT,3.033930858620206,0.04700389256722908,0.004216616196259275,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,8,BLOCK_PRODUCT,2.7188066090812164,0.06386962468332907,0.007656461960610771,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,12,BLOCK_PRODUCT,2.8961416017047945,0.0537643738256812,0.005479920033799685,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,0,MATCHED_BLOCK_DIAG,-0.33716416020250506,0.8758724176231746,0.6809479998388172,0.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,4,MATCHED_BLOCK_DIAG,-1.1816240903982838,1.4491902593028239,1.1711835781647277,0.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,8,MATCHED_BLOCK_DIAG,0.6030013361285143,0.4364254761015879,0.25014702251920856,1.0
CENTRAL,0,P_E2,0,0,pmfs_1_12,12,MATCHED_BLOCK_DIAG,3.907225052831766,0.019896926402849086,0.000776202764146407,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,0,MATCHED_BLOCK_DIAG,1.6143437893608734,0.1815055801810259,0.055102975717247774,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,4,MATCHED_BLOCK_DIAG,1.5003056409759807,0.20135752823352443,0.06652488719094687,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,8,MATCHED_BLOCK_DIAG,1.025288458083132,0.3065231954384911,0.13939047291720624,1.0
CENTRAL,0,P_E2,0,1,pmfs_2_12,12,MATCHED_BLOCK_DIAG,1.329528845151156,0.2347573694118838,0.08756050415103446,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,1,FULL,4.165680127007624,0.015399965782171551,0.00046707860050762426,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,5,FULL,4.997807374126305,0.006730039399379046,8.997959401653686e-05,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,9,FULL,-149.33171685724892,149.33171685724892,2.0,0.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,13,FULL,7.038392119341305,0.0008771515923738253,1.5374407704272118e-06,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,1,FULL,-0.6609141107019418,1.07723942670837,0.8697900211599175,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,5,FULL,-3.9783473535104843,3.9968908998944412,1.9271844195635233,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,9,FULL,2.2299545066221143,0.10213531014012764,0.01885395725885323,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,13,FULL,-0.6901921857652269,1.0966432626781992,0.8871377825617687,0.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,1,BLOCK_PRODUCT,9.36150016834738,8.59673356121777e-05,1.4779494985248827e-08,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,5,BLOCK_PRODUCT,5.26989233106125,0.005130978397543773,5.238451956897963e-05,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,9,BLOCK_PRODUCT,-39.83221544155481,39.83221544155481,2.0,0.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,13,BLOCK_PRODUCT,9.659102394938568,6.38397631433633e-05,8.15051037591241e-09,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,1,BLOCK_PRODUCT,-1.397358713644877,1.618299166378001,1.2856523759641763,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,5,BLOCK_PRODUCT,-4.521071385717775,4.531890016293035,1.9571902903090757,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,9,BLOCK_PRODUCT,6.088142550215892,0.002267049009872442,1.0255750165798642e-05,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,13,BLOCK_PRODUCT,-2.359945076284834,2.450174561416231,1.6697738703715204,0.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,1,MATCHED_BLOCK_DIAG,3.9108253934190813,0.0198261236756807,0.0007707427839396528,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,5,MATCHED_BLOCK_DIAG,7.750686406328807,0.00043035436189571135,3.702503861624929e-07,1.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,9,MATCHED_BLOCK_DIAG,-93.33518671240606,93.33518671240606,2.0,0.0
CENTRAL,0,P_E2,1,0,pmfs_1_12,13,MATCHED_BLOCK_DIAG,8.584296403052697,0.0001870022506472921,6.992660604263441e-08,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,1,MATCHED_BLOCK_DIAG,-1.6162674221043076,1.797453961414703,1.392045296454452,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,5,MATCHED_BLOCK_DIAG,-7.205553193811429,7.206295369693761,1.9970334986810832,0.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,9,MATCHED_BLOCK_DIAG,3.563488808672954,0.027945637684582674,0.0015189716606054705,1.0
CENTRAL,0,P_E2,1,1,pmfs_2_12,13,MATCHED_BLOCK_DIAG,-3.229847587133907,3.2686485278870445,1.8506654906003475,0.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,2,FULL,-1.398974064253025,1.6195945043202227,1.2864754894313877,0.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,6,FULL,1.208137722487585,0.26140466799003437,0.1058282692154296,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,10,FULL,-0.5251701178261143,0.989818645836269,0.7896623140605521,0.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,14,FULL,2.6058622841052177,0.07124048692551421,0.009456448762308731,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,2,FULL,2.266771278743537,0.09861950285049298,0.017639150579929406,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,6,FULL,-0.9731433238124296,1.2936990827864996,1.053413309313416,0.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,10,FULL,4.4086418947279995,0.01209821809153557,0.00028921706983982384,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,14,FULL,4.528834514519724,0.010735416769801302,0.0002280392756963438,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,2,BLOCK_PRODUCT,-4.239316580187815,4.2536310787887475,1.9435538591114394,0.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,6,BLOCK_PRODUCT,0.6843551842734144,0.40840437070866753,0.2248387209887167,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,10,BLOCK_PRODUCT,5.279786681709059,0.0050805891393927586,5.136326338687666e-05,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,14,BLOCK_PRODUCT,55.20105855461682,1.0628815648852016e-24,0.0,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,2,BLOCK_PRODUCT,3.051841684173638,0.046188482229363816,0.004074883375345178,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,6,BLOCK_PRODUCT,-21.145006992391536,21.145006993047442,1.999999997376385,0.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,10,BLOCK_PRODUCT,5.472802849758413,0.004190652171757567,3.497630158779877e-05,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,14,BLOCK_PRODUCT,7.4011016997092085,0.0006103933870032086,7.447054948616976e-07,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,2,MATCHED_BLOCK_DIAG,-4.439433982036608,4.451167491509846,1.9536123804696632,0.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,6,MATCHED_BLOCK_DIAG,0.059508980949761536,0.6638352896348007,0.4706966909745623,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,10,MATCHED_BLOCK_DIAG,0.7804319922589471,0.37720830257472593,0.19747695023802456,1.0
CENTRAL,0,P_E2,2,0,pmfs_1_12,14,MATCHED_BLOCK_DIAG,0.8450352813201576,0.3573542553436685,0.18057087973677072,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,2,MATCHED_BLOCK_DIAG,-0.19022246207922322,0.7927746817430571,0.5993214030334182,0.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,6,MATCHED_BLOCK_DIAG,-3.6250178970189495,3.65131762765056,1.8975199029991026,0.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,10,MATCHED_BLOCK_DIAG,3.9262124001712913,0.01952633031118244,0.0007478334386367509,1.0
CENTRAL,0,P_E2,2,1,pmfs_2_12,14,MATCHED_BLOCK_DIAG,5.851166098717162,0.002872413536105658,1.645419918133514e-05,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,3,FULL,1.3215248127139816,0.23643741981955732,0.08867499945157345,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,7,FULL,-2.8092363385040198,2.867741998021436,1.7791502479492216,0.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,11,FULL,0.8286127398114118,0.3623172302039667,0.18475719794165082,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,15,FULL,0.6492972061032667,0.42029644231207314,0.23550100070166202,1.0
