panel,pair_index,protocol,source0_id,source1_id,distance_m,target_count,full_nll,bp_nll,mbd_nll,delta_bp,delta_mbd,full_accuracy,full_brier,block_product_accuracy,block_product_brier,matched_block_diag_accuracy,matched_block_diag_brier
CENTRAL,0,P_G1A,pmfs_1_12,pmfs_2_12,0.2999999999999998,32,5.540692890477004,4.116134717039156,8.362688286185081,-1.4245581734378483,2.8219953957080772,0.5625,0.6610693513154691,0.625,0.6113102135223378,0.40625,0.8144818293105174
CENTRAL,0,P_E2,pmfs_1_12,pmfs_2_12,0.2999999999999998,32,5.275269832698043,2.6534317053115553,4.095411627689257,-2.6218381273864875,-1.1798582050087854,0.71875,0.44621286855908604,0.71875,0.5146007900783846,0.625,0.648719273560613
CENTRAL,1,P_G1A,pmfs_3_12,pmfs_4_12,0.3000000000000007,32,3.391497860279477,2.90874149645038,3.3353514240302204,-0.48275636382909726,-0.05614643624925675,0.65625,0.5044036349507433,0.6875,0.4947811062388261,0.6875,0.47040399825782186
CENTRAL,1,P_E2,pmfs_3_12,pmfs_4_12,0.3000000000000007,32,2.126358373543977,3.1067328150828426,3.7114630262607253,0.9803744415388658,1.5851046527167485,0.9375,0.12609654464025427,0.90625,0.1799990711972801,0.90625,0.18960701182942613
CENTRAL,2,P_G1A,pmfs_5_12,pmfs_6_12,0.2999999999999998,32,0.018873261358020515,0.5709237341823241,0.7398381727287289,0.5520504728243036,0.7209649113707084,1.0,0.007049864162822687,0.96875,0.0826670210328099,0.9375,0.09140670711471685
CENTRAL,2,P_E2,pmfs_5_12,pmfs_6_12,0.2999999999999998,32,0.8458974381832982,0.5120999191202324,1.3127473104010203,-0.33379751906306576,0.4668498722177221,0.9375,0.13313970329614877,0.96875,0.06249999297230402,0.9375,0.1264608344209197
CENTRAL,3,P_G1A,pmfs_7_12,pmfs_8_12,0.2999999999999998,32,30.811399497460663,18.321342914962322,10.894006664304959,-12.49005658249834,-19.917392833155702,0.6875,0.44002452697606964,0.625,0.5295962551046419,0.71875,0.5122444552655734
CENTRAL,3,P_E2,pmfs_7_12,pmfs_8_12,0.2999999999999998,32,5.6797518910365365,12.342390147817392,6.339589990374386,6.6626382567808555,0.6598380993378496,0.53125,0.7440688967522131,0.59375,0.7823002161971515,0.59375,0.7849724778729975
CENTRAL,4,P_G1A,pmfs_9_12,pmfs_10_12,0.30000000000000027,32,22.751411691127036,41.39459223762752,24.470219585816874,18.643180546500485,1.7188078946898386,0.53125,0.8877272171113362,0.5625,0.8616067798930821,0.53125,0.9312639261152633
CENTRAL,4,P_E2,pmfs_9_12,pmfs_10_12,0.30000000000000027,32,13.946867108989503,10.619594909792255,12.790474988857586,-3.327272199197248,-1.1563921201319172,0.5,0.8464271782459145,0.5,0.935879922688124,0.5,0.951095250207404
CENTRAL,5,P_G1A,pmfs_11_12,pmfs_12_12,0.2999999999999998,32,7.551973675754407e-46,1.0494580852974667e-51,4.380554035239883e-49,-7.551963181173555e-46,-7.547593121719167e-46,1.0,0.0,1.0,0.0,1.0,0.0
CENTRAL,5,P_E2,pmfs_11_12,pmfs_12_12,0.2999999999999998,32,2.9639104895009657e-34,9.881839063884013e-27,2.205479258969353e-37,9.881838767492964e-27,-2.9617050102419963e-34,1.0,0.0,1.0,0.0,1.0,0.0
