panel,pair_index,protocol,source_direction,source_id,delta_bp,delta_mbd
CENTRAL,0,P_G1A,0,pmfs_1_12,-3.0041078222248503,5.373101879344036
CENTRAL,0,P_G1A,1,pmfs_2_12,0.15499147534915347,0.27088891207212007
CENTRAL,0,P_E2,0,pmfs_1_12,-6.579560731229209,-3.1019215355985423
CENTRAL,0,P_E2,1,pmfs_2_12,1.3358844764562323,0.7422051255809708
CENTRAL,1,P_G1A,0,pmfs_3_12,0.18143907798935643,1.0773188353628758
CENTRAL,1,P_G1A,1,pmfs_4_12,-1.1469518056475512,-1.1896117078613888
CENTRAL,1,P_E2,0,pmfs_3_12,1.3623484388651383,1.4934090148254646
CENTRAL,1,P_E2,1,pmfs_4_12,0.5984004442125926,1.6768002906080328
CENTRAL,2,P_G1A,0,pmfs_5_12,0.06232848762583087,0.04851734964111518
CENTRAL,2,P_G1A,1,pmfs_6_12,1.0417724580227763,1.3934124731003015
CENTRAL,2,P_E2,0,pmfs_5_12,-0.706450577568162,0.22266541230710835
CENTRAL,2,P_E2,1,pmfs_6_12,0.038855539442030795,0.711034332128336
CENTRAL,3,P_G1A,0,pmfs_7_12,0.3202057275850372,2.483817178198711
CENTRAL,3,P_G1A,1,pmfs_8_12,-25.300318892581714,-42.31860284451011
CENTRAL,3,P_E2,0,pmfs_7_12,-0.21315176089501442,-0.672407562875545
CENTRAL,3,P_E2,1,pmfs_8_12,13.538428274456725,1.9920837615512434
CENTRAL,4,P_G1A,0,pmfs_9_12,0.8746549968571706,1.1055376847884233
CENTRAL,4,P_G1A,1,pmfs_10_12,36.411706096143796,2.332078104591247
CENTRAL,4,P_E2,0,pmfs_9_12,1.4723616182212895,1.114217290851439
CENTRAL,4,P_E2,1,pmfs_10_12,-8.126906016615791,-3.427001531115277
CENTRAL,5,P_G1A,0,pmfs_11_12,2.0986981076837275e-51,-8.980194342866008e-63
CENTRAL,5,P_G1A,1,pmfs_12_12,-1.5103947349328186e-45,-1.5095186243438334e-45
CENTRAL,5,P_E2,0,pmfs_11_12,9.446998695134029e-29,-5.923409358015984e-34
CENTRAL,5,P_E2,1,pmfs_12_12,1.966920754803459e-26,-6.624680079790708e-41
CENTRAL,6,P_G1A,0,pmfs_13_12,0.1060128463549548,0.06810883447689248
CENTRAL,6,P_G1A,1,pmfs_14_12,0.7546887124596342,0.2044315857861802
CENTRAL,6,P_E2,0,pmfs_13_12,0.005259580414098074,0.00915762176866499
CENTRAL,6,P_E2,1,pmfs_14_12,0.35102566340157293,0.31449051270727146
CENTRAL,7,P_G1A,0,pmfs_15_12,-4.722317828226584,-4.6997352363814935
CENTRAL,7,P_G1A,1,pmfs_16_12,1.318909994167031,1.300063888772931
CENTRAL,7,P_E2,0,pmfs_15_12,0.18675654759804142,0.23396333328936217
CENTRAL,7,P_E2,1,pmfs_16_12,1.184904042108548,1.2557495893092832
CENTRAL,8,P_G1A,0,pmfs_17_12,0.8778602248450627,0.020365174897346794
CENTRAL,8,P_G1A,1,pmfs_18_12,8.43234407542599,1.1358128254501278
CENTRAL,8,P_E2,0,pmfs_17_12,0.8812031149183315,2.580829751652395
CENTRAL,8,P_E2,1,pmfs_18_12,1.177460384331102,1.4027625382237408
