panel,pair_index,delta_bp_p_g1a,delta_bp_p_e2,probe_effect_bp,delta_mbd_p_g1a,delta_mbd_p_e2,probe_effect_mbd,bp_sign_agreement,mbd_sign_agreement
CENTRAL,0,-1.4245581734378483,-2.6218381273864875,-1.1972799539486392,2.8219953957080772,-1.1798582050087854,-4.001853600716863,True,False
CENTRAL,1,-0.48275636382909726,0.9803744415388658,1.463130805367963,-0.05614643624925675,1.5851046527167485,1.6412510889660052,False,False
CENTRAL,2,0.5520504728243036,-0.33379751906306576,-0.8858479918873694,0.7209649113707084,0.4668498722177221,-0.2541150391529863,False,True
CENTRAL,3,-12.49005658249834,6.6626382567808555,19.152694839279196,-19.917392833155702,0.6598380993378496,20.577230932493553,False,False
CENTRAL,4,18.643180546500485,-3.327272199197248,-21.970452745697735,1.7188078946898386,-1.1563921201319172,-2.875200014821756,False,False
CENTRAL,5,-7.551963181173555e-46,9.881838767492964e-27,9.881838767492964e-27,-7.547593121719167e-46,-2.9617050102419963e-34,-2.961705010234449e-34,False,True
CENTRAL,6,0.43035077940729444,0.17814262190783575,-0.2522081574994587,0.1362702101315364,0.1618240672379681,0.02555385710643171,True,True
CENTRAL,7,-1.7017039170297767,0.6858302948532948,2.3875342118830716,-1.6998356738042815,0.7448564612993225,2.4446921351036037,False,False
CENTRAL,8,4.6551021501355265,1.0293317496247165,-3.62577040051081,0.5780890001737375,1.9917961449380672,1.4137071447643297,True,True
CENTRAL,9,0.17199407825371882,1.6872760099674244,1.5152819317137056,1.0097050096934428,1.3247617438255825,0.31505673413213975,True,True
CENTRAL,10,-10.383048228363407,6.925052961687086,17.308101190050493,-6.7723104649810715,-1.1105090296078188,5.661801435373253,False,True
CENTRAL,11,3.041279794350816,-0.13490388615123017,-3.1761836805020462,2.102637891083621,-0.303847771155616,-2.406485662239237,False,False
CENTRAL,12,6.636792487296589,12.137736547645964,5.500944060349376,5.439760466011116,3.794439093816269,-1.6453213721948465,True,True
CENTRAL,13,-4.6096520083312225,0.3075846718186117,4.917236680149834,-2.975851230881643,3.4235757601251127,6.399426991006756,False,False
CENTRAL,14,-0.14140874775235643,0.025812982964736886,0.16722173071709331,-0.24803194266511566,0.4165731314899983,0.6646050741551139,False,False
CENTRAL,15,-0.060513433541489414,-6.974740833256483e-05,0.06044368613315685,0.3567774823789558,0.00017470174573613732,-0.35660278063321965,True,True
CENTRAL,16,0.8213752089617383,6.4549942935298095,5.633619084568071,2.4504397368438706,4.873613895959499,2.4231741591156286,True,True
CENTRAL,17,1.9971514286827714e-15,5.3705727210700845e-11,5.3703730059272164e-11,-2.202764253862243e-24,-2.3147053390763725e-18,-2.3147031363121185e-18,True,True
CENTRAL,18,0.5732640470808925,0.6227400714039659,0.04947602432307341,0.4748359159353682,0.6666384003539358,0.19180248441856762,True,True
CENTRAL,19,0.35618051349186475,0.248052963417551,-0.10812755007431374,2.203687909283837,0.8517063491363039,-1.3519815601475331,True,True
CENTRAL,20,0.7939823328816488,0.3293890719404259,-0.4645932609412229,0.9405615773446679,0.6463227431065836,-0.2942388342380844,True,True
CENTRAL,21,0.36099654936933234,1.4587244945069728,1.0977279451376405,0.7538341822388253,1.9891199787646916,1.2352857965258663,True,True
CENTRAL,22,0.3713364159202617,0.6138225611456898,0.2424861452254281,0.7708762069796853,0.523751672662041,-0.24712453431764425,True,True
CENTRAL,23,30.440475740956817,4.246363007856051,-26.194112733100766,2.0415581213575287,0.5560666387290141,-1.4854914826285146,True,True
CENTRAL,24,2656.9602001920284,-1.333412948572264,-2658.293613140601,-1.3017091729446388,0.5276433068170165,1.8293524797616554,False,False
CENTRAL,25,-0.0002930299343628078,20.849642339573006,20.849935369507367,-0.007824451833203096,1.5573427539803566,1.5651672058135597,False,False
CENTRAL,26,19.09636901555052,1.6031460102867423,-17.493223005263776,0.46949806653642767,1.7720342280775867,1.302536161541159,True,True
CENTRAL,27,0.26829587262553023,-0.3166334024961852,-0.5849292751217154,1.162942278146164,0.3796387320287806,-0.7833035461173834,False,True
CENTRAL,28,2.118097926462379,0.0010412379975884897,-2.1170566884647903,1.4673317413320368,0.036550915440052234,-1.4307808258919845,True,True
CENTRAL,29,5.262113049548862,-3.4149600287117575e-07,-5.262113391044865,1.3014695171026622,-3.500930259558063e-07,-1.3014698671956881,False,False
CENTRAL,30,0.0722928652077268,0.16116457200087098,0.08887170679314417,0.06960513652527588,0.19678684645401334,0.12718170992873745,True,True
CENTRAL,31,0.6665238999113219,1.003918522193269,0.33739462228194705,0.9335081030562011,0.5488682388261137,-0.38463986423008745,True,True
CENTRAL,32,0.3945109489890555,-1.0967940181041018,-1.4913049670931573,0.6401681411276682,0.6978458898868909,0.05767774875922271,False,True
CENTRAL,33,-0.5284252120585093,-45.242546604978024,-44.714121392919516,1.0517769267882042,-32.385101319250964,-33.43687824603917,True,False
CENTRAL,34,-0.13399362447962426,-0.040175895267003714,0.09381772921262055,0.6028082694068271,1.0300005551706932,0.42719228576386614,True,True
CENTRAL,35,-1.7055652524574239,0.062973215557391,1.7685384680148148,-1.2962838991613455,1.1047483841410388,2.401032283302384,False,False
