timestamp,x,y,z
1788884171.5325112,-0.5,-2.5,0.3
1788884171.7315068,-0.5,-2.5,0.3
1788884171.9558926,-0.5,-2.5,0.3
1788884172.1325755,-0.5,-2.5,0.3
1788884172.3320336,-0.5,-2.5,0.3
1788884172.5322526,-0.5,-2.5,0.3
1788884172.731749,-0.5,-2.5,0.3
1788884172.9560719,-0.5,-2.5,0.3
1788884173.1314623,-0.5,-2.5,0.3
1788884173.3330402,-0.5,-2.5,0.3
1788884176.1427388,-0.5,-2.5,0.3
1788884176.1430042,-0.5,-2.5,0.3
1788884176.1431859,-0.5,-2.5,0.3
1788884176.143357,-0.5,-2.5,0.3
1788884176.1435213,-0.5,-2.5,0.3
1788884176.143867,-0.5,-2.5,0.3
1788884176.144127,-0.5,-2.5,0.3
1788884176.1443346,-0.5,-2.5,0.3
1788884176.1445093,-0.5,-2.5,0.3
1788884176.1446686,-0.5,-2.5,0.3
1788884176.1448247,-0.5,-2.5,0.3
1788884176.1449995,-0.5,-2.5,0.3
1788884176.1451557,-0.5,-2.5,0.3
1788884176.1510177,-0.5,-2.5,0.3
1788884176.364645,-0.5,-2.5,0.3
1788884176.5557637,-0.5,-2.5,0.3
1788884176.761285,-0.5,-2.5,0.3
1788884176.9758203,-0.5,-2.5,0.3
1788884177.1523411,-0.5,-2.5,0.3
1788884177.351461,-0.5,-2.5,0.3
1788884177.5616798,-0.5,-2.5,0.3
1788884177.7580287,-0.5,-2.5,0.3
1788884177.973187,-0.5,-2.5,0.3
1788884178.1656559,-0.5,-2.5,0.3
1788884178.352608,-0.5,-2.5,0.3
1788884178.5598228,-0.5,-2.5,0.3
1788884178.7618124,-0.5,-2.5,0.3
1788884178.9721417,-0.5,-2.5,0.3
1788884179.154271,-0.5,-2.5,0.3
1788884179.3574264,-0.5,-2.5,0.3
1788884179.5579042,-0.5,-2.5,0.3
1788884179.7565517,-0.5,-2.5,0.3
1788884179.966668,-0.5,-2.5,0.3
1788884180.1598563,-0.5,-2.5,0.3
1788884180.3534071,-0.5,-2.5,0.3
1788884180.5607274,-0.5,-2.5,0.3
1788884180.758929,-0.5,-2.5,0.3
1788884180.9737415,-0.5,-2.5,0.3
1788884181.1596506,-0.5,-2.5,0.3
1788884181.3583946,-0.5,-2.5,0.3
1788884181.550306,-0.5,-2.5,0.3
1788884181.7595859,-0.5,-2.5,0.3
1788884181.973369,-0.5,-2.5,0.3
1788884182.163956,-0.5,-2.5,0.3
1788884182.3586388,-0.5,-2.5,0.3
1788884182.56064,-0.5,-2.5,0.3
1788884182.765037,-0.5,-2.5,0.3
