cell_index,u,v
28,-1.769399932527449e-05,2.6695999622461386e-05
29,-3.926600038539618e-05,3.529099922161549e-05
30,-5.518200123333372e-05,4.661799903260544e-05
31,-8.016700303414837e-05,6.066000059945509e-05
32,-0.00011916999937966466,8.480100223096088e-05
33,-0.00017420999938622117,0.00012608000542968512
34,-0.00024876001407392323,0.00018540999735705554
35,-0.00035504999686963856,0.0002516999957151711
36,-0.000508019991684705,0.00030881998827680945
37,-0.0006714999908581376,0.0003354900109115988
38,-0.0007641899865120649,0.00028095999732613564
39,-0.0006848900229670107,3.4824999602278695e-05
40,-0.00036522001028060913,-0.00014213999384082854
41,6.743700214428827e-05,0.00011901999823749065
55,-1.606700061529409e-05,4.423100108397193e-05
56,-2.7255999157205224e-05,5.053100176155567e-05
57,-3.5819000913761556e-05,6.0632999520748854e-05
58,-4.7533001634292305e-05,7.953499880386516e-05
59,-6.74580005579628e-05,0.00011408000136725605
60,-9.796999802347273e-05,0.0001691799989202991
61,-0.0001353900006506592,0.00024152999685611576
62,-0.00017574999947100878,0.00031470999238081276
63,-0.0002273499994771555,0.00037075000000186265
64,-0.00031214000773616135,0.0003892800014000386
65,-0.0004565599956549704,0.00030566001078113914
66,-0.000647989974822849,-4.8312998842447996e-05
67,-0.0007582399994134903,-0.000722719996701926
68,-0.0003607500111684203,-0.0006360000115819275
82,-1.0364999980083667e-05,5.144899841980077e-05
83,-1.415899987478042e-05,5.3760999435326084e-05
84,-1.6824000340420753e-05,6.400299753295258e-05
85,-2.12480008485727e-05,8.548200275981799e-05
86,-2.9130000257282518e-05,0.00012211999273858964
87,-4.1211998905055225e-05,0.00017719999596010894
88,-5.665199932991527e-05,0.00024741998640820384
89,-7.37549999030307e-05,0.00031949998810887337
90,-9.829099872149527e-05,0.0003815100062638521
91,-0.0001419000036548823,0.00042254000436514616
92,-0.0002180599985877052,0.00038705000770278275
93,-0.000358710007276386,0.00011367000115569681
94,-0.0005914599751122296,-0.0006670400034636259
95,-0.0007331700180657208,-0.0015305000124499202
109,-1.7994999552684021e-06,5.4020998504711315e-05
110,-2.1098999241075944e-06,5.41219997103326e-05
111,-1.3948000514574233e-06,6.396100070560351e-05
112,-4.4846001401310787e-07,8.602799789514393e-05
113,1.6778999523126004e-08,0.00012228000559844077
114,-2.2947000744011348e-08,0.0001748999929986894
115,2.5881000453864544e-08,0.0002427300059935078
116,-9.961700015992392e-07,0.0003176199970766902
117,-8.923800123739056e-06,0.00039041999843902886
118,-3.07180016534403e-05,0.00044612999772652984
119,-7.550099689979106e-05,0.000434560002759099
120,-0.00015763999545015395,0.0002295400045113638
121,-0.0002852299949154258,-0.0004523700044956058
122,-0.0006588600226677954,-0.001777400029823184
136,7.176100098149618e-06,5.337800030247308e-05
137,9.740499990584794e-06,5.281899939291179e-05
138,1.3294999916979577e-05,6.178000330692157e-05
139,1.8860999261960387e-05,8.302000060211867e-05
140,2.671000038390048e-05,0.00011778000043705106
141,3.737700171768665e-05,0.00016743000014685094
142,5.1563001761678606e-05,0.00023262000468093902
143,6.796499656047672e-05,0.00031068999669514596
144,8.135499956551939e-05,0.00039599998854100704
145,8.278799941763282e-05,0.0004711599904112518
146,5.5478998547187075e-05,0.0004893700242973864
147,-1.9540000721463002e-05,0.00035228999331593513
148,-0.00015299000369850546,-0.00022051000269129872
149,-0.000411579996580258,-0.0016141999512910843
163,1.615799919818528e-05,4.90040001750458e-05
164,2.2291000277618878e-05,4.9405000027036294e-05
165,2.8868000299553387e-05,5.714199869544245e-05
166,3.9012000343063846e-05,7.604800339322537e-05
167,5.41199988219887e-05,0.00010743999882834032
168,7.547599670942873e-05,0.000152449996676296
169,0.00010463000216986984,0.00021322000247891992
170,0.0001420699991285801,0.0002915700024459511
171,0.00018519999866839498,0.00038799000321887434
