source_index,source_id,x,y,z,pair_id
0,pmfs_12_20,-1.6427300000000002,-1.3008800000000003,0.2,1
1,pmfs_11_20,-1.9427300000000005,-1.3008800000000003,0.2,1
2,pmfs_1_1,-4.94273,-7.0008799999999995,0.2,2
3,pmfs_2_1,-4.64273,-7.0008799999999995,0.2,2
4,pmfs_2_38,-4.64273,4.099119999999999,0.2,3
5,pmfs_2_37,-4.64273,3.7991200000000003,0.2,3
