probe_rank,cell_index,x,y
1,552,-1.69273,-1.3508799999999992
2,28,-4.89273,-6.95088
3,971,2.50727,3.2491200000000013
4,1028,-4.69273,4.04912
5,404,2.50727,-3.15088
6,177,-0.8927300000000002,-5.550879999999999
7,878,-1.0927300000000004,2.4491200000000006
8,379,-4.89273,-3.15088
9,703,-4.89273,0.44912000000000063
10,670,1.50727,0.049120000000000275
11,196,-3.29273,-5.150879999999999
12,395,-0.09272999999999954,-3.15088
13,844,-3.29273,2.0491200000000003
14,1035,-2.49273,4.04912
15,545,-3.8927300000000002,-1.3508799999999992
16,387,-2.69273,-3.15088
17,718,-0.4927299999999999,0.44912000000000063
18,857,0.9072700000000005,2.0491200000000003
19,37,-2.29273,-6.95088
20,684,-2.69273,0.24912000000000045
21,809,2.50727,1.4491200000000006
22,507,1.1072699999999998,-1.9508799999999997
23,217,-4.89273,-4.95088
24,865,-4.89273,2.2491200000000013
25,584,-0.09272999999999954,-0.9508799999999997
26,282,-1.69273,-4.35088
27,963,0.10726999999999975,3.2491200000000013
28,318,1.1072699999999998,-3.9508799999999997
29,768,-1.69273,1.2491200000000013
30,302,-3.8927300000000002,-3.9508799999999997
