fold,full_mean_nll,null_median_mean_nll,paired_mean_delta_nll
0,1.1309825179467237,3.106876564665563,1.9258837826319306
1,0.5813946363583214,1.509329007763908,0.8719216042815673
2,2.567362200798653,5.350894494774801,2.5512503971985074
3,1.5439795433744419,2.610335110798724,0.9039843804124976
