model,mean_nll,median_truth_rank,top3
FULL,1.4559297246195348,1.0,0.9826388888888888
DIAG-COV,3.0390579320059263,1.0,0.9583333333333334
BLOCK-PRODUCT,2.7808411838393576,1.0,0.9722222222222222
