shuffle,mean_nll,median_truth_rank,top1,top3
0,3.265877604046224,1.0,0.7465277777777778,0.9444444444444444
1,3.192080237762795,1.0,0.7708333333333334,0.9479166666666666
2,3.4908575240643307,1.0,0.7361111111111112,0.9548611111111112
3,2.976378599421976,1.0,0.7638888888888888,0.9548611111111112
4,2.961017687561876,1.0,0.7638888888888888,0.9548611111111112
5,3.5146775417746805,1.0,0.7465277777777778,0.9548611111111112
6,3.0768159323696813,1.0,0.75,0.9479166666666666
7,3.2644260594512846,1.0,0.75,0.9479166666666666
8,2.920764169962764,1.0,0.7673611111111112,0.9583333333333334
9,3.7091238362085743,1.0,0.7604166666666666,0.9548611111111112
10,3.032825749502391,1.0,0.7638888888888888,0.9444444444444444
11,2.9299888122062008,1.0,0.75,0.9479166666666666
12,2.9466889381639785,1.0,0.7465277777777778,0.9513888888888888
13,3.0044232888590328,1.0,0.7604166666666666,0.9513888888888888
14,3.291219092380486,1.0,0.7743055555555556,0.9513888888888888
15,3.0016443947116036,1.0,0.7777777777777778,0.9513888888888888
16,3.2161105415144644,1.0,0.7569444444444444,0.9375
17,3.23733200239924,1.0,0.7604166666666666,0.9513888888888888
18,3.1642336957085107,1.0,0.7465277777777778,0.9548611111111112
19,3.472132119130541,1.0,0.7534722222222222,0.9548611111111112
20,3.171601284753532,1.0,0.7534722222222222,0.9548611111111112
21,2.7657445476108053,1.0,0.7604166666666666,0.9583333333333334
22,3.3808804440477926,1.0,0.7534722222222222,0.9444444444444444
23,3.591589115340428,1.0,0.7604166666666666,0.9548611111111112
24,3.0882393896041815,1.0,0.7430555555555556,0.9479166666666666
25,3.166277147452291,1.0,0.7430555555555556,0.9479166666666666
26,3.206114798950115,1.0,0.7569444444444444,0.9375
27,3.1959718398806354,1.0,0.7708333333333334,0.9409722222222222
28,3.073584411439334,1.0,0.75,0.9548611111111112
29,3.1042976517906666,1.0,0.75,0.9479166666666666
30,3.1091382822276468,1.0,0.75,0.9513888888888888
31,3.5995799036433707,1.0,0.7638888888888888,0.9513888888888888
32,3.9272484947268356,1.0,0.7256944444444444,0.9479166666666666
33,3.3859007092169926,1.0,0.7534722222222222,0.9409722222222222
34,3.8473446414611896,1.0,0.7604166666666666,0.9444444444444444
35,3.0141518810075363,1.0,0.7604166666666666,0.9548611111111112
36,2.9849494963253203,1.0,0.7465277777777778,0.9548611111111112
37,3.031825054503116,1.0,0.7638888888888888,0.9583333333333334
38,3.116785158531689,1.0,0.7534722222222222,0.9375
39,3.195026145037302,1.0,0.7534722222222222,0.9583333333333334
40,3.43472516932249,1.0,0.7430555555555556,0.9444444444444444
