carrier_index,carrier_id,x,y,free_cells
0,quadtree_0_4_2_2,-0.40000000596046448,-0.36299997568130493,2
1,quadtree_0_6_2_2,-0.40000000596046448,0.2369999885559082,2
2,quadtree_0_8_2_2,-0.40000000596046448,0.83700013160705566,2
3,quadtree_0_12_2_2,-0.40000000596046448,2.0370002388954163,2
4,quadtree_0_14_2_2,-0.40000000596046448,2.4870004653930664,1
5,quadtree_2_4_2_2,0.050000011920928955,-0.36299997568130493,4
6,quadtree_2_6_2_2,0.050000011920928955,0.2369999885559082,4
7,quadtree_2_8_2_2,0.050000011920928955,0.83700013160705566,4
8,quadtree_2_12_2_2,0.050000011920928955,2.0370002388954163,4
9,quadtree_2_14_2_2,0.050000011920928955,2.4870004653930664,2
10,quadtree_4_4_2_2,0.65000003576278687,-0.36299997568130493,4
11,quadtree_4_6_2_2,0.65000003576278687,0.2369999885559082,4
12,quadtree_4_8_2_2,0.65000003576278687,0.83700013160705566,4
13,quadtree_4_10_2_2,0.5,1.437000036239624,2
14,quadtree_4_12_2_2,0.65000003576278687,2.0370002388954163,4
15,quadtree_4_14_2_2,0.65000003576278687,2.6370003223419189,4
16,quadtree_6_4_2_2,1.25,-0.36299997568130493,4
17,quadtree_6_6_2_2,1.25,0.2369999885559082,4
18,quadtree_6_8_2_2,1.25,0.83700013160705566,4
19,quadtree_6_12_2_2,1.25,2.0370002388954163,4
20,quadtree_6_14_2_2,1.25,2.6370003223419189,4
21,quadtree_8_0_2_2,2,-1.4129999876022339,1
22,quadtree_8_4_2_2,1.8500000834465027,-0.36299997568130493,4
23,quadtree_8_6_2_2,1.8500000834465027,0.2369999885559082,4
24,quadtree_8_8_2_2,1.8500000834465027,0.83700013160705566,4
25,quadtree_8_14_2_2,1.7000001668930054,2.6370003223419189,2
26,quadtree_10_0_2_2,2.4500000476837158,-1.4129999876022339,2
27,quadtree_10_4_2_2,2.4500000476837158,-0.36299997568130493,4
28,quadtree_10_6_2_2,2.4500000476837158,0.2369999885559082,4
29,quadtree_10_8_2_2,2.4500000476837158,0.83700013160705566,4
30,quadtree_10_12_2_2,2.5999999046325684,2.0370002388954163,2
31,quadtree_10_14_2_2,2.5,2.6870002746582031,3
32,quadtree_10_16_2_2,2.4500000476837158,3.2370002269744873,4
33,quadtree_10_20_2_2,2.5999999046325684,4.5870003700256348,1
34,quadtree_10_22_2_2,2.5999999046325684,5.0370004177093506,2
35,quadtree_10_24_2_2,2.5999999046325684,5.6370003223419189,2
36,quadtree_10_26_2_1,2.5999999046325684,6.0870003700256348,1
37,quadtree_12_0_2_2,3.0500001907348633,-1.4129999876022339,2
38,quadtree_12_2_2_2,2.9000000953674316,-0.96299999952316284,2
39,quadtree_12_4_2_2,2.9000000953674316,-0.36299997568130493,2
40,quadtree_12_6_2_2,2.9000000953674316,0.2369999885559082,2
41,quadtree_12_8_2_2,2.9000000953674316,0.83700013160705566,2
42,quadtree_12_12_2_2,3.0000001589457193,2.0870002508163452,3
43,quadtree_12_14_2_2,3.0500001907348633,2.6370003223419189,4
44,quadtree_12_16_2_2,3.0500001907348633,3.2370002269744873,4
45,quadtree_12_18_2_2,3.0500001907348633,3.6870002746582031,2
46,quadtree_12_20_2_2,3.0500001907348633,4.5870003700256348,2
47,quadtree_12_22_2_2,3.0500001907348633,5.0370004177093506,4
48,quadtree_12_24_2_2,3.0500001907348633,5.6370003223419189,4
49,quadtree_12_26_2_1,3.0500001907348633,6.0870003700256348,2
50,quadtree_14_0_2_2,3.6500003337860107,-1.4129999876022339,2
51,quadtree_14_12_2_2,3.6500003337860107,2.1870002746582031,2
52,quadtree_14_14_2_2,3.6500003337860107,2.6370003223419189,4
53,quadtree_14_16_2_2,3.6500003337860107,3.2370002269744873,4
54,quadtree_14_18_2_2,3.6500003337860107,3.6870002746582031,2
55,quadtree_14_20_2_2,3.6500003337860107,4.5870003700256348,2
56,quadtree_14_22_2_2,3.6500003337860107,5.0370004177093506,4
57,quadtree_14_24_2_2,3.6500003337860107,5.6370003223419189,4
58,quadtree_14_26_2_1,3.6500003337860107,6.0870003700256348,2
59,quadtree_16_0_2_2,4.2500002384185791,-1.4129999876022339,2
60,quadtree_16_2_2_2,4.4000000953674316,-0.96299999952316284,2
61,quadtree_16_4_2_2,4.4000000953674316,-0.36299997568130493,2
62,quadtree_16_6_2_2,4.4000000953674316,0.2369999885559082,2
63,quadtree_16_8_2_2,4.4000000953674316,0.68700015544891357,1
64,quadtree_16_14_2_2,4.2500002384185791,2.6370003223419189,4
65,quadtree_16_16_2_2,4.2000002861022949,3.1870002746582031,3
66,quadtree_16_18_2_2,4.1000003814697266,3.6870002746582031,1
67,quadtree_16_22_2_2,4.2500002384185791,5.0370004177093506,4
68,quadtree_16_24_2_2,4.2500002384185791,5.6370003223419189,4
69,quadtree_16_26_2_1,4.2500002384185791,6.0870003700256348,2
70,quadtree_18_0_2_2,4.8500003814697266,-1.4129999876022339,2
71,quadtree_18_2_2_2,4.8500003814697266,-0.96299999952316284,4
72,quadtree_18_4_2_2,4.8500003814697266,-0.36299997568130493,4
73,quadtree_18_6_2_2,4.8500003814697266,0.2369999885559082,4
74,quadtree_18_8_2_2,4.8500003814697266,0.68700015544891357,2
75,quadtree_18_14_2_2,4.8500003814697266,2.6370003223419189,4
76,quadtree_18_16_2_2,4.9000004132588701,3.1870002746582031,3
77,quadtree_18_18_2_2,5.0000004768371582,3.8370003700256348,2
78,quadtree_18_20_2_2,5.0000004768371582,4.4370002746582031,2
79,quadtree_18_22_2_2,4.8500003814697266,5.0370004177093506,4
80,quadtree_18_24_2_2,4.8500003814697266,5.6370003223419189,4
81,quadtree_18_26_2_1,4.8500003814697266,6.0870003700256348,2
82,quadtree_20_0_2_2,5.4500002861022949,-1.4129999876022339,2
83,quadtree_20_2_2_2,5.4500002861022949,-0.96299999952316284,4
84,quadtree_20_4_2_2,5.4500002861022949,-0.36299997568130493,4
85,quadtree_20_6_2_2,5.4500002861022949,0.2369999885559082,4
86,quadtree_20_8_2_2,5.5000003178914385,0.78700013955434167,3
87,quadtree_20_18_2_2,5.4500002861022949,3.9870004653930664,2
88,quadtree_22_0_2_2,6.0500004291534424,-1.4129999876022339,2
89,quadtree_22_2_2_2,6.0500004291534424,-0.96299999952316284,4
90,quadtree_22_4_2_2,6.0500004291534424,-0.36299997568130493,4
91,quadtree_22_6_2_2,6.0500004291534424,0.2369999885559082,4
92,quadtree_22_8_2_2,6.0500004291534424,0.83700013160705566,4
93,quadtree_22_12_2_2,6.0500004291534424,2.0370002388954163,4
94,quadtree_22_14_2_2,6.0500004291534424,2.6370003223419189,4
95,quadtree_22_16_2_2,6.0500004291534424,3.0870003700256348,2
96,quadtree_22_18_2_2,6.0500004291534424,3.9870004653930664,2
97,quadtree_24_0_2_2,6.6500003337860107,-1.4129999876022339,2
98,quadtree_24_2_2_2,6.6500003337860107,-0.96299999952316284,4
99,quadtree_24_4_2_2,6.6500003337860107,-0.36299997568130493,4
100,quadtree_24_6_2_2,6.6500003337860107,0.2369999885559082,4
101,quadtree_24_8_2_2,6.6500003337860107,0.83700013160705566,4
102,quadtree_24_12_2_2,6.6500003337860107,2.0370002388954163,4
103,quadtree_24_14_2_2,6.6500003337860107,2.6370003223419189,4
104,quadtree_24_16_2_2,6.6500003337860107,3.0870003700256348,2
105,quadtree_24_18_2_2,6.6500003337860107,3.9870004653930664,2
106,quadtree_26_0_2_2,7.2500002384185791,-1.4129999876022339,2
107,quadtree_26_2_2_2,7.2500002384185791,-0.96299999952316284,4
108,quadtree_26_4_2_2,7.2500002384185791,-0.36299997568130493,4
109,quadtree_26_6_2_2,7.2500002384185791,0.2369999885559082,4
110,quadtree_26_8_2_2,7.2500002384185791,0.83700013160705566,4
111,quadtree_26_12_2_2,7.1000003814697266,2.1870002746582031,1
112,quadtree_26_14_2_2,7.1000003814697266,2.6370003223419189,2
113,quadtree_26_16_2_2,7.1000003814697266,3.2370002269744873,2
114,quadtree_26_18_2_2,7.2000002861022949,3.8870004018147788,3
115,quadtree_26_22_2_2,7.2000002861022949,5.0870003700256348,3
116,quadtree_26_24_2_2,7.2500002384185791,5.6370003223419189,4
117,quadtree_26_26_2_1,7.2500002384185791,6.0870003700256348,2
118,quadtree_28_0_2_2,7.8500001430511475,-1.4129999876022339,2
119,quadtree_28_2_2_2,7.8500001430511475,-0.96299999952316284,4
120,quadtree_28_4_2_2,7.8500001430511475,-0.36299997568130493,4
121,quadtree_28_6_2_2,7.8500001430511475,0.2369999885559082,4
122,quadtree_28_8_2_2,7.8500001430511475,0.83700013160705566,4
123,quadtree_28_18_2_2,7.8500001430511475,3.9870004653930664,2
124,quadtree_28_22_2_2,7.9000000953674316,5.0870003700256348,3
125,quadtree_28_24_2_2,7.8500001430511475,5.6370003223419189,4
126,quadtree_28_26_2_1,7.8500001430511475,6.0870003700256348,2
127,quadtree_30_0_2_2,8.4500002861022949,-1.4129999876022339,2
128,quadtree_30_2_2_2,8.4500002861022949,-0.96299999952316284,4
129,quadtree_30_4_2_2,8.4500002861022949,-0.36299997568130493,4
130,quadtree_30_6_2_2,8.4500002861022949,0.2369999885559082,4
131,quadtree_30_8_2_2,8.4500002861022949,0.83700013160705566,4
132,quadtree_30_18_2_2,8.4500002861022949,3.9870004653930664,2
133,quadtree_30_22_2_2,8.4000002543131504,5.0870003700256348,3
134,quadtree_30_24_2_2,8.4500002861022949,5.6370003223419189,4
