M	first8_to_last8_EI_nats	last8_to_first8_EI_nats	average_EI_nats	average_normalized_bound
18	0.942668119465	1.670282120469	1.306475119967	0.452009370905
12	2.279067781508	1.701422315472	1.990245048490	0.800933527487
9	2.122172863008	1.428514939780	1.775343901394	0.807993829901
6	1.723269783233	1.190437704296	1.456853743764	0.813085555726
4	1.319070724699	1.326813345365	1.322942035032	0.954300956662
3	1.098612288668	1.098612288668	1.098612288668	1.000000000000
2	0.693147180560	0.693147180560	0.693147180560	1.000000000000
