candidate_id,terminal_leaf,source_point_exact,support_exact,native_score_exact,support_count,max_abs_support_diff,expected_score,replayed_score,expected_source_x,expected_source_y,replayed_source_x,replayed_source_y
quadtree_10_34_5_3,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.3250584602355957,2.5248270034790039,-4.3250584602355957,2.5248270034790039
quadtree_11_15_2_1,1,1,1,1,212,0,0.013951686057239284,0.013951686057239284,-4.1600232124328613,-3.3117246627807617,-4.1600232124328613,-3.3117246627807617
quadtree_11_15_3_1,0,1,1,1,212,0,0.014401392651245988,0.014401392651245988,-4.1150350570678711,-3.3117246627807617,-4.1150350570678711,-3.3117246627807617
quadtree_11_15_5_1,0,1,1,1,212,0,0.012840954413997385,0.012840954413997385,-4.0250582695007324,-3.3117246627807617,-4.0250582695007324,-3.3117246627807617
quadtree_11_1_5_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.0250582695007324,-7.4434490203857422,-4.0250582695007324,-7.4434490203857422
quadtree_11_27_5_1,1,1,1,1,212,0,8.6312785530087679e-06,8.6312785530087679e-06,-4.0250582695007324,0.28827583789825439,-4.0250582695007324,0.28827583789825439
quadtree_11_3_3_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.1150350570678711,-6.8434491157531738,-4.1150350570678711,-6.8434491157531738
quadtree_11_5_4_5,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.0700464248657227,-6.0386223793029785,-4.0700464248657227,-6.0386223793029785
quadtree_12_14_2_1,1,1,1,1,212,0,0.012680669149952847,0.012680669149952847,-3.8600232601165771,-3.6117243766784668,-3.8600232601165771,-3.6117243766784668
quadtree_12_19_5_5,1,1,1,1,212,0,1.8883321390888584e-12,1.8883321390888584e-12,-3.7250583171844482,-1.8386222124099731,-3.7250583171844482,-1.8386222124099731
