candidate_id,terminal_leaf,source_point_exact,support_exact,native_score_exact,support_count,max_abs_support_diff,expected_score,replayed_score,expected_source_x,expected_source_y,replayed_source_x,replayed_source_y
quadtree_10_34_5_3,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.3250584602355957,2.5248270034790039,-4.3250584602355957,2.5248270034790039
quadtree_11_15_2_1,1,1,1,1,212,0,0.013951686057239284,0.013951686057239284,-4.1600232124328613,-3.3117246627807617,-4.1600232124328613,-3.3117246627807617
quadtree_11_15_3_1,0,1,1,1,212,0,0.014401392651245988,0.014401392651245988,-4.1150350570678711,-3.3117246627807617,-4.1150350570678711,-3.3117246627807617
quadtree_11_15_5_1,0,1,1,1,212,0,0.012840954413997385,0.012840954413997385,-4.0250582695007324,-3.3117246627807617,-4.0250582695007324,-3.3117246627807617
quadtree_11_1_5_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.0250582695007324,-7.4434490203857422,-4.0250582695007324,-7.4434490203857422
quadtree_11_27_5_1,1,1,1,1,212,0,8.6312785530087679e-06,8.6312785530087679e-06,-4.0250582695007324,0.28827583789825439,-4.0250582695007324,0.28827583789825439
quadtree_11_3_3_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.1150350570678711,-6.8434491157531738,-4.1150350570678711,-6.8434491157531738
quadtree_11_5_4_5,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-4.0700464248657227,-6.0386223793029785,-4.0700464248657227,-6.0386223793029785
quadtree_12_14_2_1,1,1,1,1,212,0,0.012680669149952847,0.012680669149952847,-3.8600232601165771,-3.6117243766784668,-3.8600232601165771,-3.6117243766784668
quadtree_12_19_5_5,1,1,1,1,212,0,1.8883321390888584e-12,1.8883321390888584e-12,-3.7250583171844482,-1.8386222124099731,-3.7250583171844482,-1.8386222124099731
quadtree_12_24_5_3,1,1,1,1,212,0,8.2622435853867206e-08,8.2622435853867206e-08,-3.7250583171844482,-0.4751732349395752,-3.7250583171844482,-0.4751732349395752
quadtree_14_14_3_1,1,1,1,1,212,0,0.011866717032893256,0.011866717032893256,-3.2150347232818604,-3.6117243766784668,-3.2150347232818604,-3.6117243766784668
quadtree_14_14_5_1,0,1,1,1,212,0,0.011866509371230087,0.011866509371230087,-3.1250581741333008,-3.6117243766784668,-3.1250581741333008,-3.6117243766784668
quadtree_14_15_2_1,1,1,1,1,212,0,0.011870512061200284,0.011870512061200284,-3.2600231170654297,-3.3117246627807617,-3.2600231170654297,-3.3117246627807617
quadtree_14_18_3_1,1,1,1,1,212,0,1.8099010465563122e-08,1.8099010465563122e-08,-3.2150347232818604,-2.4117245674133301,-3.2150347232818604,-2.4117245674133301
quadtree_14_31_3_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-3.2150347232818604,1.5565512180328369,-3.2150347232818604,1.5565512180328369
quadtree_14_31_5_3,0,1,1,1,212,0,0.011912691717564202,0.011912691717564202,-3.1250581741333008,1.6248267889022827,-3.1250581741333008,1.6248267889022827
quadtree_14_33_3_1,1,1,1,1,212,0,0.011889669734704069,0.011889669734704069,-3.2150347232818604,2.0882759094238281,-3.2150347232818604,2.0882759094238281
quadtree_14_4_4_1,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-3.1700465679168701,-6.611724853515625,-3.1700465679168701,-6.611724853515625
quadtree_15_10_3_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.9150350093841553,-4.7434492111206055,-2.9150350093841553,-4.7434492111206055
quadtree_15_34_4_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.8700466156005859,2.4565515518188477,-2.8700466156005859,2.4565515518188477
quadtree_15_36_2_1,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.9600234031677246,2.9882755279541016,-2.9600234031677246,2.9882755279541016
quadtree_15_5_3_5,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.9150350093841553,-6.0386223793029785,-2.9150350093841553,-6.0386223793029785
quadtree_16_12_1_2,0,1,1,1,212,0,0.011866509261943329,0.011866509261943329,-2.7050116062164307,-4.1434488296508789,-2.7050116062164307,-4.1434488296508789
quadtree_16_15_2_1,1,1,1,1,212,0,0.011866509263157863,0.011866509263157863,-2.6600232124328613,-3.3117246627807617,-2.6600232124328613,-3.3117246627807617
quadtree_16_15_3_1,0,1,1,1,212,0,0.011866509234025656,0.011866509234025656,-2.615034818649292,-3.3117246627807617,-2.615034818649292,-3.3117246627807617
quadtree_16_27_3_1,1,1,1,1,212,0,0.0045158395102206286,0.0045158395102206286,-2.615034818649292,0.28827583789825439,-2.615034818649292,0.28827583789825439
quadtree_16_2_1_2,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.7050116062164307,-7.1434493064880371,-2.7050116062164307,-7.1434493064880371
quadtree_17_14_2_1,1,1,1,1,212,0,0.011866509260728842,0.011866509260728842,-2.360023021697998,-3.6117243766784668,-2.360023021697998,-3.6117243766784668
quadtree_17_26_2_1,1,1,1,1,212,0,0.0061070424909516726,0.0061070424909516726,-2.360023021697998,-0.011724361218512058,-2.360023021697998,-0.011724361218512058
quadtree_17_26_3_1,0,1,1,1,212,0,0.015060741994099389,0.015060741994099389,-2.3150348663330078,-0.011724361218512058,-2.3150348663330078,-0.011724361218512058
quadtree_17_26_5_1,0,1,1,1,212,0,0.024149477193603549,0.024149477193603549,-2.2250580787658691,-0.011724361218512058,-2.2250580787658691,-0.011724361218512058
quadtree_17_31_2_2,1,1,1,1,212,0,0.011889807148414365,0.011889807148414365,-2.360023021697998,1.5565512180328369,-2.360023021697998,1.5565512180328369
quadtree_17_33_2_1,1,1,1,1,212,0,0.011866509232798876,0.011866509232798876,-2.360023021697998,2.0882759094238281,-2.360023021697998,2.0882759094238281
