x,y
-7.3999999999999995,-7.7299999999999995
-7.3999999999999995,-7.63
-7.3999999999999995,-7.53
-7.3999999999999995,-7.43
-7.3999999999999995,-7.33
-7.3999999999999995,-7.2299999999999995
-7.3999999999999995,-7.13
-7.3999999999999995,-7.029999999999999
-7.3999999999999995,-6.93
-7.3999999999999995,-6.83
-7.3999999999999995,-6.7299999999999995
-7.3999999999999995,-6.63
-7.3999999999999995,-6.529999999999999
-7.3999999999999995,-6.43
-7.3999999999999995,-6.33
-7.3999999999999995,-6.2299999999999995
-7.3999999999999995,-6.13
-7.3999999999999995,-6.029999999999999
-7.3999999999999995,-5.93
-7.3999999999999995,-5.83
-7.3999999999999995,-5.73
-7.3999999999999995,-5.63
-7.3999999999999995,-5.529999999999999
-7.3999999999999995,-5.43
-7.3999999999999995,-5.33
-7.3999999999999995,-5.2299999999999995
-7.3999999999999995,-5.13
-7.3999999999999995,-5.029999999999999
-7.3999999999999995,-4.93
-7.3999999999999995,-4.83
-7.3999999999999995,-4.7299999999999995
-7.3999999999999995,-4.63
-7.3999999999999995,-4.529999999999999
-7.3999999999999995,-4.43
-7.3999999999999995,-4.33
-7.3999999999999995,-4.2299999999999995
-7.3999999999999995,-4.13
-7.3999999999999995,-4.029999999999999
-7.3999999999999995,-3.9299999999999997
-7.3999999999999995,-3.83
-7.3999999999999995,-3.7299999999999995
-7.3999999999999995,-3.63
-7.3999999999999995,-2.5299999999999994
-7.3999999999999995,-2.4299999999999997
-7.3999999999999995,-2.329999999999999
-7.3999999999999995,-2.2299999999999995
-7.3999999999999995,-2.13
-7.3999999999999995,-2.0299999999999994
-7.3999999999999995,-1.9299999999999997
-7.3999999999999995,-1.8299999999999992
-7.3999999999999995,-1.7299999999999995
-7.3999999999999995,-1.63
-7.3999999999999995,-1.5299999999999994
-7.3999999999999995,-1.4299999999999997
-7.3999999999999995,-1.3299999999999992
-7.3999999999999995,-1.2299999999999995
-7.3999999999999995,-1.13
-7.3999999999999995,-1.0299999999999994
-7.3999999999999995,-0.9299999999999997
-7.3999999999999995,-0.8299999999999992
-7.3999999999999995,-0.7299999999999995
-7.3999999999999995,-0.6299999999999999
-7.3999999999999995,-0.5299999999999994
-7.3999999999999995,-0.4299999999999997
-7.3999999999999995,-0.3299999999999992
-7.3999999999999995,-0.22999999999999954
-7.3999999999999995,-0.1299999999999999
-7.3999999999999995,-0.02999999999999936
-7.3999999999999995,0.07000000000000028
-7.3999999999999995,0.17000000000000082
-7.3999999999999995,0.27000000000000046
-7.3999999999999995,0.3700000000000001
-7.3999999999999995,0.46999999999999975
-7.3999999999999995,0.5700000000000012
-7.3999999999999995,0.6700000000000008
-7.3999999999999995,0.7700000000000005
-7.3,-7.7299999999999995
-7.3,-7.63
-7.3,-7.53
-7.3,-7.43
-7.3,-7.33
-7.3,-7.2299999999999995
-7.3,-7.13
-7.3,-7.029999999999999
-7.3,-6.93
-7.3,-6.83
-7.3,-6.7299999999999995
-7.3,-6.63
-7.3,-6.529999999999999
-7.3,-6.43
-7.3,-6.33
-7.3,-6.2299999999999995
-7.3,-6.13
-7.3,-6.029999999999999
-7.3,-5.93
-7.3,-5.83
-7.3,-5.73
-7.3,-5.63
-7.3,-5.529999999999999
-7.3,-5.43
-7.3,-5.33
-7.3,-5.2299999999999995
-7.3,-5.13
-7.3,-5.029999999999999
-7.3,-4.93
-7.3,-4.83
-7.3,-4.7299999999999995
-7.3,-4.63
-7.3,-4.529999999999999
-7.3,-4.43
-7.3,-4.33
-7.3,-4.2299999999999995
-7.3,-4.13
-7.3,-4.029999999999999
-7.3,-3.9299999999999997
-7.3,-3.83
-7.3,-3.7299999999999995
-7.3,-3.63
-7.3,-2.5299999999999994
-7.3,-2.4299999999999997
-7.3,-2.329999999999999
-7.3,-2.2299999999999995
-7.3,-2.13
-7.3,-2.0299999999999994
-7.3,-1.9299999999999997
-7.3,-1.8299999999999992
-7.3,-1.7299999999999995
-7.3,-1.63
-7.3,-1.5299999999999994
-7.3,-1.4299999999999997
-7.3,-1.3299999999999992
-7.3,-1.2299999999999995
-7.3,-1.13
-7.3,-1.0299999999999994
-7.3,-0.9299999999999997
-7.3,-0.8299999999999992
-7.3,-0.7299999999999995
-7.3,-0.6299999999999999
-7.3,-0.5299999999999994
-7.3,-0.4299999999999997
-7.3,-0.3299999999999992
-7.3,-0.22999999999999954
-7.3,-0.1299999999999999
-7.3,-0.02999999999999936
-7.3,0.07000000000000028
-7.3,0.17000000000000082
-7.3,0.27000000000000046
-7.3,0.3700000000000001
-7.3,0.46999999999999975
-7.3,0.5700000000000012
-7.3,0.6700000000000008
-7.3,0.7700000000000005
-7.2,-7.7299999999999995
-7.2,-7.63
-7.2,-7.53
-7.2,-7.43
-7.2,-7.33
