"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-1.9629e-05,-1.119e-05,-8.9369e-08,9.3523,4.2506,0.13138
-1.0514e-05,-5.6797e-06,-3.7733e-07,9.3535,4.1501,0.040005
-1.7433e-05,-1.7369e-05,3.0235e-08,9.4514,4.2527,0.23729
-1.1612e-05,-1.2131e-05,-4.3592e-08,9.457,4.1504,0.13262
-5.8349e-06,-6.091e-06,-2.8034e-07,9.4577,4.05,0.039891
-1.2122e-05,-2.0853e-05,2.0206e-07,9.5463,4.256,0.34535
-7.5432e-06,-1.5241e-05,2.2298e-07,9.5587,4.1509,0.24283
-4.7799e-06,-9.9275e-06,8.3013e-08,9.5667,4.0498,0.13575
-2.6196e-06,-5.028e-06,3.7636e-08,9.5622,3.9499,0.040382
-7.3881e-06,-1.9138e-05,2.2026e-07,9.6465,4.2454,0.44928
-4.4581e-06,-1.2254e-05,2.3672e-07,9.654,4.146,0.34949
-1.944e-06,-8.1275e-06,2.1549e-07,9.6587,4.0487,0.24964
-1.3613e-06,-6.026e-06,-5.5122e-08,9.6616,3.9498,0.14948
-8.7838e-07,-3.3629e-06,3.2309e-08,9.6568,3.8502,0.0555
-2.0656e-05,7.0682e-07,-3.9553e-07,9.1503,4.3501,0.039915
-2.5227e-05,-4.8153e-06,-2.2587e-07,9.2503,4.4501,0.039942
-2.804e-05,-7.0526e-06,-1.4738e-07,9.2507,4.3504,0.13073
-2.8653e-05,-1.2739e-05,6.4172e-08,9.3502,4.5501,0.039972
-3.2203e-05,-1.5882e-05,-1.8944e-07,9.3503,4.4508,0.13095
-2.7613e-05,-1.5093e-05,-1.7415e-07,9.3501,4.3519,0.23397
-2.9537e-05,-2.3565e-05,-9.0502e-07,9.4501,4.6502,0.040048
-3.3725e-05,-2.7246e-05,-3.2208e-07,9.4498,4.5511,0.1312
-2.9817e-05,-2.4769e-05,-2.9691e-07,9.4482,4.4533,0.23484
-2.4346e-05,-2.1813e-05,-7.2684e-08,9.4465,4.3554,0.34002
-2.6254e-05,-3.6842e-05,-1.6405e-06,9.55,4.7502,0.040272
-3.1025e-05,-4.1016e-05,-3.4379e-07,9.5497,4.6511,0.13168
-2.8256e-05,-3.569e-05,-3.5115e-07,9.5477,4.554,0.23531
-2.4416e-05,-3.0455e-05,-8.3155e-08,9.5432,4.4583,0.34103
-1.9564e-05,-2.6102e-05,1.7609e-07,9.5397,4.3601,0.44561
-1.8777e-05,-4.9924e-05,7.2126e-07,9.65,4.8501,0.040894
-2.2977e-05,-5.4167e-05,1.423e-07,9.6499,4.7509,0.13275
-2.1196e-05,-4.5562e-05,-2.7445e-07,9.6488,4.6535,0.23561
-1.9349e-05,-3.7312e-05,-1.1177e-07,9.6453,4.5585,0.34063
-1.7635e-05,-3.1031e-05,2.1121e-07,9.6391,4.4633,0.44563
-1.2012e-05,-2.4522e-05,2.2731e-07,9.6386,4.3557,0.54858
-8.0165e-06,-5.2664e-05,1.3078e-06,9.75,4.9501,0.044017
-9.5984e-06,-5.2119e-05,1.9511e-07,9.75,4.8507,0.13514
-8.6444e-06,-4.186e-05,-1.6288e-07,9.7498,4.7525,0.23622
-7.6475e-06,-3.2423e-05,-1.9457e-07,9.7491,4.6566,0.3395
-7.2054e-06,-2.499e-05,6.0177e-08,9.7473,4.5621,0.44413
-7.367e-06,-1.8004e-05,2.2561e-07,9.7439,4.4664,0.5477
-5.5738e-06,-1.225e-05,7.4296e-08,9.7458,4.3542,0.64953
-1.634e-05,3.7249e-07,-4.6313e-07,9.1505,4.25,0.039926
-2.1944e-05,-5.9681e-06,-1.4879e-07,9.2514,4.2503,0.13084
-1.214e-05,-2.7677e-06,-3.8787e-07,9.2517,4.15,0.039988
