case_id,native_error_m,hcmc_error_m,hcmc_status,endpoint_parity_delta_m,endpoint_parity_pass,false_confident_collapse
H01_R2026092201,4.596730238281455,,UNDEFINED_ALL_CANDIDATES_INVALID,0.0032697617185446504,True,
H01_R2026092202,4.273803960695156,4.995908867765996,DEFINED,0.0038039606951567606,True,True
H02_R2026092211,6.934091722524899,2.865989474304233,DEFINED,0.0040917225248993105,True,False
H02_R2026092212,4.3578692039814415,2.4257448753998565,DEFINED,0.0021307960185588115,True,False
H03_R2026092221,7.952723469399144,8.240217186767225,DEFINED,0.0027234693991440295,True,False
H03_R2026092222,7.96079241948432,8.455188528766639,DEFINED,0.0007924194843198507,True,False
