house,carrier_index,carrier_id,origin_i,origin_j,size_i,size_j,pmfs_grid_i,pmfs_grid_j,pmfs_x,pmfs_y,gaden_x_index,gaden_y_index,legal_height_count,legal_heights_m,placement_weight
H01,5,quadtree_0_10_2_2,0,10,2,2,1,11,-7.1000003814697266,-4.4300003051757812,4,34,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,6,quadtree_0_12_2_2,0,12,2,2,1,12,-7.1000003814697266,-4.130000114440918,4,37,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,6,quadtree_0_12_2_2,0,12,2,2,1,13,-7.1000003814697266,-3.8299999237060547,4,40,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,7,quadtree_0_18_2_2,0,18,2,2,1,18,-7.1000003814697266,-2.3299999237060547,4,55,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,7,quadtree_0_18_2_2,0,18,2,2,1,19,-7.1000003814697266,-2.0299997329711914,4,58,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,8,quadtree_0_20_2_2,0,20,2,2,1,20,-7.1000003814697266,-1.7300000190734863,4,61,19,0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,8,quadtree_0_20_2_2,0,20,2,2,1,21,-7.1000003814697266,-1.429999828338623,4,64,25,-0.66899999999999982;-0.56899999999999995;-0.16899999999999982;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,9,quadtree_0_22_2_2,0,22,2,2,1,22,-7.1000003814697266,-1.1299996376037598,4,67,26,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.16899999999999982;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,9,quadtree_0_22_2_2,0,22,2,2,1,23,-7.1000003814697266,-0.82999992370605469,4,70,28,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,10,quadtree_0_24_2_2,0,24,2,2,1,24,-7.1000003814697266,-0.52999973297119141,4,73,26,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.16899999999999982;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,10,quadtree_0_24_2_2,0,24,2,2,1,25,-7.1000003814697266,-0.23000001907348633,4,76,25,-0.66899999999999982;-0.56899999999999995;-0.16899999999999982;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,11,quadtree_0_26_2_2,0,26,2,2,1,26,-7.1000003814697266,0.070000171661376953,4,79,19,0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,11,quadtree_0_26_2_2,0,26,2,2,1,27,-7.1000003814697266,0.36999988555908203,4,82,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,12,quadtree_0_28_2_2,0,28,2,2,1,28,-7.1000003814697266,0.67000007629394531,4,85,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,13,quadtree_2_0_2_2,2,0,2,2,2,1,-6.8000001907348633,-7.4300003051757812,7,4,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,13,quadtree_2_0_2_2,2,0,2,2,3,1,-6.5,-7.4300003051757812,10,4,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,14,quadtree_2_2_2_2,2,2,2,2,2,2,-6.8000001907348633,-7.130000114440918,7,7,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,14,quadtree_2_2_2_2,2,2,2,2,2,3,-6.8000001907348633,-6.8299999237060547,7,10,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,14,quadtree_2_2_2_2,2,2,2,2,3,2,-6.5,-7.130000114440918,10,7,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,14,quadtree_2_2_2_2,2,2,2,2,3,3,-6.5,-6.8299999237060547,10,10,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,15,quadtree_2_4_2_2,2,4,2,2,2,4,-6.8000001907348633,-6.5300002098083496,7,13,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,15,quadtree_2_4_2_2,2,4,2,2,2,5,-6.8000001907348633,-6.2300000190734863,7,16,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,15,quadtree_2_4_2_2,2,4,2,2,3,4,-6.5,-6.5300002098083496,10,13,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,15,quadtree_2_4_2_2,2,4,2,2,3,5,-6.5,-6.2300000190734863,10,16,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,16,quadtree_2_6_2_2,2,6,2,2,2,6,-6.8000001907348633,-5.9300003051757812,7,19,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,16,quadtree_2_6_2_2,2,6,2,2,2,7,-6.8000001907348633,-5.630000114440918,7,22,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,16,quadtree_2_6_2_2,2,6,2,2,3,6,-6.5,-5.9300003051757812,10,19,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,16,quadtree_2_6_2_2,2,6,2,2,3,7,-6.5,-5.630000114440918,10,22,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,17,quadtree_2_8_2_2,2,8,2,2,2,8,-6.8000001907348633,-5.3299999237060547,7,25,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,17,quadtree_2_8_2_2,2,8,2,2,2,9,-6.8000001907348633,-5.0299997329711914,7,28,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,17,quadtree_2_8_2_2,2,8,2,2,3,8,-6.5,-5.3299999237060547,10,25,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,17,quadtree_2_8_2_2,2,8,2,2,3,9,-6.5,-5.0299997329711914,10,28,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,18,quadtree_2_10_2_2,2,10,2,2,2,10,-6.8000001907348633,-4.7300000190734863,7,31,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,18,quadtree_2_10_2_2,2,10,2,2,2,11,-6.8000001907348633,-4.4300003051757812,7,34,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,18,quadtree_2_10_2_2,2,10,2,2,3,10,-6.5,-4.7300000190734863,10,31,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,18,quadtree_2_10_2_2,2,10,2,2,3,11,-6.5,-4.4300003051757812,10,34,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,19,quadtree_2_12_2_2,2,12,2,2,2,12,-6.8000001907348633,-4.130000114440918,7,37,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,19,quadtree_2_12_2_2,2,12,2,2,2,13,-6.8000001907348633,-3.8299999237060547,7,40,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
