house,carrier_index,carrier_id,origin_i,origin_j,size_i,size_j,pmfs_grid_i,pmfs_grid_j,pmfs_x,pmfs_y,gaden_x_index,gaden_y_index,legal_height_count,legal_heights_m,placement_weight
H01,0,quadtree_0_0_2_2,0,0,2,2,1,1,-7.1000003814697266,-7.4300003051757812,4,4,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,1,quadtree_0_2_2_2,0,2,2,2,1,2,-7.1000003814697266,-7.130000114440918,4,7,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,1,quadtree_0_2_2_2,0,2,2,2,1,3,-7.1000003814697266,-6.8299999237060547,4,10,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,2,quadtree_0_4_2_2,0,4,2,2,1,4,-7.1000003814697266,-6.5300002098083496,4,13,29,-0.66899999999999982;-0.56899999999999995;-0.46899999999999986;-0.36899999999999988;-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,2,quadtree_0_4_2_2,0,4,2,2,1,5,-7.1000003814697266,-6.2300000190734863,4,16,25,-0.26899999999999991;-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,3,quadtree_0_6_2_2,0,6,2,2,1,6,-7.1000003814697266,-5.9300003051757812,4,19,23,-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,3,quadtree_0_6_2_2,0,6,2,2,1,7,-7.1000003814697266,-5.630000114440918,4,22,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,4,quadtree_0_8_2_2,0,8,2,2,1,8,-7.1000003814697266,-5.3299999237060547,4,25,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,4,quadtree_0_8_2_2,0,8,2,2,1,9,-7.1000003814697266,-5.0299997329711914,4,28,22,0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
H01,5,quadtree_0_10_2_2,0,10,2,2,1,10,-7.1000003814697266,-4.7300000190734863,4,31,24,-0.16899999999999982;-0.068999999999999839;0.031000000000000139;0.13100000000000023;0.23100000000000009;0.33100000000000018;0.43100000000000027;0.53100000000000014;0.63100000000000023;0.73100000000000009;0.83100000000000018;0.93100000000000027;1.0310000000000004;1.131;1.2310000000000001;1.3310000000000002;1.4310000000000003;1.5310000000000004;1.6310000000000004;1.7310000000000001;1.8310000000000002;1.9310000000000003;2.0310000000000006;2.1310000000000002,
