pair_index,protocol,fold,S,W,D_CNR,B,W_a,W_b,W_E,ED,D_ED
0,P_G1A,0,3.2948767002986306,165.86158758937745,0.0198652186330957,15.814368903198645,13.81192428329313,18.739599335365988,16.27576180932956,-0.9227858122618287,-0.05669693517706486
0,P_E2,0,4.276015608440155,32.91254287443828,0.12992054806427222,7.547370887742606,6.3617323143485685,8.580659904944948,7.471196109646758,0.15234955619169455,0.020391588435863632
0,P_G1A,1,35.315956575698465,160.78648182713687,0.21964506079330526,16.097817902038525,15.90277295203417,16.080879977565306,15.991826464799738,0.2119828744775738,0.01325570127614666
0,P_E2,1,6.949611736682457,35.18048826708521,0.19754165104006102,7.817882081927966,7.531323274776655,7.8472902298351785,7.689306752305917,0.25715065924409775,0.033442632415038545
0,P_G1A,2,29.898208930931865,161.9792902830879,0.1845804416024387,16.18985724154453,17.10818323959924,15.002558655618708,16.055370947608974,0.26897258787111333,0.016752810554707287
0,P_E2,2,9.705715488970524,34.932282909332336,0.27784372164144727,8.023039566748903,7.753860746282085,7.677645689239913,7.715753217761,0.6145726979758059,0.07965167892623859
0,P_G1A,3,40.26073506881593,182.51757994445887,0.2205855188361978,17.39137842758528,17.108352710622782,16.919498530608458,17.01392562061562,0.7549056139393215,0.04436986682390655
0,P_E2,3,10.677203101750315,38.411107198904986,0.27797176078392294,8.376824193292624,7.821901349497165,8.236058277803068,8.028979813650116,0.6956887592850158,0.08664721738390418
1,P_G1A,0,40.42449297655264,54.33931103159531,0.7439272270678516,11.331864323829953,11.427414683392978,7.390884382721839,9.409149533057409,3.845429581545088,0.4086904526313451
1,P_E2,0,19.421055904893493,17.42595961374258,1.114489895268557,6.619608431649437,6.580760642629257,4.106147278603856,5.343453960616557,2.5523089420657596,0.4776515266856923
1,P_G1A,1,69.62456712644519,54.38823070870863,1.2801403211527396,12.051086075389057,9.567798332355535,9.358144522439371,9.462971427397452,5.176229295983207,0.5469983012937851
1,P_E2,1,31.906828459346524,17.39110824681655,1.8346633237220622,7.275482337279905,5.559957329726616,5.204114238787127,5.382035784256871,3.786893106046066,0.7036172292126738
1,P_G1A,2,55.631163557177445,58.25011061709566,0.9550396208311196,11.81659640455894,10.581692696198127,8.685589178330522,9.633640937264325,4.36591093458923,0.4531942764959078
1,P_E2,2,23.547289426456302,17.583591424535207,1.3391626805873187,6.830331160302652,6.16542464354604,4.495457678235042,5.330441160890541,2.9997799988242217,0.562763926714099
1,P_G1A,3,64.79840887491986,51.3426724743597,1.2620770550503597,11.71364092866066,9.104157107540823,9.141082566874958,9.12261983720789,5.182042182905537,0.5680432019938686
1,P_E2,3,23.396019289193816,15.28331790315125,1.530820692040072,6.685694104086814,5.296838989328736,4.640137287250198,4.968488138289468,3.434411931594692,0.6912388308073216
2,P_G1A,0,65.51416531219985,120.08141207535341,0.5455812367614642,15.869666515149568,14.606143324455445,13.19923680337021,13.902690063912829,3.9339529024734805,0.2829634325720097
2,P_E2,0,20.734201628134844,28.607775303785694,0.7247750448239271,7.899986174835844,6.46610383720366,7.028391259651605,6.747247548427632,2.3054772528164227,0.3416915173582718
2,P_G1A,1,56.13064982243345,119.29360526674827,0.4705252196617373,15.413644525009865,15.280729862930839,12.396822781737294,13.838776322334066,3.1497364053515966,0.22760223389586573
2,P_E2,1,11.906956718596026,34.4572435312255,0.34555743577671605,8.002642957122763,7.9982244935333195,6.734572184858242,7.366398339195781,1.272489235853965,0.17274238742723425
2,P_G1A,2,49.6143724031546,112.43980515247392,0.4412527426192659,15.107822929458735,12.579911756085577,13.978550694362884,13.27923122522423,3.657183408469006,0.27540626007915564
2,P_E2,2,14.705493055591376,28.193510639683815,0.5215914131274568,7.691207590991951,5.975519290430344,6.986333363596296,6.48092632701332,2.4205625279572605,0.37349020893288504
