pair_index,fold,signal,noise,total,Delta_Between,Delta_WithinED,Delta_EDnum,Delta_D_ED,Delta_D_CNR
0,0,0.2606528963882828,1.6172998033402783,1.8779526997285612,-8.26699801545604,-8.8045656996828,1.0751353684535232,0.07708852361292849,0.11005532943117652
0,1,-1.625649096655082,1.519585666648767,-0.10606343000631502,-8.279935820110559,-8.30251971249382,0.045167784766523944,0.020186931138891886,-0.022103409753244235
0,2,-1.1250836389758048,1.5340570759243275,0.40897343694852273,-8.166817674795627,-8.339617729847975,0.3456001101046926,0.0628988683715313,0.09326328003900858
0,3,-1.3272657607116654,1.5584998291055885,0.23123406839392313,-9.014554234292657,-8.984945806965504,-0.059216854654305706,0.04227735055999764,0.057386241947725125
1,0,-0.7330780296417996,1.1372868988532323,0.40420886921143273,-4.712255892180516,-4.065695572440852,-1.2931206394793282,0.06896107405434715,0.37056266820070527
1,1,-0.7802974358433716,1.140188727881854,0.35989129203848247,-4.775603738109152,-4.080935643140581,-1.3893361899371408,0.15661892791888865,0.5545230025693226
1,2,-0.8597328246964255,1.1977798296969802,0.3380470050005546,-4.986265244256288,-4.303199776373783,-1.3661309357650087,0.1095696502181912,0.3841230597561991
1,3,-1.018715156611484,1.2117603280912892,0.19304517147980516,-5.027946824573846,-4.154131698918423,-1.747630251310845,0.12319562881345303,0.26874363698971226
2,0,-1.1504817941972392,1.4344914020647606,0.2840096078675214,-7.969680340313724,-7.155442515485197,-1.6284756496570578,0.058728084786262125,0.17919380806246288
2,1,-1.5505591784758481,1.241868488032146,-0.3086906904437021,-7.4110015678871015,-6.472377983138285,-1.8772471694976316,-0.054859846468631485,-0.12496778388502128
2,2,-1.2160594567135514,1.3833261808321629,0.16726672411861143,-7.416615338466784,-6.79830489821091,-1.2366208805117456,0.0980839488537294,0.08033867050819093
2,3,-1.119242464632007,1.398328228102014,0.279085763470007,-7.753774615923842,-7.296624257036857,-0.9143007177739699,0.15128477478624208,0.16044300479246087
3,0,-2.063957211184015,0.9277567427764524,-1.1362004684075626,-6.274528251936566,-4.927679286543588,-2.693697930785956,-0.23454876139666497,-0.5027209748514583
3,1,-1.6691514114992232,1.164732978139556,-0.5044184333596673,-6.233250916336152,-5.805964705781799,-0.8545724211087045,-0.09566117847193487,-0.04023221310678635
3,2,-2.4264747891687897,0.9443838543915066,-1.482090934777283,-6.389842135124796,-5.580081125769875,-1.6195220187098407,-0.14997907854360004,-0.17889610700885394
3,3,-1.8172929251244359,0.9928930287883704,-0.8243998963360655,-8.00517143133922,-6.02917181594435,-3.9519992307897382,-0.20889919408008123,-0.5551538000261886
4,0,-1.5079529666753988,1.081294680748769,-0.4266582859266297,-6.657515883570568,-5.1521258608283915,-3.0107800454843536,-0.15519464701357363,-0.2818194943437212
4,1,-0.6511303769209755,1.2299369260082131,0.5788065490872376,-5.736730147585765,-5.585722866674276,-0.3020145618229755,0.03767169021891123,0.15246484768974927
4,2,-1.5069671880199431,1.1111263493502208,-0.3958408386697223,-6.75324643933278,-5.133854523195153,-3.238783832275254,-0.16810000554236135,-0.3354837938202665
4,3,-0.9420324343782336,1.3269299181430503,0.3848974837648167,-6.440330229369177,-6.224678513614444,-0.4313034315094688,0.03603428316337755,0.11135323766230362
5,0,-0.28338771385047323,0.8816633262685967,0.5982756124181234,-4.834671104389095,-1.871731196621087,-5.925879815536014,3.045753754828519,44.08178143707032
5,1,-0.26608707821364597,1.1157576315908337,0.8496705533771878,-4.823656863315932,-2.4205816030385687,-4.8061505205547235,3.6703689440982057,46.490779498539254
5,2,-0.26962715286085626,1.0097123107876116,0.7400851579267553,-4.886189369462556,-2.4624321693823052,-4.847514400160506,3.0351298856973106,36.15289760854353
5,3,-0.2678237702356965,1.0445037812233307,0.7766800109876342,-4.868157576462107,-2.5451481667130933,-4.646018819498032,3.0604796547799884,35.816407050025155
6,0,-1.576315146490952,0.8805921203376981,-0.6957230261532539,-4.788260933263195,-2.9976074696644552,-3.5813069271974793,-0.29176897800422197,-0.8125290294826002
6,1,-1.4882361797342445,0.8098491821147542,-0.6783869976194903,-5.954593359979788,-2.889310803674981,-6.130565112609616,-0.5155335694846482,-1.4276334007771503
6,2,-1.6955561953808216,0.8522030890524679,-0.8433531063283537,-4.65411584324322,-2.5248735233844704,-4.258484639717499,-0.43370916165401113,-1.255592390669917
6,3,-1.4424018270686472,0.6783744001279972,-0.76402742694065,-4.15830477986953,-2.465220662233766,-3.386168235271528,-0.3131259560697026,-0.906657341610135
7,0,-1.52974849737166,1.3830246434645517,-0.1467238539071083,-13.992787894832752,-9.249328463000396,-9.486918863664712,-0.09997304447122146,-0.26874521541937924
7,1,-1.4427475500927818,1.3703162645931828,-0.07243128549959899,-13.447277786912318,-8.716784196067671,-9.46098718168929,-0.05525792913962546,-0.1632465781954311
7,2,-1.5105290613565279,1.3768112055555948,-0.1337178558009331,-14.65803481622235,-9.681184527240193,-9.95370057796432,-0.08095172334686462,-0.26527367760880605
7,3,-1.5768631765677172,1.2818372425344586,-0.2950259340332586,-12.239407636932736,-7.339466928051417,-9.799881417762636,-0.2455184846137406,-0.6182689752170623
8,0,-1.3977722391141363,0.8662769552297487,-0.5314952838843876,-5.459490846737381,-5.350730783138328,-0.21752012719810843,-0.01965650672268926,-0.04378103158364819
8,1,-0.7179501669129378,0.8997337868121864,0.18178361989924863,-6.551484787332402,-5.827324230037268,-1.4483211145902715,-0.047421307400390966,0.057440682764905604
8,2,-0.9104385279340255,0.6539369602520022,-0.25650156768202326,-4.635993977856957,-3.8607612701721674,-1.5504654153695778,-0.08436252180571746,-0.11633425529347252
8,3,-1.9235470281030629,0.8811553672240393,-1.0423916608790236,-6.549882417199909,-6.179907155854146,-0.7399505226915242,-0.06221908070132676,-0.10228282941189981
9,0,-0.3968622940899489,0.7857594715996932,0.3888971775097443,-5.904982002502113,-6.204786255825944,0.5996085066476642,0.05750633539128999,0.04030177920570416
9,1,-0.05296083218347514,0.9091384442784056,0.8561776120949305,-6.43722096747155,-6.87593449561075,0.8774270562784015,0.09565830168101867,0.1571673236500432
9,2,-0.947282246069038,0.788785798661598,-0.15849644740743996,-6.658212424345143,-6.751910042572829,0.18739523645536948,0.03518690423681626,-0.03054905252831741
9,3,-0.8878683531689195,0.7866879571240553,-0.10118039604486428,-6.4254394485412,-6.534297994140275,0.21771709119814808,0.043464298834921006,-0.018191442703088284
10,0,-1.5250580173502306,0.9973697131896557,-0.5276883041605749,-8.220022943550488,-7.594281260804266,-1.2514833654924455,-0.0448914040620744,-0.12945501944790103
10,1,-0.6424513864444994,1.0025251395006904,0.36007375305619105,-7.6876553574770075,-8.19854117050841,1.021771626062801,0.040634424509912094,0.02892703502692444
10,2,-1.253849179757279,1.053789441409707,-0.20005973834757196,-10.389800301167584,-9.386281540365434,-2.007037521604305,-0.04329699743281307,-0.07405199806279822
