step,t_sim_s,iterations,active_observations,relative_change,backward_residual,update_mismatch
1,0.20000000000000001,7,1,0.0079750349217874005,4.0555045554581202e-17,0
2,0.40000000000000002,2,1,0.003544543183921273,2.349024468942258e-17,0
3,0.59999999999999998,6,1,0.0090920929253876636,9.9406886638340215e-17,0
4,0.80000000000000004,2,1,0.0023603691157068119,3.8823928821927995e-17,0
5,1,6,1,0.0080726527780784624,1.5299519610065919e-17,0
6,1.2,2,1,0.0020314235497214373,7.5952611516083753e-18,0
7,1.3999999999999999,6,1,0.0062241251695180858,1.9033359089314738e-17,0
8,1.6000000000000001,2,1,0.0016335838589823964,1.7409858374824129e-17,0
9,1.8,6,1,0.0048156058643454326,2.7668921653883491e-17,0
10,2,2,1,0.0012000591077040265,3.3440730780698043e-17,0
11,2.2000000000000002,5,1,0.0053289651825202322,4.3979723491692294e-17,0
12,2.3999999999999999,2,1,0.0018294301300083209,4.9570315207231346e-17,0
13,2.6000000000000001,8,1,0.0057502147773237158,6.8317138160624876e-17,0
14,2.7999999999999998,2,1,0.0014326038952514873,2.750380418821552e-17,0
15,3,9,1,0.007042230701134404,6.6633668813357514e-17,0
16,3.2000000000000002,2,1,0.0018055513233513651,1.1142099605913859e-16,0
17,3.3999999999999999,9,1,0.0060943336581041792,1.0020923910736804e-16,0
18,3.6000000000000001,2,1,0.0015431821156599989,5.221251067831101e-17,0
19,3.7999999999999998,7,1,0.0068100772291300642,1.7953332795357956e-17,0
20,4,2,1,0.0030079729098884782,1.3723164652444751e-17,0
21,4.2000000000000002,8,1,0.0036178842592265994,5.1889203188446282e-17,0
22,4.4000000000000004,2,1,0.0018041541980009794,6.4005837050951692e-17,0
23,4.5999999999999996,6,1,0.0090750544849375839,1.2682926600535485e-16,0
24,4.7999999999999998,2,1,0.0023560779675831749,4.37901048956435e-17,0
25,5,6,1,0.0080727276734953047,2.6462531395896299e-17,0
26,5.2000000000000002,2,1,0.002031440180448213,1.6738828062078809e-17,0
27,5.4000000000000004,6,1,0.0062241251738208011,1.8323904757159747e-17,0
28,5.5999999999999996,2,1,0.0016335838656976402,1.495680404440909e-17,0
29,5.7999999999999998,6,1,0.0048156058648197875,4.023005994431451e-17,0
30,6,2,1,0.0012000591078513191,2.4629131921959751e-17,0
31,6.2000000000000002,5,1,0.0053289651825224318,5.9768678667230396e-17,0
32,6.4000000000000004,2,1,0.0018294301300099767,4.9598083816939995e-17,0
33,6.5999999999999996,8,1,0.0057502147773248425,5.8181011869082674e-17,0
34,6.7999999999999998,2,1,0.0014326038952525743,3.1207932883645142e-17,0
35,7,9,1,0.0070422307011377737,6.3500188472427568e-17,0
36,7.2000000000000002,2,1,0.0018055513233530538,1.1156734483626999e-16,0
37,7.4000000000000004,9,1,0.0060943336581024982,8.8729782647904558e-17,0
38,7.5999999999999996,2,1,0.0015431821156593958,6.9398653566260243e-17,0
39,7.7999999999999998,7,1,0.0068100772291299991,2.2356060959161681e-17,0
40,8,2,1,0.0030079729098884374,1.8551427564273024e-17,0
41,8.1999999999999993,8,1,0.003617884259226416,4.6315302128411016e-17,0
42,8.4000000000000004,2,1,0.0018041541980009775,6.400639454220411e-17,0
43,8.5999999999999996,6,1,0.0090750544849360106,1.2684208927011434e-16,0
44,8.8000000000000007,2,1,0.0023560779675829333,3.8804023663778612e-17,0
