run_uuid,source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_source_x,native_source_y,native_score,hit_map_file
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_29_2_3_2,29,2,3,2,8.3000001907348633,-0.81299996376037598,7.9849658012390137,-1.1264489889144897,8.8756935536390874e-07,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_2_3_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_26_2_3_2,26,2,3,2,7.4000000953674316,-0.81299996376037598,7.0849652290344238,-1.1264489889144897,2.3362049265866473e-05,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_26_2_3_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_23_4_6_3,23,4,6,3,7.1000003814697266,-0.21299993991851807,6.3199305534362793,-0.45817339420318604,7.3066594619718518e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_23_4_6_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_35_7_3_2,35,7,3,2,10.100000381469727,0.68700015544891357,9.7849645614624023,0.3735511302947998,3.831775613044168e-17,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_35_7_3_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_29_4_6_3,29,4,6,3,8.8999996185302734,-0.21299993991851807,8.1199312210083008,-0.45817339420318604,1.1476258180941698e-08,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_4_6_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_1_4_5_5,1,4,5,5,0.20000004768371582,0.087000012397766113,-0.3250582218170166,-0.32162240147590637,7.4209694960408636e-46,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_4_5_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_35_4_6_3,35,4,6,3,10.699999809265137,-0.21299993991851807,9.9199295043945312,-0.45817339420318604,6.8790674660463392e-18,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_35_4_6_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_1_9_5_1,1,9,5,1,0.20000004768371582,0.98700010776519775,-0.3250582218170166,0.90527552366256714,7.2382401006437793e-43,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_9_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_1_12_5_3,1,12,5,3,0.20000004768371582,2.1870002746582031,-0.3250582218170166,1.9418267011642456,6.4188247548898532e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_12_5_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_4_15_2_1,4,15,2,1,0.80000007152557373,2.7870001792907715,0.43997672200202942,2.7052755355834961,9.6757374527410647e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_15_2_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_4_10_1_2,4,10,1,2,0.5,1.5870000123977661,0.39498835802078247,1.2735509872436523,7.852872157899176e-40,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_10_1_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_6_7_3_3,6,7,3,3,1.3999999761581421,0.68700015544891357,1.0849651098251343,0.44182664155960083,4.6055395086784958e-45,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_7_3_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_11_24_1_3,11,24,1,3,2.5999999046325684,5.7870001792907715,2.4949886798858643,5.5418267250061035,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_24_1_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_6_12_2_2,6,12,2,2,1.3999999761581421,2.1870002746582031,1.0399767160415649,1.8735512495040894,9.4650525596638894e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_12_2_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_10_15_2_3,10,15,2,3,2.5999999046325684,3.0870003700256348,2.2399768829345703,2.8418266773223877,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_10_15_2_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_11_21_4_3,11,21,4,3,3.2000002861022949,4.887000560760498,2.6299536228179932,4.6418266296386719,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_21_4_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_11_12_2_1,11,12,2,1,2.9000000953674316,1.8870002031326294,2.5399770736694336,1.8052756786346436,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_12_2_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_9_1_5_1,9,1,5,1,2.5999999046325684,-1.4129999876022339,2.074941873550415,-1.4947245121002197,4.4484618319835498e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_9_1_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_11_13_5_1,11,13,5,1,3.2000002861022949,2.1870002746582031,2.6749420166015625,2.1052756309509277,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_13_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_12_14_3_5,12,14,3,5,3.2000002861022949,3.0870003700256348,2.884965181350708,2.6783778667449951,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_12_14_3_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_15_16_2_3,15,16,2,3,4.1000003814697266,3.3870000839233398,3.7399768829345703,3.141826868057251,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_15_16_2_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_9_7_4_3,9,7,4,3,2.5999999046325684,0.68700015544891357,2.0299534797668457,0.44182664155960083,2.5834196155061808e-40,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_9_7_4_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_12_2_1_5,12,2,1,5,2.9000000953674316,-0.5130000114440918,2.7949883937835693,-0.92162239551544189,6.5002295695983942e-37,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_12_2_1_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_15_22_3_2,15,22,3,2,4.1000003814697266,5.1870002746582031,3.7849652767181396,4.8735513687133789,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_15_22_3_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_14_1_4_1,14,1,4,1,4.1000003814697266,-1.4129999876022339,3.5299537181854248,-1.4947245121002197,2.302629394452854e-23,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_14_1_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_17_2_4_2,17,2,4,2,5.0000004768371582,-0.81299996376037598,4.4299540519714355,-1.1264489889144897,2.3581049042460991e-08,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_17_2_4_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_17_16_3_1,17,16,3,1,4.7000002861022949,3.0870003700256348,4.3849654197692871,3.0052757263183594,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_17_16_3_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_17_4_1_5,17,4,1,5,4.4000000953674316,0.087000012397766113,4.2949886322021484,-0.32162240147590637,2.0999542133637326e-16,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_17_4_1_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_18_1_5_1,18,1,5,1,5.3000001907348633,-1.4129999876022339,4.7749419212341309,-1.4947245121002197,7.1769054129616684e-08,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_18_1_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_18_22_2_5,18,22,2,5,5.0000004768371582,5.4870004653930664,4.639976978302002,5.0783782005310059,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_18_22_2_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_18_4_5_5,18,4,5,5,5.3000001907348633,0.087000012397766113,4.7749419212341309,-0.32162240147590637,4.3864640549776665e-14,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_18_4_5_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_15_14_5_2,15,14,5,2,4.4000000953674316,2.7870001792907715,3.8749418258666992,2.4735512733459473,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_15_14_5_2.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_19_17_1_5,19,17,1,5,5.0000004768371582,3.9870004653930664,4.8949885368347168,3.5783779621124268,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_19_17_1_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_20_19_5_1,20,19,5,1,5.9000005722045898,3.9870004653930664,5.3749418258666992,3.905275821685791,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_20_19_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_21_2_5_2,21,2,5,2,6.2000002861022949,-0.81299996376037598,5.6749420166015625,-1.1264489889144897,1.4870961153264955e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_21_2_5_2.f32
