cell_index,x,y,source_probability
55,2,-1.4129999876022339,8.2685392499412043e-30
56,2.3000001907348633,-1.4129999876022339,8.2685392499412043e-30
57,2.5999999046325684,-1.4129999876022339,8.2685392499412043e-30
58,2.9000000953674316,-1.4129999876022339,8.2685392499412043e-30
59,3.2000002861022949,-1.4129999876022339,8.2685392499412043e-30
60,3.5000004768371582,-1.4129999876022339,4.2799921063079445e-20
61,3.8000001907348633,-1.4129999876022339,4.2799921063079445e-20
62,4.1000003814697266,-1.4129999876022339,4.2799921063079445e-20
63,4.4000000953674316,-1.4129999876022339,4.2799921063079445e-20
64,4.7000002861022949,-1.4129999876022339,2.6111776889043075e-05
65,5.0000004768371582,-1.4129999876022339,2.6111776889043075e-05
66,5.3000001907348633,-1.4129999876022339,2.6111776889043075e-05
67,5.6000003814697266,-1.4129999876022339,8.1930204051522027e-11
68,5.9000005722045898,-1.4129999876022339,8.1930204051522027e-11
69,6.2000002861022949,-1.4129999876022339,0.00052027370614879203
70,6.5000004768371582,-1.4129999876022339,0.00052027370614879203
71,6.8000001907348633,-1.4129999876022339,0.00052027370614879203
72,7.1000003814697266,-1.4129999876022339,0.019429957137872437
73,7.4000000953674316,-1.4129999876022339,0.03108962946526251
74,7.7000002861022949,-1.4129999876022339,0.010703877718935292
75,8,-1.4129999876022339,0.0033547236450673303
76,8.3000001907348633,-1.4129999876022339,0.001750938725406462
77,8.6000003814697266,-1.4129999876022339,0.001750938725406462
78,8.8999996185302734,-1.4129999876022339,1.1012585805969978e-05
79,9.1999998092651367,-1.4129999876022339,1.1012585805969978e-05
80,9.5,-1.4129999876022339,6.9141626028055462e-13
81,9.8000001907348633,-1.4129999876022339,1.6657001263900567e-13
82,10.100000381469727,-1.4129999876022339,1.6657001263900567e-13
83,10.399999618530273,-1.4129999876022339,5.3837477872757734e-14
84,10.699999809265137,-1.4129999876022339,1.7589503951962016e-15
85,11,-1.4129999876022339,1.7589503951962016e-15
86,11.300000190734863,-1.4129999876022339,1.7589503951962016e-15
87,11.600000381469727,-1.4129999876022339,1.7589503951962016e-15
104,2.9000000953674316,-1.1130000352859497,1.2082244461089825e-33
109,4.4000000953674316,-1.1130000352859497,3.1359055628852137e-12
110,4.7000002861022949,-1.1130000352859497,3.1359055628852137e-12
111,5.0000004768371582,-1.1130000352859497,0.00033109324909669317
112,5.3000001907348633,-1.1130000352859497,0.00033109324909669317
113,5.6000003814697266,-1.1130000352859497,0.00013152045661805987
114,5.9000005722045898,-1.1130000352859497,0.00013152045661805987
115,6.2000002861022949,-1.1130000352859497,0.00013152045661805987
116,6.5000004768371582,-1.1130000352859497,0.0043853338368890406
117,6.8000001907348633,-1.1130000352859497,0.018060187008541322
118,7.1000003814697266,-1.1130000352859497,0.030265404362628194
119,7.4000000953674316,-1.1130000352859497,0.030628364737039084
120,7.7000002861022949,-1.1130000352859497,0.014060757134004767
121,8,-1.1130000352859497,0.0044974077792480872
122,8.3000001907348633,-1.1130000352859497,0.0044974077792480872
123,8.6000003814697266,-1.1130000352859497,0.00097334778297759124
124,8.8999996185302734,-1.1130000352859497,1.1012585805969978e-05
125,9.1999998092651367,-1.1130000352859497,1.1012585805969978e-05
126,9.5,-1.1130000352859497,6.9141626028055462e-13
127,9.8000001907348633,-1.1130000352859497,1.6657001263900567e-13
128,10.100000381469727,-1.1130000352859497,1.6657001263900567e-13
129,10.399999618530273,-1.1130000352859497,5.3837477872757734e-14
130,10.699999809265137,-1.1130000352859497,1.7589503951962016e-15
131,11,-1.1130000352859497,1.7589503951962016e-15
132,11.300000190734863,-1.1130000352859497,1.7589503951962016e-15
133,11.600000381469727,-1.1130000352859497,1.7589503951962016e-15
150,2.9000000953674316,-0.81299996376037598,1.2082244461089825e-33
155,4.4000000953674316,-0.81299996376037598,3.6306209032993115e-12
156,4.7000002861022949,-0.81299996376037598,3.6306209032993115e-12
157,5.0000004768371582,-0.81299996376037598,5.5576666638108774e-05
158,5.3000001907348633,-0.81299996376037598,5.5576666638108774e-05
159,5.6000003814697266,-0.81299996376037598,0.001551290325303465
160,5.9000005722045898,-0.81299996376037598,0.001551290325303465
161,6.2000002861022949,-0.81299996376037598,0.001551290325303465
162,6.5000004768371582,-0.81299996376037598,0.0032204846604286974
163,6.8000001907348633,-0.81299996376037598,0.024742573172169175
164,7.1000003814697266,-0.81299996376037598,0.02259011305351729
165,7.4000000953674316,-0.81299996376037598,0.034396099966985408
166,7.7000002861022949,-0.81299996376037598,0.021661984962398094
167,8,-0.81299996376037598,0.0041814989926842972
168,8.3000001907348633,-0.81299996376037598,0.0041814989926842972
169,8.6000003814697266,-0.81299996376037598,0.00028819694232113047
170,8.8999996185302734,-0.81299996376037598,1.4005579567558032e-05
171,9.1999998092651367,-0.81299996376037598,1.4005579567558032e-05
172,9.5,-0.81299996376037598,7.7713020930680236e-07
173,9.8000001907348633,-0.81299996376037598,7.469971870177393e-14
