wind_id,lag_s,p10,q1,median,q3,p90
W_fast,-10.0,1.6896824920691262,1.9490557630514218,2.3434390489642563,3.2961673435929253,4.087725355811767
W_fast,-9.8,1.7023445769361139,1.934758396667644,2.355506841474313,3.2773049363786266,4.044794469238913
W_fast,-9.600000000000001,1.7026609465865226,1.9188083449911835,2.3306368002016886,3.2281606181393157,4.009693161542876
W_fast,-9.4,1.7501965436157185,1.921950035478813,2.3363164580148883,3.1932392218403516,3.989564509030939
W_fast,-9.200000000000001,1.7281254863501947,1.943123589024269,2.318687036385438,3.199585185972259,3.96424650040642
W_fast,-9.0,1.7189634689294195,1.9318008915467983,2.307890927305552,3.1576730795495282,3.925532987983355
W_fast,-8.8,1.713120487724134,1.9583997894865348,2.3125253811759765,3.1466213405076973,3.885480744803594
W_fast,-8.6,1.7095105617502206,1.9603962836418227,2.272305023806354,3.126626496886529,3.8462182645826983
W_fast,-8.4,1.7256914621356179,1.9676839146476968,2.2637326782125182,3.133979091582206,3.811728251379882
W_fast,-8.200000000000001,1.705989370056104,1.9694334997496685,2.267297373426884,3.1178701446737644,3.788660196948906
W_fast,-8.0,1.7217891819935076,1.9768141537199724,2.2686338132011645,3.1424231901164177,3.736867696106378
W_fast,-7.800000000000001,1.7330050730605098,1.9827248435843075,2.2683237260153004,3.1698358486964935,3.6964736779737555
W_fast,-7.6000000000000005,1.7276891705168977,1.9549671400866517,2.297232736249928,3.1880961536396857,3.6438996519179807
W_fast,-7.4,1.7139617828044578,1.9263767219224532,2.280751616714872,3.161487242681458,3.6057751632986683
W_fast,-7.2,1.7283076706740295,1.9307020246235862,2.2800911629871283,3.1455563126566837,3.561522429703629
W_fast,-7.0,1.7334116317801043,1.9118855736202525,2.2599885748143302,3.1277668065859032,3.5181178227259013
W_fast,-6.800000000000001,1.7269643052328902,1.901600479181163,2.2536179814487403,3.110502762005084,3.481428012888026
W_fast,-6.6000000000000005,1.7343826484621985,1.90822303074868,2.2486331611436596,3.0583619071210606,3.4216179151520545
W_fast,-6.4,1.7240773869551762,1.903111384774497,2.2355868972466113,3.050305185903248,3.4029123049534653
W_fast,-6.2,1.711020537976406,1.9110150454923747,2.220562699203906,3.0134472161065537,3.3579363627591374
W_fast,-6.0,1.7009623652373387,1.9023914767904555,2.2112895630604115,3.0107072096709397,3.2990672861503145
W_fast,-5.800000000000001,1.7154128497355752,1.8997313143704952,2.208616093866265,2.969531111966012,3.2602374003100447
W_fast,-5.6000000000000005,1.6926194598562923,1.8930550367665915,2.1882887168612277,2.9436551626416745,3.242422491041926
W_fast,-5.4,1.6785859497073645,1.8807862354307137,2.2051061973995782,2.9069867003107914,3.2225737425563183
W_fast,-5.2,1.661529641302254,1.896318642344391,2.2201040496087874,2.8739469278253322,3.1887066907588895
W_fast,-5.0,1.6517721294744279,1.8969135336383438,2.23280995707609,2.8380162314552018,3.1524305914471658
W_fast,-4.800000000000001,1.6327173215409938,1.8974091761419978,2.2318738885484026,2.80742117922194,3.111603286270118
W_fast,-4.6000000000000005,1.6462334956071853,1.8985325460808335,2.202062335042465,2.7606356105687424,3.0820966019384257
W_fast,-4.4,1.6430938762493237,1.8822664679146437,2.1860898538505293,2.7306863942541195,3.051856585450706
W_fast,-4.2,1.6393245727382182,1.8851496336298676,2.174264920816625,2.706263892834733,3.015018363249385
W_fast,-4.0,1.6428235779938576,1.890882472529634,2.152276591341228,2.668857186926636,2.9921802292104314
W_fast,-3.8000000000000003,1.6342133087787296,1.8852460595396092,2.142282508575879,2.64660400134203,2.9507138624261193
W_fast,-3.6,1.6313558081597432,1.8689829029376586,2.1537451977002844,2.6190888699803008,2.9104333226017625
W_fast,-3.4000000000000004,1.6125403517124808,1.8670082272492075,2.1438120387176816,2.6027262557163273,2.8642220566558554
W_fast,-3.2,1.6051140168579952,1.8553840797819954,2.160547903857781,2.5736015781803983,2.8333891497419748
W_fast,-3.0,1.586930366038684,1.8472812201348199,2.150646141735352,2.5501942130634623,2.78595589750688
W_fast,-2.8000000000000003,1.5657808768314587,1.8390847797766767,2.127133221684078,2.523120338977236,2.736208181540155
W_fast,-2.6,1.570447562353531,1.8324296678129028,2.109332115325525,2.5096180715783096,2.6854862165220044
W_fast,-2.4000000000000004,1.5576860898797065,1.816411905567008,2.0997508773315987,2.4735882349238225,2.649863855479853
W_fast,-2.2,1.5599090385845442,1.808805988404097,2.098863049205322,2.4521264946684296,2.602394144675771
W_fast,-2.0,1.567499768143027,1.797420663579758,2.0885718320988467,2.420783472555153,2.5740579542590507
W_fast,-1.8,1.562211076422283,1.7959745342190228,2.0713524956308973,2.389394197574802,2.5456124638949396
W_fast,-1.6,1.5479401480082646,1.8108695668596677,2.075966828881989,2.3527675393447764,2.512376341687759
W_fast,-1.4000000000000001,1.5817584243757625,1.8098093369909722,2.065836950182271,2.3160979718587145,2.46905556025893
W_fast,-1.2000000000000002,1.623537342609609,1.8273342676285842,2.0561301326277786,2.2710735425241024,2.4110690613407715
W_fast,-1.0,1.6580211290740197,1.8475481175883994,2.049402558508275,2.2335160080690546,2.3478129578072666
W_fast,-0.8,1.7200000000000024,1.8817361405025081,2.056588230307048,2.194904405661014,2.277862688380244
W_fast,-0.6000000000000001,1.790892641562559,1.9001871782782007,2.0557477626005167,2.1479007283225,2.209276702089872
W_fast,-0.4,1.862285600629818,1.9285743846489225,2.0407201339863867,2.101328103239584,2.139999999999997
W_fast,-0.2,1.9311017138298494,1.9613741853849163,2.0250100345754296,2.0541149037599395,2.0699999999999985
W_fast,0.0,1.9999999999999998,1.9999999999999998,2.0,2.0,2.0
W_fast,0.2,1.9299999999999997,1.9386239242683538,1.9765441024041408,2.0250100345754323,2.060918997209654
W_fast,0.4,1.8599999999999994,1.8800600452859793,1.9517721316577545,2.0521041104832793,2.110887115091122
W_fast,0.6000000000000001,1.7899999999999991,1.8242786770604402,1.9382474247645562,2.0652365721468877,2.1568956777306476
W_fast,0.8,1.719999999999997,1.763080277552636,1.907424759631171,2.090042423137584,2.2068891215756428
W_fast,1.0,1.6499999999999986,1.7034252797526925,1.890222740822855,2.1177456559142143,2.239301712645051
W_fast,1.2000000000000002,1.5799999999999983,1.6577772123040253,1.8604066135754953,2.127531314086708,2.267158665173164
W_fast,1.4000000000000001,1.5099999999999998,1.6173632994453406,1.8541942405570335,2.1203590755777384,2.316097971858711
W_fast,1.6,1.4399999999999995,1.5594491445570329,1.8367178599250897,2.1271249439054327,2.347852290603256
W_fast,1.8,1.37,1.5189868352737952,1.8300013351440398,2.132296053267821,2.3888259021151015
W_fast,2.0,1.2999999999999998,1.4702521887151074,1.836685167245205,2.152710210800292,2.391885717345644
W_fast,2.2,1.23,1.423192595559315,1.8341194311758906,2.154687458359109,2.436138416691522
W_fast,2.4000000000000004,1.1600000000000001,1.3729529257355817,1.8429789037429,2.1588294117519875,2.4686071214658583
W_fast,2.6,1.0899999999999999,1.322924257835455,1.8556557402004439,2.1658767141172044,2.466097356309941
W_fast,2.8000000000000003,1.02,1.2644752486828987,1.8504781999467612,2.1718200626571535,2.500261038944401
W_fast,3.0,0.9698392349847871,1.2279223892809703,1.859162912770913,2.1630879816470987,2.496440845119859
W_fast,3.2,0.9197570229553678,1.2019889043754721,1.857119674187235,2.1769935636361892,2.5202878362123484
W_fast,3.4000000000000004,0.8704491582493998,1.1860675606482292,1.8791590460500538,2.1725145815170936,2.5359218266314785
W_fast,3.6,0.8197020998383233,1.180298295452742,1.891684507101328,2.17993151178438,2.5220652854693766
W_fast,3.8000000000000003,0.76825091235596,1.1642028731117189,1.909171330885245,2.187022050811756,2.571425830915818
W_fast,4.0,0.7171572875256905,1.1535398398227188,1.9017135128015636,2.2020536995530096,2.577422089760582
W_fast,4.2,0.6694920913638739,1.2138930095265759,1.9135792874618567,2.210538102849031,2.579343719951014
W_fast,4.4,0.6204491647166099,1.214327326007158,1.9214707446745198,2.231405928805143,2.5674935285220237
W_fast,4.6000000000000005,0.5702571038231844,1.2347653059456907,1.9249555418452373,2.2522634436770907,2.5960000623940216
W_fast,4.800000000000001,0.5162689937609063,1.2774156482044603,1.9341151792713782,2.2662474080644732,2.606836164181855
W_fast,5.0,0.47099876619471126,1.2996191575704372,1.9549870769463589,2.284384908912318,2.6029474328340347
W_fast,5.2,0.423882741381007,1.3095348074939568,1.9295451738632252,2.2732364179898044,2.620557980746455
W_fast,5.4,0.3874027246912135,1.319652577193077,1.959410759439311,2.288769430030459,2.6509927238020827
W_fast,5.6000000000000005,0.372539996416459,1.305331070087334,1.9541907826883784,2.2939660341979455,2.6718389072500064
W_fast,5.800000000000001,0.34467728416768295,1.3141717110537023,1.963237293772417,2.2788163918044733,2.697572869067011
W_fast,6.0,0.3174295365589774,1.3164515657552722,1.9863667281969748,2.297855208115106,2.71337646201673
W_fast,6.2,0.3572224962208532,1.3214765812718108,2.005639270765942,2.288965893174957,2.7184282375583337
W_fast,6.4,0.38176190059252807,1.3073842625719216,2.007624081898572,2.2805809275127813,2.7538497966987996
W_fast,6.6000000000000005,0.42044675274654764,1.354381743939202,2.009881586241547,2.293513246092243,2.790967876385289
W_fast,6.800000000000001,0.4507248327120773,1.375118577167241,2.0166030780702657,2.3057571993855572,2.7757610986771413
W_fast,7.0,0.4724112215180418,1.386719233722928,2.00583034291835,2.3084061022530076,2.7788339965459388
W_fast,7.2,0.5550191401437312,1.3817672499720197,2.0079745726220475,2.3433376536249515,2.777439622799754
W_fast,7.4,0.5779486757255905,1.3884433481465408,1.9838394657045562,2.3476214354355087,2.8075296303712913
W_fast,7.6000000000000005,0.6348966873855718,1.3984595965607045,1.9710367058376592,2.3648674462026467,2.833486924227356
W_fast,7.800000000000001,0.6817127373275561,1.4079693383953833,1.9840835061845115,2.3919359843903547,2.8107278911437645
W_fast,8.0,0.7129123125511493,1.4091232614316325,1.9629400248087379,2.4121887843625327,2.8517595316958944
W_fast,8.200000000000001,0.7679971415468039,1.44605252131237,1.9575423391992521,2.418127186105534,2.88156575154003
W_fast,8.4,0.813443788421213,1.4851269157983462,1.9664373927471153,2.4256035230486894,2.8929639890585
W_fast,8.6,0.8610714260079485,1.5164773290074693,1.9857587749994638,2.4143330366371814,2.902899534980898
W_fast,8.8,0.913455512269911,1.5525637278409274,1.9913492422192909,2.3926175799821574,2.915266231586757
W_fast,9.0,0.9804463412485492,1.572941785746249,1.9882576433516725,2.410349488962479,2.902841183663434
W_fast,9.200000000000001,1.0171629209033248,1.5609096012855985,1.9985284184474255,2.3968160311719227,2.944212715639623
W_fast,9.4,1.0590140239671257,1.5868996813530427,1.9953690279113896,2.4086355540236424,2.953668760151205
