surrogate_id,C1_primary_n_targets,C1_primary_mean_true_rank,C1_primary_median_true_rank,C1_primary_mrr,C1_primary_unique_top1_fraction,C1_primary_top3_fraction,C1_primary_score_tie_target_fraction,C1_robust_n_targets,C1_robust_mean_true_rank,C1_robust_median_true_rank,C1_robust_mrr,C1_robust_unique_top1_fraction,C1_robust_top3_fraction,C1_robust_score_tie_target_fraction,C1_A_first8_to_last8_mean_true_rank,C1_A_first8_to_last8_mrr,C1_B_last8_to_first8_mean_true_rank,C1_B_last8_to_first8_mrr,C1_C_odd_to_even_mean_true_rank,C1_C_odd_to_even_mrr,C1_D_even_to_odd_mean_true_rank,C1_D_even_to_odd_mrr,C2_primary_n_targets,C2_primary_mean_true_rank,C2_primary_median_true_rank,C2_primary_mrr,C2_primary_unique_top1_fraction,C2_primary_top3_fraction,C2_primary_score_tie_target_fraction,C2_robust_n_targets,C2_robust_mean_true_rank,C2_robust_median_true_rank,C2_robust_mrr,C2_robust_unique_top1_fraction,C2_robust_top3_fraction,C2_robust_score_tie_target_fraction,C2_A_first8_to_last8_mean_true_rank,C2_A_first8_to_last8_mrr,C2_B_last8_to_first8_mean_true_rank,C2_B_last8_to_first8_mrr,C2_C_odd_to_even_mean_true_rank,C2_C_odd_to_even_mrr,C2_D_even_to_odd_mean_true_rank,C2_D_even_to_odd_mrr
0,288,1.78125,1,0.82895492477293942,0.74305555555555558,0.88888888888888884,0,288,1.8993055555555556,1,0.81908445669934637,0.72916666666666663,0.90625,0,1.8819444444444444,0.82179873843476781,1.6805555555555556,0.83611111111111114,1.9375,0.83977274937752877,1.8611111111111112,0.79839616402116398,288,1.7430555555555556,1,0.82759111548174047,0.73611111111111116,0.89930555555555558,0,288,1.8541666666666667,1,0.81688368055555549,0.71875,0.90972222222222221,0,1.8402777777777777,0.81929132788507786,1.6458333333333333,0.83589090307840297,1.8819444444444444,0.84018270502645498,1.8263888888888888,0.793584656084656
1,288,1.8055555555555556,1,0.8263615690545838,0.73958333333333337,0.88541666666666663,0,288,1.8993055555555556,1,0.81699630083514885,0.72569444444444442,0.90972222222222221,0,1.8888888888888888,0.82145151621254564,1.7222222222222223,0.83127162189662185,1.9236111111111112,0.84080477098246709,1.875,0.79318783068783061,288,1.7291666666666667,1,0.83516800040237549,0.75,0.90277777777777779,0,288,1.8506944444444444,1,0.81861979166666676,0.72222222222222221,0.90972222222222221,0,1.8125,0.83086540195915193,1.6458333333333333,0.83947059884559883,1.8888888888888888,0.83902529761904765,1.8125,0.79821428571428577
2,288,1.8055555555555556,1,0.82208329524505996,0.72916666666666663,0.88888888888888884,0,288,1.9097222222222223,1,0.81777755083514891,0.72916666666666663,0.90625,0,1.9027777777777777,0.81508577547180494,1.7083333333333333,0.82908081501831488,1.9444444444444444,0.83623301172320774,1.875,0.79932208994708986,288,1.7361111111111112,1,0.83337815251877745,0.75,0.89930555555555558,0,288,1.8506944444444444,1,0.81890914351851851,0.72222222222222221,0.90625,0,1.8194444444444444,0.82970799455174449,1.6527777777777777,0.83704831048581041,1.9027777777777777,0.834395667989418,1.7986111111111112,0.80342261904761902
3,288,1.7881944444444444,1,0.82621689312865776,0.73611111111111116,0.89583333333333337,0,288,1.9097222222222223,1,0.81731458787218592,0.72569444444444442,0.90277777777777779,0,1.8680555555555556,0.82353484954587897,1.7083333333333333,0.82889893671143666,1.9444444444444444,0.83935801172320779,1.875,0.79527116402116405,288,1.7361111111111112,1,0.8297323191854441,0.73958333333333337,0.90625,0,288,1.8472222222222223,1,0.81899181547619049,0.72222222222222221,0.90625,0,1.8194444444444444,0.82473114269989267,1.6527777777777777,0.83473349567099553,1.8888888888888888,0.83571841931216939,1.8055555555555556,0.80226521164021158
4,288,1.8055555555555556,1,0.82078258977768781,0.72569444444444442,0.89236111111111116,0,288,1.9131944444444444,1,0.81591605392156863,0.72569444444444442,0.90625,0,1.8819444444444444,0.81659040510143444,1.7291666666666667,0.82497477445394107,1.9513888888888888,0.83806557345160271,1.875,0.79376653439153444,288,1.7361111111111112,1,0.83100133373570861,0.74305555555555558,0.90625,0,288,1.8576388888888888,1,0.81661340684778183,0.72222222222222221,0.91319444444444442,0,1.8194444444444444,0.8272691718004217,1.6527777777777777,0.83473349567099553,1.8958333333333333,0.83786789021164021,1.8194444444444444,0.79535892348392345
5,288,1.8055555555555556,1,0.82721515701754678,0.73958333333333337,0.88194444444444442,0,288,1.9131944444444444,1,0.816292211328976,0.72569444444444442,0.90972222222222221,0,1.8819444444444444,0.82373739584217531,1.7291666666666667,0.83069291819291824,1.9513888888888888,0.8393965919701214,1.875,0.79318783068783061,288,1.7361111111111112,1,0.83429994484681969,0.75,0.89930555555555558,0,288,1.8576388888888888,1,0.81373896647334143,0.71527777777777779,0.91319444444444442,0,1.8055555555555556,0.83768583846708844,1.6666666666666667,0.83091405122655115,1.9027777777777777,0.83381696428571428,1.8125,0.79366096866096869
6,288,1.7847222222222223,1,0.82994953201754673,0.74305555555555558,0.89236111111111116,0,288,1.9131944444444444,1,0.81735867958294428,0.72916666666666663,0.90972222222222221,0,1.8819444444444444,0.82341910880513813,1.6875,0.83647995522995522,1.9583333333333333,0.83805730625583552,1.8680555555555556,0.79666005291005293,288,1.7326388888888888,1,0.83690411151348654,0.75694444444444442,0.90277777777777779,0,288,1.8576388888888888,1,0.81890914351851851,0.72569444444444442,0.90625,0,1.8263888888888888,0.83189880143005146,1.6388888888888888,0.84190942159692161,1.9027777777777777,0.83671048280423277,1.8125,0.80110780423280425
7,288,1.78125,1,0.82524963122389594,0.73263888888888884,0.89583333333333337,0,288,1.9097222222222223,1,0.81678824307500775,0.72569444444444442,0.90277777777777779,0,1.8472222222222223,0.82819754795857725,1.7152777777777777,0.82230171448921452,1.9513888888888888,0.83586649937752866,1.8680555555555556,0.79770998677248683,288,1.7256944444444444,1,0.83484557976745466,0.75,0.90277777777777779,0,288,1.8506944444444444,1,0.81977719907407409,0.72569444444444442,0.90972222222222221,0,1.8055555555555556,0.83334556068931065,1.6458333333333333,0.83634559884559878,1.8888888888888888,0.83902529761904765,1.8125,0.80052910052910042
8,288,1.7881944444444444,1,0.82830573792583595,0.73958333333333337,0.89236111111111116,0,288,1.8854166666666667,1,0.82008272058823528,0.72916666666666663,0.90972222222222221,0,1.8611111111111112,0.82469225695328641,1.7152777777777777,0.8319192188983856,1.9375,0.8394544623404917,1.8333333333333333,0.80071097883597886,288,1.7430555555555556,1,0.83100546733359226,0.74305555555555558,0.89583333333333337,0,288,1.8576388888888888,1,0.81584201388888877,0.71875,0.90972222222222221,0,1.8333333333333333,0.82646725381100383,1.6527777777777777,0.8355436808561808,1.9097222222222223,0.83092344576719579,1.8055555555555556,0.80076058201058187
9,288,1.7847222222222223,1,0.82989166164717632,0.74305555555555558,0.88888888888888884,0,288,1.8923611111111112,1,0.8184871518051664,0.72916666666666663,0.90972222222222221,0,1.8611111111111112,0.82758577547180479,1.7083333333333333,0.83219754782254773,1.9375,0.83857813958916894,1.8472222222222223,0.79839616402116398,288,1.7326388888888888,1,0.83291518955581445,0.74652777777777779,0.90277777777777779,0,288,1.8506944444444444,1,0.82014922288359793,0.72916666666666663,0.91319444444444442,0,1.8125,0.83086540195915193,1.6527777777777777,0.83496497715247708,1.875,0.84497767857142858,1.8263888888888888,0.79532076719576716
10,288,1.7916666666666667,1,0.83350442619744092,0.75347222222222221,0.88194444444444442,0,288,1.9097222222222223,1,0.81716991194625999,0.72916666666666663,0.90625,0,1.8611111111111112,0.83360429399032343,1.7222222222222223,0.8334045584045584,1.9375,0.83941588209357809,1.8819444444444444,0.79492394179894177,288,1.7361111111111112,1,0.83146843029655537,0.74305555555555558,0.89930555555555558,0,288,1.8576388888888888,1,0.81815682870370365,0.72222222222222221,0.90625,0,1.8125,0.82855058714433716,1.6597222222222223,0.83438627344877347,1.8819444444444444,0.84249751984126986,1.8333333333333333,0.79381613756613756
11,288,1.78125,1,0.83145416164717634,0.74652777777777779,0.89583333333333337,0,288,1.9097222222222223,1,0.81742068355119823,0.72916666666666663,0.90972222222222221,0,1.875,0.82318762732365669,1.6875,0.83972069597069599,1.9513888888888888,0.83818131419234354,1.8680555555555556,0.79666005291005293,288,1.7361111111111112,1,0.834072596963222,0.75,0.89583333333333337,0,288,1.8541666666666667,1,0.81833043981481479,0.72222222222222221,0.90625,0,1.8194444444444444,0.83260151307026309,1.6527777777777777,0.8355436808561808,1.8888888888888888,0.83902529761904765,1.8194444444444444,0.79763558201058204
12,288,1.7986111111111112,1,0.82430303730855192,0.73263888888888884,0.88541666666666663,0,288,1.8958333333333333,1,0.81785471132897603,0.72569444444444442,0.90625,0,1.8888888888888888,0.81601170139773083,1.7083333333333333,0.83259437321937324,1.9305555555555556,0.83973554699657649,1.8611111111111112,0.79597387566137556,288,1.7256944444444444,1,0.83482491177803675,0.75,0.90277777777777779,0,288,1.8611111111111112,1,0.81456886574074083,0.71527777777777779,0.90972222222222221,0,1.8194444444444444,0.83028669825544832,1.6319444444444444,0.83936312530062518,1.8958333333333333,0.83555307539682544,1.8263888888888888,0.79358465608465611
13,288,1.8159722222222223,1,0.82543564312865791,0.73958333333333337,0.88541666666666663,0,288,1.90625,1,0.8169825221755368,0.72569444444444442,0.90625,0,1.8958333333333333,0.82110429399032336,1.7361111111111112,0.82976699226699224,1.9375,0.8393883247743541,1.875,0.7945767195767196,288,1.7326388888888888,1,0.83343188929126422,0.74652777777777779,0.90277777777777779,0,288,1.8576388888888888,1,0.81841311177248677,0.72569444444444442,0.90625,0,1.8125,0.83132009772634774,1.6527777777777777,0.8355436808561808,1.8819444444444444,0.84150545634920637,1.8333333333333333,0.79532076719576716
14,288,1.7986111111111112,1,0.83196052738791715,0.75,0.88541666666666663,0,288,1.9305555555555556,1,0.81480204929193889,0.72569444444444442,0.90277777777777779,0,1.875,0.83264943287921234,1.7222222222222223,0.83127162189662185,1.9722222222222223,0.83455614884842821,1.8888888888888888,0.79504794973544968,288,1.7326388888888888,1,0.83372124114311619,0.74652777777777779,0.89930555555555558,0,288,1.8472222222222223,1,0.81863886981074474,0.72222222222222221,0.90972222222222221,0,1.8125,0.83189880143005146,1.6527777777777777,0.8355436808561808,1.8958333333333333,0.83555307539682544,1.7986111111111112,0.80172466422466415
15,288,1.7951388888888888,1,0.83023888386939859,0.74652777777777779,0.89236111111111116,0,288,1.9236111111111112,1,0.81553094038541341,0.72569444444444442,0.90277777777777779,0,1.8819444444444444,0.82515521991624929,1.7083333333333333,0.83532254782254778,1.9583333333333333,0.83810553156447753,1.8888888888888888,0.79295634920634916,288,1.7326388888888888,1,0.83155110225422713,0.74305555555555558,0.89930555555555558,0,288,1.8472222222222223,1,0.82035590277777781,0.72569444444444442,0.90972222222222221,0,1.8125,0.83086540195915193,1.6527777777777777,0.83223680254930243,1.8888888888888888,0.83902529761904765,1.8055555555555556,0.80168650793650797
16,288,1.8020833333333333,1,0.8285709771233668,0.74305555555555558,0.88541666666666663,0,288,1.9097222222222223,1,0.81843341503267963,0.72916666666666663,0.90972222222222221,0,1.8958333333333333,0.82512628473106409,1.7083333333333333,0.83201566951566952,1.9652777777777777,0.83789196234049168,1.8541666666666667,0.79897486772486781,288,1.7256944444444444,1,0.83264650569338061,0.74305555555555558,0.90625,0,288,1.8611111111111112,1,0.81688368055555549,0.72222222222222221,0.90972222222222221,0,1.7986111111111112,0.82640111624486623,1.6527777777777777,0.83889189514189511,1.9027777777777777,0.834395667989418,1.8194444444444444,0.79937169312169309
17,288,1.7951388888888888,1,0.82763471720273185,0.73958333333333337,0.89583333333333337,0,288,1.8958333333333333,1,0.81935934095860563,0.72916666666666663,0.90625,0,1.8819444444444444,0.82284040510143441,1.7083333333333333,0.83242902930402929,1.9305555555555556,0.83951233271086201,1.8611111111111112,0.79920634920634925,288,1.7430555555555556,1,0.83082772262459759,0.74305555555555558,0.89930555555555558,0,288,1.8576388888888888,1,0.81821469907407407,0.72222222222222221,0.90625,0,1.8263888888888888,0.82704595751470755,1.6597222222222223,0.83460948773448762,1.8888888888888888,0.83902529761904765,1.8263888888888888,0.79740410052910049
18,288,1.7743055555555556,1,0.83211553730855192,0.74652777777777779,0.89583333333333337,0,288,1.9027777777777777,1,0.8182598039215685,0.72916666666666663,0.90625,0,1.8680555555555556,0.8266598495458789,1.6805555555555556,0.83757122507122506,1.9375,0.84159566604419533,1.8680555555555556,0.79492394179894177,288,1.7326388888888888,1,0.83630632966570451,0.75347222222222221,0.90277777777777779,0,288,1.8541666666666667,1,0.81667700066137572,0.71875,0.90625,0,1.8263888888888888,0.83070323773448762,1.6388888888888888,0.84190942159692161,1.8888888888888888,0.83571841931216939,1.8194444444444444,0.79763558201058204
19,288,1.7881944444444444,1,0.82565631366182834,0.73611111111111116,0.89236111111111116,0,288,1.90625,1,0.81811512799564268,0.72916666666666663,0.90277777777777779,0,1.8958333333333333,0.81520151621254555,1.6805555555555556,0.83611111111111114,1.9375,0.83957020308123242,1.875,0.79666005291005293,288,1.7430555555555556,1,0.83060037474099979,0.74305555555555558,0.89583333333333337,0,288,1.8645833333333333,1,0.81543692129629641,0.71875,0.90625,0,1.8333333333333333,0.82565706862581867,1.6527777777777777,0.8355436808561808,1.8958333333333333,0.83786789021164021,1.8333333333333333,0.79300595238095239
20,288,1.7777777777777777,1,0.82766365238791706,0.73611111111111116,0.89930555555555558,0,288,1.8958333333333333,1,0.82199244281045758,0.73611111111111116,0.90972222222222221,0,1.875,0.82087281250884181,1.6805555555555556,0.83445449226699231,1.9375,0.84269520308123247,1.8541666666666667,0.80128968253968258,288,1.7395833333333333,1,0.83156095929533425,0.74305555555555558,0.89930555555555558,0,288,1.8402777777777777,1,0.82238136574074083,0.72916666666666663,0.91319444444444442,0,1.8263888888888888,0.82780971921596924,1.6527777777777777,0.83531219937469936,1.8888888888888888,0.83902529761904765,1.7916666666666667,0.8057374338624339
21,288,1.7951388888888888,1,0.82586553730855206,0.73611111111111116,0.89236111111111116,0,288,1.9131944444444444,1,0.81341729400093365,0.71875,0.90972222222222221,0,1.8819444444444444,0.82260892361995308,1.7083333333333333,0.82912215099715103,1.9652777777777777,0.83468015678493612,1.8611111111111112,0.79215443121693119,288,1.7395833333333333,1,0.82973231918544421,0.73958333333333337,0.89930555555555558,0,288,1.8541666666666667,1,0.81576442943630445,0.71875,0.90972222222222221,0,1.8333333333333333,0.82646725381100383,1.6458333333333333,0.83299738455988459,1.9027777777777777,0.834395667989418,1.8055555555555556,0.7971331908831909
22,288,1.8020833333333333,1,0.82210396323447787,0.72916666666666663,0.89583333333333337,0,288,1.9236111111111112,1,0.81184583787218578,0.71875,0.90625,0,1.9027777777777777,0.81161355324958262,1.7013888888888888,0.83259437321937313,1.9444444444444444,0.83825847468617065,1.9027777777777777,0.78543320105820102,288,1.71875,1,0.83582937606375096,0.75,0.90972222222222221,0,288,1.8472222222222223,1,0.82151331018518525,0.72916666666666663,0.90972222222222221,0,1.7986111111111112,0.83437896016021007,1.6388888888888888,0.83727979196729185,1.8888888888888888,0.84134011243386242,1.8055555555555556,0.80168650793650797
23,288,1.7673611111111112,1,0.83155909143960605,0.74652777777777779,0.89930555555555558,0,288,1.9097222222222223,1,0.81471111013849984,0.72222222222222221,0.90972222222222221,0,1.8680555555555556,0.82608114584217518,1.6666666666666667,0.83703703703703702,1.9444444444444444,0.83854920440398373,1.875,0.79087301587301584,288,1.75,1,0.82810781521719024,0.73958333333333337,0.89930555555555558,0,288,1.8576388888888888,1,0.8140283183251934,0.71527777777777779,0.90972222222222221,0,1.8402777777777777,0.82160614269989263,1.6597222222222223,0.83460948773448762,1.9166666666666667,0.82745122354497358,1.7986111111111112,0.80060541310541311
24,288,1.8159722222222223,1,0.81996275953077413,0.72569444444444442,0.88541666666666663,0,288,1.9201388888888888,1,0.81734765665525477,0.72916666666666663,0.90625,0,1.875,0.81774781250884188,1.7569444444444444,0.8221777065527065,1.9444444444444444,0.83935801172320779,1.8958333333333333,0.79533730158730165,288,1.7430555555555556,1,0.82905854273041768,0.73958333333333337,0.89583333333333337,0,288,1.8611111111111112,1,0.81341145833333328,0.71180555555555558,0.90972222222222221,0,1.8125,0.82755852365227367,1.6736111111111112,0.8305585618085618,1.9097222222222223,0.83092344576719579,1.8125,0.79589947089947088
