cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
0,0,0,-5.2427301406860352,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
1,1,0,-4.9427304267883301,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
2,2,0,-4.6427302360534668,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
3,3,0,-4.3427300453186035,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
4,4,0,-4.0427303314208984,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
5,5,0,-3.7427301406860352,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
6,6,0,-3.442730188369751,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
7,7,0,-3.1427302360534668,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
8,8,0,-2.8427300453186035,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
9,9,0,-2.5427300930023193,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
10,10,0,-2.2427301406860352,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
11,11,0,-1.942730188369751,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
12,12,0,-1.6427299976348877,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
13,13,0,-1.3427300453186035,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
14,14,0,-1.0427298545837402,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
15,15,0,-0.74273014068603516,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
16,16,0,-0.44272994995117188,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
17,17,0,-0.1427302360534668,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
18,18,0,0.15726995468139648,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
19,19,0,0.45727014541625977,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
20,20,0,0.75726985931396484,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
21,21,0,1.0572700500488281,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
22,22,0,1.3572702407836914,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
23,23,0,1.6572699546813965,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
24,24,0,1.9572701454162598,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
25,25,0,2.2572698593139648,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
26,26,0,2.5572700500488281,-7.300879955291748,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
27,0,1,-5.2427301406860352,-7.000880241394043,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
28,1,1,-4.9427304267883301,-7.000880241394043,Free,1,91.499604827143244,1,31.915382432114647,0,0,0
29,2,1,-4.6427302360534668,-7.000880241394043,Free,0.99999999999998368,31.747564798571158,0.99999996862044538,4.319277321072085,1,1,0
30,3,1,-4.3427300453186035,-7.000880241394043,Free,0.18811111059631058,-1.4623306930288438,0.041921624445660499,0.010706423178576473,2,1,0
31,4,1,-4.0427303314208984,-7.000880241394043,Free,0.10007006734430202,-2.1964462936147813,2.3331362926093391e-06,5.832847535830356e-07,3,1,0
32,5,1,-3.7427301406860352,-7.000880241394043,Free,0.10001897787579062,-2.197013729833043,2.0471164985380597e-08,5.1177913000194201e-09,4,1,0
33,6,1,-3.442730188369751,-7.000880241394043,Free,0.10000290451636229,-2.1971923053487901,1.3631940021241462e-10,3.4079839023949946e-11,5,1,0
34,7,1,-3.1427302360534668,-7.000880241394043,Free,0.10005551092348552,-2.1966079414114121,2.0469548278612137e-08,5.1173871183327358e-09,6,1,0
35,8,1,-2.8427300453186035,-7.000880241394043,Free,0.099999685828489393,-2.1972280681356553,3.888564268361705e-07,9.7214125597172922e-08,7,1,0
36,9,1,-2.5427300930023193,-7.000880241394043,Free,0.099999685828489393,-2.1972280681356553,2.0469542394430107e-08,5.1173856377587527e-09,8,1,0
37,10,1,-2.2427301406860352,-7.000880241394043,Free,0.099999685828489393,-2.1972280681356553,6.815970010620731e-11,1.7039919508897128e-11,9,1,0
38,11,1,-1.942730188369751,-7.000880241394043,Free,0.099999685828489393,-2.1972280681356553,5.8841820305133297e-15,1.4805739834142482e-15,10,1,0
