case,source_MI_min_separation,two_step_min_separation,passing_worlds,gate_pass,representative_distance_m,confounding_median_nonzero_contrasts,zero_source_contrasts,total_source_leaves,source_vs_fixed_false_residual,forward_seconds,selection_seconds,forward_calls
House01_seed0,0.0,0.0,0,False,0.13542243823578207,0.14131220720354615,27,123,0.985149145010473,84.252003834,8.780293000047095,5320
House01_seed1,0.0,0.0,0,False,0.13542243823578207,0.13909785234272776,28,121,0.9871975323591057,82.096591555,6.805423399957363,5180
House02_seed0,0.0,0.0,0,False,0.5501601460210399,0.09173836306955968,19,123,0.9999999999999977,82.911274822,6.480771099973936,5180
House02_seed1,0.0,0.0,0,False,0.5501601460210399,0.0811298052836964,22,119,1.0,80.346821262,5.680245900002774,5040
House03_seed0,0.0,0.0,0,False,1.0331796637465571,0.05237328200545677,37,160,0.9630875112520634,106.652225858,11.96504569996614,6895
House03_seed1,0.0,0.0,0,False,1.0331796637465571,0.07093407587521638,43,160,0.9187912533779102,108.118020908,10.19783819996519,6965
