"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.057662,-0.14457,-0.00069364,9.953,3.5536,0.05346
-0.1284,-0.40336,-0.010989,9.8569,3.5522,0.044679
-0.040921,-0.15384,0.001282,9.9568,3.6542,0.044664
-0.15595,-0.13976,-0.010079,9.9553,3.5504,0.15339
0.061555,-0.35595,-0.0012997,9.7571,3.5519,0.03963
-0.052323,-0.3023,-0.0026421,9.8622,3.6516,0.038542
-0.12153,-0.37214,-0.017733,9.8595,3.5518,0.14143
0.16936,-0.50124,-0.0091522,9.854,3.4517,0.047447
-0.012734,-0.21189,0.0001137,9.9578,3.7505,0.043013
-0.042199,-0.17848,-0.0053538,9.9616,3.6492,0.14101
-0.10868,-0.13939,-0.034158,9.9541,3.5494,0.24938
0.074695,-0.29318,-0.0014875,9.6549,3.5507,0.039734
0.020121,-0.29133,-0.001707,9.7588,3.6509,0.039129
0.048381,-0.35533,-0.002245,9.7578,3.5533,0.13303
0.18675,-0.39779,0.00033431,9.7574,3.4521,0.039361
-0.021141,-0.26059,-0.0016131,9.8638,3.7503,0.03783
-0.054169,-0.29398,-0.0077072,9.8685,3.6492,0.13217
-0.11389,-0.38169,-0.0097702,9.8566,3.5528,0.24489
0.17403,-0.48522,-0.015636,9.8547,3.4529,0.14512
0.37102,-0.46169,-0.0059222,9.8557,3.3512,0.043773
-0.0041708,-0.22365,-0.0011279,9.9579,3.8498,0.04251
-0.013152,-0.21712,-0.0043331,9.9627,3.7479,0.13794
-0.042639,-0.16682,-0.015714,9.9596,3.6472,0.24434
-0.054733,-0.14689,-0.01609,9.9536,3.549,0.34912
0.086734,-0.24313,-0.0014141,9.5526,3.5503,0.039907
0.040938,-0.26797,-0.0015679,9.6551,3.6505,0.039718
0.074228,-0.29418,-0.0037338,9.6559,3.5516,0.13145
0.14661,-0.30493,-0.0012969,9.6555,3.4508,0.039584
0.0099943,-0.25894,-0.0016468,9.7595,3.7504,0.039067
0.017149,-0.29189,-0.0047295,9.761,3.6508,0.13135
0.054592,-0.35111,-0.0047917,9.7558,3.5552,0.2394
0.18316,-0.40156,0.0024949,9.7588,3.4542,0.13304
0.30212,-0.37453,-6.3849e-05,9.76,3.3513,0.038242
