steady_ns,source_update_id,cell_index,x,y,internal_u,internal_v,magnitude
61980589884999,1,30,-7.1000003814697266,-7.4300003051757812,0.010095000267028809,-0.017982000485062599,0.02062186598777771
61980589884999,1,31,-6.8000001907348633,-7.4300003051757812,0.018473999574780464,-0.020983999595046043,0.027957411482930183
61980589884999,1,32,-6.5,-7.4300003051757812,0.024070000275969505,-0.026198999956250191,0.03557741641998291
61980589884999,1,33,-6.2000002861022949,-7.4300003051757812,0.016932999715209007,-0.033296000212430954,0.037354383617639542
61980589884999,1,34,-5.9000000953674316,-7.4300003051757812,0.010053000412881374,-0.036277998238801956,0.037645131349563599
61980589884999,1,35,-5.6000003814697266,-7.4300003051757812,0.0042464998550713062,-0.035610001534223557,0.035862304270267487
61980589884999,1,36,-5.3000001907348633,-7.4300003051757812,0.0011446999851614237,-0.033814001828432083,0.033833373337984085
61980589884999,1,37,-5,-7.4300003051757812,-0.00018298000213690102,-0.033050999045372009,0.0330515056848526
61980589884999,1,40,-4.1000003814697266,-7.4300003051757812,0.016118999570608139,-0.063468001782894135,0.065482892096042633
61980589884999,1,41,-3.7999999523162842,-7.4300003051757812,0.024821000173687935,-0.078318998217582703,0.08215806633234024
61980589884999,1,42,-3.5,-7.4300003051757812,0.010733000002801418,-0.063789002597332001,0.064685657620429993
61980589884999,1,43,-3.1999998092651367,-7.4300003051757812,0.012365999631583691,-0.061973001807928085,0.063194707036018372
61980589884999,1,44,-2.9000000953674316,-7.4300003051757812,0.0084801996126770973,-0.062950998544692993,0.063519619405269623
61980589884999,1,49,-1.4000000953674316,-7.4300003051757812,4.9600998863752466e-06,2.0457999198697507e-05,2.1050707800895907e-05
61980589884999,1,50,-1.0999999046325684,-7.4300003051757812,1.5206999705696944e-05,1.5703000826761127e-05,2.1859485059394501e-05
61980589884999,1,51,-0.79999971389770508,-7.4300003051757812,-4.1716998566698749e-06,1.4565000128641259e-05,1.5150653780438006e-05
61980589884999,1,52,-0.5,-7.4300003051757812,-1.3169000339985359e-05,1.3005000255361665e-05,1.8508177163312212e-05
61980589884999,1,53,-0.19999980926513672,-7.4300003051757812,-2.5150999135803431e-05,9.7530000857659616e-06,2.6975800210493617e-05
61980589884999,1,54,0.099999904632568359,-7.4300003051757812,-2.3267999495146796e-05,1.4363999980560038e-05,2.7344547561369836e-05
61980589884999,1,55,0.40000009536743164,-7.4300003051757812,-1.3945999853604008e-05,1.0316999578208197e-05,1.7347374523524195e-05
61980589884999,1,56,0.69999980926513672,-7.4300003051757812,-4.6413001655309927e-06,7.3983001129818149e-06,8.7336429714923725e-06
61980589884999,1,59,-7.1000003814697266,-7.130000114440918,0.0071250000037252903,-0.02792700007557869,0.028821570798754692
61980589884999,1,60,-6.8000001907348633,-7.130000114440918,0.013150000013411045,-0.033114999532699585,0.035630404949188232
61980589884999,1,61,-6.5,-7.130000114440918,0.016456000506877899,-0.040068000555038452,0.043315637856721878
61980589884999,1,62,-6.2000002861022949,-7.130000114440918,0.01260599959641695,-0.043673999607563019,0.045456897467374802
61980589884999,1,63,-5.9000000953674316,-7.130000114440918,0.0081428000703454018,-0.047419998794794083,0.048114046454429626
61980589884999,1,64,-5.6000003814697266,-7.130000114440918,0.005133999977260828,-0.048349000513553619,0.048620816320180893
61980589884999,1,65,-5.3000001907348633,-7.130000114440918,0.0028319999109953642,-0.047510001808404922,0.047594331204891205
61980589884999,1,66,-5,-7.130000114440918,0.0015384999569505453,-0.046930000185966492,0.046955212950706482
61980589884999,1,69,-4.1000003814697266,-7.130000114440918,0.010684000328183174,-0.060821998864412308,0.061753246933221817
61980589884999,1,70,-3.7999999523162842,-7.130000114440918,0.011745000258088112,-0.070853002369403839,0.071819864213466644
61980589884999,1,71,-3.5,-7.130000114440918,0.010036000050604343,-0.081944003701210022,0.082556292414665222
61980589884999,1,72,-3.1999998092651367,-7.130000114440918,0.036986000835895538,-0.087686002254486084,0.095167219638824463
61980589884999,1,73,-2.9000000953674316,-7.130000114440918,0.039937999099493027,-0.024916000664234161,0.047072824090719223
61980589884999,1,74,-2.5999999046325684,-7.130000114440918,-0.017610000446438789,-0.055725999176502228,0.058442272245883942
61980589884999,1,78,-1.4000000953674316,-7.130000114440918,1.3141000287930638e-08,4.6575998567277566e-05,4.6576002205256373e-05
61980589884999,1,79,-1.0999999046325684,-7.130000114440918,-6.1933001234137919e-06,2.3574999431730248e-05,2.4374936401727609e-05
61980589884999,1,80,-0.79999971389770508,-7.130000114440918,-5.015900114813121e-06,3.669099896796979e-05,3.7032266845926642e-05
61980589884999,1,81,-0.5,-7.130000114440918,-1.840699951571878e-05,2.7424999643699266e-05,3.3029504265869036e-05
61980589884999,1,82,-0.19999980926513672,-7.130000114440918,-2.7539999791770242e-05,1.8942999304272234e-05,3.3425869332859293e-05
