source_update_id,query_id,cell_index,x,y,service_u,service_v,internal_u,internal_v,internal_magnitude,raw_component_max_abs_diff,float32_component_max_abs_diff,angle_abs_rad
1,21,30,-7.1000003814697266,-7.4300003051757812,0.010095,-0.017982,0.010095000267028809,-0.0179820004850626,0.020621866351911586,4.850625977270706e-10,0.0,2.2337998117905045e-10
1,21,31,-6.8000001907348633,-7.4300003051757812,0.018474,-0.020984,0.018473999574780464,-0.020983999595046043,0.027957412242442633,4.252195366649669e-10,0.0,1.844493557889848e-09
1,21,32,-6.5,-7.4300003051757812,0.02407,-0.026199,0.024070000275969505,-0.02619899995625019,0.03557741575765122,2.7596950419317423e-10,0.0,6.544077835179962e-09
1,21,33,-6.2000002861022949,-7.4300003051757812,0.016933,-0.033296,0.016932999715209007,-0.033296000212430954,0.037354385411909406,2.847909928715975e-10,0.0,9.373628984121751e-09
1,21,34,-5.9000000953674316,-7.4300003051757812,0.010053,-0.036278,0.010053000412881374,-0.036277998238801956,0.037645132135721224,1.761198041572154e-09,0.0,2.30629750852529e-08
1,21,35,-5.6000003814697266,-7.4300003051757812,0.0042465,-0.03561,0.004246499855071306,-0.035610001534223557,0.0358623057023182,1.5342235537563198e-09,0.0,9.078568119491592e-09
1,21,36,-5.3000001907348633,-7.4300003051757812,0.0011447,-0.033814,0.0011446999851614237,-0.03381400182843208,0.03383337195298803,1.8284320862926862e-09,0.0,2.26676388770386e-09
1,21,37,-5,-7.4300003051757812,-0.00018298,-0.033051,-0.00018298000213690102,-0.03305099904537201,0.03305150555690865,9.546279877703512e-10,0.0,2.2455526327291864e-10
1,21,40,-4.1000003814697266,-7.4300003051757812,0.016119,-0.063468,0.01611899957060814,-0.06346800178289413,0.06548289393017628,1.7828941378805752e-09,0.0,1.3057600778410006e-08
1,21,41,-3.7999999523162842,-7.4300003051757812,0.024821,-0.078319,0.024821000173687935,-0.0783189982175827,0.08215806431159353,1.7824172970914987e-09,0.0,8.5696139073832e-09
1,21,42,-3.5,-7.4300003051757812,0.010733,-0.063789,0.010733000002801418,-0.063789002597332,0.06468565638085899,2.597332002252095e-09,0.0,6.61972165971747e-09
1,21,43,-3.1999998092651367,-7.4300003051757812,0.012366,-0.061973,0.01236599963158369,-0.061973001807928085,0.06319470626542847,1.8079280850180623e-09,0.0,1.1315362868913326e-08
1,21,44,-2.9000000953674316,-7.4300003051757812,0.0084802,-0.062951,0.008480199612677097,-0.062950998544693,0.06351961904203132,1.455306999909034e-09,0.0,2.984346769707713e-09
1,21,49,-1.4000000953674316,-7.4300003051757812,4.9601e-06,2.0458e-05,4.9600998863752466e-06,2.0457999198697507e-05,2.1050708351424368e-05,8.013024922412515e-13,0.0,3.723504615749107e-09
1,21,50,-1.0999999046325684,-7.4300003051757812,1.5207e-05,1.5703e-05,1.5206999705696944e-05,1.5703000826761127e-05,2.1859484783826162e-05,8.267611279562295e-13,0.0,3.5982971158254884e-08
1,21,51,-0.79999971389770508,-7.4300003051757812,-4.1717e-06,1.4565e-05,-4.171699856669875e-06,1.4565000128641259e-05,1.5150653729838174e-05,1.4333012536305598e-13,0.0,1.1432559343660387e-08
1,21,52,-0.5,-7.4300003051757812,-1.3169e-05,1.3005e-05,-1.316900033998536e-05,1.3005000255361665e-05,1.8508176614580148e-05,3.3998535899830516e-13,0.0,3.0904798720143845e-09
1,21,53,-0.19999980926513672,-7.4300003051757812,-2.5151e-05,9.753e-06,-2.515099913580343e-05,9.753000085765962e-06,2.697579967678689e-05,8.641965689880262e-13,0.0,1.4546789994795972e-08
1,21,54,0.099999904632568359,-7.4300003051757812,-2.3268e-05,1.4364e-05,-2.3267999495146796e-05,1.4363999980560038e-05,2.7344547828546742e-05,5.048532054105319e-13,0.0,9.093434893969743e-09
1,21,55,0.40000009536743164,-7.4300003051757812,-1.3946e-05,1.0317e-05,-1.3945999853604008e-05,1.0316999578208197e-05,1.7347374216678185e-05,4.217918027381914e-13,0.0,1.4528032110661115e-08
1,21,56,0.69999980926513672,-7.4300003051757812,-4.6413e-06,7.3983e-06,-4.641300165530993e-06,7.398300112981815e-06,8.733642526935983e-06,1.6553099274179686e-13,0.0,9.180617599469088e-09
1,21,59,-7.1000003814697266,-7.130000114440918,0.007125,-0.027927,0.00712500000372529,-0.02792700007557869,0.02882157105840099,7.557868914043198e-11,0.0,5.23017851250529e-10
