steady_ns,event_id,hit,concentration,wind_speed,wind_direction,robot_i,robot_j,robot_x,robot_y
61834629197800,1,0,0.098532147705554962,0.068341091275215149,0.46867799758911133,14,20,-3.1700000762939453,-1.75
61841141167460,2,0,0.063818000257015228,0.059371210634708405,-0.50249385833740234,14,20,-3.1700000762939453,-1.75
61847730080190,3,0,0.00026080961106345057,0.046225424855947495,-0.32657831907272339,14,20,-3.1700000762939453,-1.75
61854116804466,4,0,1.2591756330948556e-06,0.063462540507316589,-1.8354494571685791,14,20,-3.1700000762939453,-1.75
61860513390053,5,0,6.0792375577989333e-09,0.065234854817390442,0.23834459483623505,14,20,-3.1700000762939453,-1.75
61868949734015,6,0,5.5435465246000959e-12,0.084820374846458435,1.677809476852417,6,23,-5.6000003814697266,-0.82999992370605469
61875318140946,7,0,2.676396769680546e-14,0.14654168486595154,0.31505516171455383,6,23,-5.6000003814697266,-0.82999992370605469
61881709732728,8,0,1.2921508786188033e-16,0.11116693913936615,1.6794580221176147,6,23,-5.6000003814697266,-0.82999992370605469
61888308141799,9,0,5.2807251664415914e-19,0.13650776445865631,0.28385302424430847,6,23,-5.6000003814697266,-0.82999992370605469
61894704181871,10,0,2.5495079727948122e-21,0.12925668060779572,1.2612495422363281,6,23,-5.6000003814697266,-0.82999992370605469
61910715185808,11,0,0.0010606658179312944,0.23821568489074707,1.5392643213272095,4,6,-6.2000002861022949,-5.9300003051757812
61917131296259,12,0,5.1208417062298395e-06,0.17853131890296936,1.8879340887069702,4,6,-6.2000002861022949,-5.9300003051757812
61923499366455,13,0,2.4723163960516104e-08,0.24688653647899628,1.4967353343963623,4,6,-6.2000002861022949,-5.9300003051757812
61929937564955,14,0,1.1936221455677298e-10,0.16893419623374939,1.9130419492721558,4,6,-6.2000002861022949,-5.9300003051757812
61936331904627,15,0,5.7627481345884357e-13,0.25076299905776978,1.4865524768829346,4,6,-6.2000002861022949,-5.9300003051757812
61951115857689,16,0,0.02395990677177906,0.14789406955242157,3.0438714027404785,11,24,-4.1000003814697266,-0.52999973297119141
61957292230049,17,0,0.041177559643983841,0.28142893314361572,-2.9686429500579834,11,24,-4.1000003814697266,-0.52999973297119141
61963530129871,18,0,0.025629088282585144,0.18633978068828583,2.8209714889526367,11,24,-4.1000003814697266,-0.52999973297119141
61969716470115,19,0,0.047113712877035141,0.25352513790130615,-2.8210134506225586,11,24,-4.1000003814697266,-0.52999973297119141
61976125779316,20,0,0.047486782073974609,0.22579701244831085,2.7841358184814453,11,24,-4.1000003814697266,-0.52999973297119141
