quartet,mean_delta_nll,positive,full_mean_nll,shuffled_median_mean_nll
1,1.9884369807731952,1,4.92632548478595,6.9147624655591455
2,-1.444866263947715,0,3.622917173413236,2.178050909465521
3,0.2720264938701667,1,4.056868449045651,4.328894942915818
4,1.4817865631021154,1,6.223239218324789,7.705025781426905
