wind	wind_name	edge_index	edge_id	source_1	source_2	orientation	dx_m	dy_m	endpoint1_state	midpoint_state	endpoint2_state	A_parallel_mps	A_perp_mps	U_mps	mean_wind_xyz_mps	sd_abs_along_iteration_mps	circular_direction_sd_rad	endpoint_mean_asymmetry_mps	abs_mean_vertical_mps	energy_A	energy_B	energy_split_mean
W0	3,5-1_slow	0	pmfs_9_15__pmfs_10_15	pmfs_9_15	pmfs_10_15	x	0.30000000000000027	0.0	0	0	0	0.002383904080488719	0.014809099957346916	0.014999748004938723	[0.002383904080488719, -0.014809099957346916, -0.006341937959818592]	0.002489799581996693	0.6501771794737912	0.006161159987895102	0.006341937959818592	5.984750692285621	5.784484962361679	5.88461782732365
W0	3,5-1_slow	1	pmfs_9_15__pmfs_9_16	pmfs_9_15	pmfs_9_16	y	0.0	0.30000000000000027	0	0	0	0.012234002076597377	0.0030703086482720787	0.012613389790450593	[0.0030703086482720787, -0.012234002076597377, -0.0045370616551901385]	0.0031580683730670664	0.7002318223702938	0.004218169347231278	0.0045370616551901385	7.7328067145678245	8.4890067812176	8.110906747892713
W0	3,5-1_slow	2	pmfs_10_15__pmfs_11_15	pmfs_10_15	pmfs_11_15	x	0.2999999999999998	0.0	0	0	0	0.002804244546992281	0.022804772841151465	0.022976541337108497	[0.002804244546992281, -0.022804772841151465, -0.010654484145892307]	0.0029441754340753935	0.6357514667855237	0.009670125121524148	0.010654484145892307	12.28949557038725	13.31990179090508	12.804698680646165
W0	3,5-1_slow	3	pmfs_10_15__pmfs_10_16	pmfs_10_15	pmfs_10_16	y	0.0	0.30000000000000027	0	0	0	0.017697136277671565	0.004345263897531285	0.01822278658080777	[0.004345263897531285, -0.017697136277671565, -0.008765934567649807]	0.0034944329294294097	0.6694994193825596	0.003310485807708892	0.008765934567649807	5.86404231754843	5.048267009112501	5.456154663330466
W0	3,5-1_slow	4	pmfs_11_15__pmfs_12_15	pmfs_11_15	pmfs_12_15	x	0.2999999999999998	0.0	0	0	0	0.0001071507097301285	0.04175611350431361	0.041756250984250454	[0.0001071507097301285, -0.04175611350431361, -0.01493414101076434]	0.004595786949889276	0.5880097803852831	0.03158816770374956	0.01493414101076434	23.808691473104172	22.40463658409721	23.10666402860069
W0	3,5-1_slow	5	pmfs_11_15__pmfs_11_16	pmfs_11_15	pmfs_11_16	y	0.0	0.30000000000000027	0	0	0	0.026750863826071673	0.0036942897938636384	0.027004749443793677	[0.0036942897938636384, -0.026750863826071673, -0.01324178049832302]	0.008266593601234804	0.6421500570155988	0.0031097105640577093	0.01324178049832302	4.224499893133704	9.38840043280279	6.806450162968247
W0	3,5-1_slow	6	pmfs_12_15__pmfs_12_16	pmfs_12_15	pmfs_12_16	y	0.0	0.30000000000000027	0	0	0	0.056620249630544676	0.00053269812865024	0.056622755456807845	[-0.00053269812865024, -0.056620249630544676, -0.01677393642868]	0.01714660963034107	0.5821434469680524	0.00543092337862888	0.01677393642868	7.779588784106998	3.9917589047984006	5.8856738444526995
W0	3,5-1_slow	7	pmfs_9_16__pmfs_10_16	pmfs_9_16	pmfs_10_16	x	0.30000000000000027	0.0	0	0	0	0.005926623904749497	0.015681188595904547	0.01676378676459096	[0.005926623904749497, -0.015681188595904547, -0.007869324082011271]	0.00395293514464306	0.7040252869335167	0.004822169176147708	0.007869324082011271	11.336354001409685	11.027144616644641	11.181749309027163
W0	3,5-1_slow	8	pmfs_10_16__pmfs_11_16	pmfs_10_16	pmfs_11_16	x	0.2999999999999998	0.0	0	0	0	0.005875684119845656	0.02240913657640869	0.023166636915537487	[0.005875684119845656, -0.02240913657640869, -0.012243768943087409]	0.003278515822832088	0.6735924506687162	0.008348025393847594	0.012243768943087409	7.508646732227303	8.291816987140802	7.900231859684053
W0	3,5-1_slow	9	pmfs_11_16__pmfs_12_16	pmfs_11_16	pmfs_12_16	x	0.2999999999999998	0.0	0	0	0	0.0033983681483236564	0.03913627238944173	0.03928354264335283	[0.0033983681483236564, -0.03913627238944173, -0.016504040378177622]	0.0033254868340641267	0.6211576055729678	0.028761065395879436	0.016504040378177622	14.969116899566043	19.92700155664116	17.448059228103602
