t_sim_s,step,x,y,z,yaw,vx,vy,vz
0.0,1,-5.142730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
0.2,2,-5.0727302360534665,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
0.4,3,-5.002730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
0.6000000000000001,4,-4.932730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
0.8,5,-4.8627302360534665,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
1.0,6,-4.792730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
1.2000000000000002,7,-4.722730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
1.4000000000000001,8,-4.652730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
1.6,9,-4.582730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
1.8,10,-4.512730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
2.0,11,-4.442730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
2.2,12,-4.372730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
2.4000000000000004,13,-4.302730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
2.6,14,-4.232730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
2.8000000000000003,15,-4.162730236053466,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
3.0,16,-4.092730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
3.2,17,-4.022730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
3.4000000000000004,18,-3.952730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
3.6,19,-3.882730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
3.8000000000000003,20,-3.8127302360534667,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
4.0,21,-3.742730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
4.2,22,-3.672730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
4.4,23,-3.6027302360534668,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
4.6000000000000005,24,-3.5327302360534665,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
4.800000000000001,25,-3.4627302360534666,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
5.0,26,-3.392730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
5.2,27,-3.322730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
5.4,28,-3.252730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
5.6000000000000005,29,-3.182730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
5.800000000000001,30,-3.1127302360534665,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
6.0,31,-3.042730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
6.2,32,-2.972730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
6.4,33,-2.902730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
6.6000000000000005,34,-2.8327302360534667,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
6.800000000000001,35,-2.762730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
7.0,36,-2.692730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
7.2,37,-2.622730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
7.4,38,-2.552730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
7.6000000000000005,39,-2.4827302360534667,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
7.800000000000001,40,-2.412730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
8.0,41,-2.342730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
8.200000000000001,42,-2.2727302360534667,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
8.4,43,-2.202730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
8.6,44,-2.132730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
8.8,45,-2.0627302360534667,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
9.0,46,-1.9927302360534669,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
9.200000000000001,47,-1.9227302360534666,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
9.4,48,-1.8527302360534668,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
9.600000000000001,49,-1.7827302360534665,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
9.8,50,-1.7127302360534666,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
10.0,51,-1.6427302360534668,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
10.200000000000001,52,-1.5727302360534665,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
10.4,53,-1.5027302360534671,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
10.600000000000001,54,-1.4327302360534664,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
10.8,55,-1.362730236053467,-6.000880241394043,0.4,0.0,0.3499999999999999,0.0,0.0
11.0,56,-1.2927302360534672,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
11.200000000000001,57,-1.2227302360534669,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
11.4,58,-1.152730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
11.600000000000001,59,-1.0827302360534663,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
11.8,60,-1.012730236053467,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
12.0,61,-0.9427302360534675,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
12.200000000000001,62,-0.8727302360534663,-6.000880241394043,0.4,0.0,0.35,0.0,0.0
12.4,63,-0.8427300453186035,-6.0408800506591795,0.4,-1.5707963267948966,0.0,-0.35,0.0
12.600000000000001,64,-0.8427300453186035,-6.11088005065918,0.4,-1.5707963267948966,0.0,-0.35,0.0
12.8,65,-0.8427300453186035,-6.180880050659179,0.4,-1.5707963267948966,0.0,-0.35,0.0
13.0,66,-0.8427300453186035,-6.2508800506591795,0.4,-1.5707963267948966,0.0,-0.35,0.0
