"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.060691,0.075623,-0.0025109,0.34294,0.34327,0.13059
-0.064986,0.05371,-0.0026264,0.34212,0.23582,0.23569
-0.06799,0.030259,-0.0025775,0.34302,0.13061,0.34303
-0.069192,0.0085702,-0.0025994,0.34482,0.039682,0.4478
-0.038484,0.11165,-0.00080393,0.24024,0.54932,0.039009
-0.039863,0.092795,-0.0029792,0.23694,0.44708,0.13021
-0.042052,0.072318,-0.0038899,0.23564,0.34233,0.23573
-0.044165,0.050146,-0.0042416,0.23568,0.23578,0.34221
-0.045373,0.027459,-0.0043411,0.23702,0.13022,0.44696
-0.046308,0.0076291,-0.0046097,0.2403,0.039009,0.54925
-0.021323,0.12931,-0.00086926,0.13596,0.64984,0.037514
-0.020433,0.11031,-0.0032942,0.12907,0.5491,0.12924
-0.021557,0.090536,-0.0049825,0.13016,0.44709,0.23709
-0.022812,0.069639,-0.0056801,0.13059,0.34321,0.34319
-0.02346,0.047695,-0.0058175,0.13018,0.23709,0.44706
-0.023477,0.025615,-0.0058625,0.1291,0.12924,0.54906
-0.025064,0.0070914,-0.0061248,0.13598,0.037513,0.64981
-0.0064944,0.14814,-0.00095025,0.042114,0.74998,0.042259
-0.0063868,0.12863,-0.003942,0.037364,0.64984,0.13634
-0.0067563,0.10904,-0.0061156,0.038984,0.54933,0.24074
-0.0072575,0.088922,-0.00706,0.039679,0.44797,0.34517
-0.0075774,0.068169,-0.007241,0.03968,0.34515,0.44798
-0.0077427,0.047054,-0.0070447,0.038987,0.24072,0.54933
-0.0076755,0.02621,-0.0068942,0.037369,0.13633,0.64984
-0.0073318,0.0067894,-0.0070399,0.042117,0.042257,0.74998
-0.22718,0.0068273,0.005425,0.84994,0.042254,0.042282
-0.16635,0.035281,0.0018347,0.7499,0.13629,0.037399
-0.19045,0.0099519,0.0075476,0.74993,0.037487,0.13615
-0.12225,0.057614,0.00024718,0.64971,0.24068,0.038976
-0.14238,0.036415,0.0018435,0.64957,0.1292,0.12913
-0.15567,0.010963,0.0061,0.6497,0.038992,0.24037
-0.092319,0.077262,-0.00041644,0.54908,0.34506,0.039708
-0.10535,0.05845,-0.0012201,0.54852,0.237,0.13014
-0.11664,0.035812,0.00093853,0.54852,0.13018,0.2369
-0.12237,0.010553,0.0028271,0.54909,0.039709,0.34478
-0.070575,0.094598,-0.00072969,0.44759,0.44783,0.039875
-0.077973,0.077252,-0.002559,0.44632,0.34287,0.13069
-0.085598,0.056357,-0.0021066,0.44566,0.23541,0.2353
-0.090951,0.032735,-0.0011851,0.44636,0.1307,0.34264
-0.092868,0.009406,-0.00041135,0.44763,0.039875,0.44766
-0.052934,0.11147,-0.00088992,0.34465,0.54919,0.039711
-0.056333,0.09414,-0.0032131,0.34255,0.44653,0.13069
-0.060584,0.074548,-0.0038239,0.34099,0.3412,0.23473
-0.064507,0.052476,-0.0036895,0.34102,0.23478,0.34105
-0.066789,0.029308,-0.0032588,0.34261,0.1307,0.44638
-0.067416,0.0082362,-0.003155,0.34469,0.039711,0.54911
-0.037382,0.12901,-0.00097206,0.2402,0.64974,0.039007
-0.037958,0.11101,-0.0035708,0.23678,0.54861,0.13018
-0.039766,0.09181,-0.004913,0.23525,0.44582,0.23534
-0.042036,0.071049,-0.0054303,0.2347,0.34116,0.34112
-0.043696,0.048873,-0.0053064,0.23529,0.23536,0.44574
-0.044526,0.026605,-0.0051403,0.23683,0.13018,0.54855
-0.045188,0.0073529,-0.0052492,0.24023,0.039007,0.64971
-0.02149,0.1478,-0.0010255,0.13595,0.74994,0.03751
-0.020005,0.12882,-0.0038544,0.12904,0.64961,0.12921
-0.020764,0.10945,-0.0059481,0.13012,0.54862,0.23694
-0.021955,0.089339,-0.0069122,0.13068,0.44652,0.34281
-0.022796,0.068276,-0.0070424,0.13069,0.3428,0.44651
-0.023182,0.046521,-0.0067957,0.13013,0.23693,0.5486
-0.023017,0.024878,-0.0065916,0.12905,0.1292,0.6496
-0.024481,0.0068621,-0.006706,0.13596,0.037509,0.74993
-0.0065915,0.16791,-0.0011141,0.042113,0.84999,0.042258
-0.0063053,0.14767,-0.0045193,0.03736,0.74994,0.13633
-0.0065191,0.12784,-0.0070808,0.03898,0.64975,0.2407
-0.0069532,0.10785,-0.0083573,0.039707,0.54919,0.34508
-0.0072769,0.087475,-0.0086674,0.039874,0.44783,0.44784
-0.0074858,0.066736,-0.0083535,0.039709,0.34507,0.5492
-0.0075704,0.045883,-0.0078553,0.038982,0.24069,0.64975
-0.0074597,0.025473,-0.0075028,0.037362,0.13632,0.74994
-0.0071136,0.0065839,-0.0075094,0.042114,0.042257,0.84999
-0.25762,0.0034793,0.0072598,0.94998,0.042351,0.042295
-0.18923,0.029223,0.0027925,0.84986,0.13631,0.037424
-0.22221,0.007955,0.012292,0.85,0.037491,0.13627
-0.13803,0.051534,0.00065808,0.74987,0.24065,0.038971
-0.16714,0.034277,0.0041933,0.74979,0.12917,0.12912
-0.18738,0.010349,0.01165,0.74988,0.038986,0.24038
-0.10462,0.072682,-0.00030748,0.64964,0.34501,0.039704
-0.1237,0.056951,-0.00045835,0.64929,0.23689,0.1301
-0.14173,0.036729,0.0035798,0.64928,0.13012,0.23682
-0.15172,0.011022,0.007667,0.64963,0.039705,0.34473
-0.082039,0.091324,-0.00075962,0.549,0.44777,0.039904
-0.093306,0.076731,-0.0025185,0.54814,0.34264,0.13065
-0.10577,0.058044,-0.0012189,0.54766,0.23517,0.2351
-0.11501,0.035095,0.0010843,0.54815,0.13066,0.34246
-0.11864,0.010262,0.0031162,0.54901,0.039904,0.4476
-0.065205,0.10902,-0.00097666,0.44753,0.54911,0.039904
-0.071022,0.094072,-0.0034507,0.446,0.44621,0.13078
-0.078398,0.07642,-0.0037352,0.4447,0.34057,0.23422
-0.085186,0.055158,-0.0028452,0.44472,0.23426,0.34043
-0.089211,0.031637,-0.0015149,0.44603,0.13079,0.44606
-0.090042,0.0089985,-0.00076106,0.44755,0.039904,0.54903
-0.050893,0.1271,-0.0010836,0.34462,0.64968,0.039708
-0.052928,0.11096,-0.0038999,0.34236,0.54825,0.13066
-0.056503,0.093215,-0.0050803,0.34037,0.44486,0.23424
