"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.057744,0.025394,0.0054331,0.051646,0.05198,0.051618
-0.090089,0.01994,0.0051684,0.15079,0.044456,0.044181
-0.039082,0.085931,0.0053238,0.043907,0.15133,0.044
-0.042669,0.02752,0.019105,0.044161,0.044478,0.15077
-0.14951,0.013915,0.0053094,0.24813,0.042959,0.042788
-0.076188,0.065168,0.0042482,0.13994,0.14081,0.036968
-0.088502,0.019928,0.015604,0.14029,0.037182,0.14026
-0.027768,0.12652,0.0041307,0.042591,0.24851,0.04282
-0.034708,0.080524,0.014674,0.036847,0.14084,0.14014
-0.04948,0.024048,0.02402,0.042851,0.043025,0.24823
-0.19164,0.0095612,0.0056071,0.34848,0.042647,0.042433
-0.12946,0.048373,0.0042719,0.24376,0.13794,0.03717
-0.14634,0.013596,0.016496,0.24397,0.037317,0.13758
-0.058484,0.10313,0.0033413,0.13726,0.24437,0.037278
-0.073186,0.063398,0.013453,0.13009,0.13061,0.13021
-0.086127,0.018858,0.025079,0.13763,0.03731,0.24389
-0.019474,0.15808,0.0032795,0.04226,0.34872,0.042463
-0.025556,0.12212,0.011567,0.037078,0.24436,0.13767
-0.035454,0.080521,0.020625,0.037215,0.13802,0.24413
-0.039574,0.025681,0.034828,0.042437,0.042506,0.34861
-0.22634,0.0062438,0.0061204,0.44934,0.042494,0.042317
-0.16875,0.03467,0.0045776,0.34672,0.13714,0.037438
-0.18867,0.0094063,0.017909,0.34686,0.037508,0.13666
-0.10161,0.078839,0.0033938,0.24163,0.24222,0.038288
-0.1282,0.046094,0.01403,0.23992,0.1297,0.12952
-0.14455,0.013467,0.027635,0.24184,0.038293,0.24183
-0.043105,0.1329,0.0026649,0.13638,0.34712,0.037495
-0.055948,0.10292,0.010773,0.12936,0.24028,0.12955
-0.072244,0.061616,0.022519,0.1295,0.12974,0.23999
-0.085484,0.018929,0.034846,0.13669,0.037518,0.34683
-0.013326,0.1809,0.0026044,0.042162,0.4494,0.04233
-0.018028,0.15481,0.0093775,0.037321,0.34712,0.1368
-0.025887,0.12166,0.017659,0.038266,0.24223,0.24207
-0.03316,0.078201,0.030422,0.037386,0.13687,0.34709
-0.039451,0.024794,0.043106,0.042231,0.042327,0.44935
-0.25537,0.0034629,0.0068158,0.54979,0.042305,0.042272
-0.20063,0.023549,0.005001,0.44867,0.13677,0.03748
-0.22333,0.0062998,0.019715,0.44862,0.037534,0.13635
-0.13353,0.057155,0.0036461,0.34557,0.24136,0.038828
-0.16895,0.033012,0.015281,0.34512,0.12957,0.12937
-0.18666,0.009603,0.030417,0.3457,0.038825,0.2409
-0.076593,0.10299,0.0026515,0.24071,0.34599,0.038839
-0.10088,0.078286,0.011072,0.23812,0.23839,0.12986
-0.12689,0.045943,0.024773,0.23816,0.12992,0.23824
-0.14227,0.013647,0.038498,0.24091,0.038842,0.34568
-0.031421,0.15469,0.0021064,0.13609,0.44877,0.037532
-0.041452,0.1338,0.0085899,0.12923,0.34542,0.12941
-0.056147,0.10138,0.018911,0.1298,0.23845,0.23823
-0.071639,0.060987,0.032037,0.12936,0.12947,0.34526
-0.08446,0.018707,0.04495,0.13623,0.037536,0.44864
-0.0093111,0.19655,0.0020381,0.042129,0.54978,0.04228
-0.012366,0.17806,0.0074934,0.037373,0.44878,0.13649
-0.018532,0.15414,0.014799,0.038819,0.34598,0.24118
-0.025494,0.11998,0.026588,0.038823,0.2412,0.34597
-0.03265,0.076164,0.039925,0.037402,0.13648,0.44876
-0.037148,0.024318,0.052977,0.042154,0.042275,0.54976
-0.27969,0.00086164,0.0076063,0.64992,0.042244,0.042206
-0.22612,0.013904,0.0054832,0.54955,0.13643,0.037428
-0.25192,0.003735,0.021911,0.54945,0.03752,0.13625
-0.15914,0.038167,0.0039538,0.44806,0.24099,0.038969
-0.2016,0.022541,0.016765,0.44778,0.12944,0.12926
-0.22112,0.0066347,0.033486,0.44809,0.038969,0.24055
-0.10082,0.074858,0.002791,0.34499,0.34543,0.039496
-0.13424,0.056827,0.011952,0.34375,0.23764,0.13014
-0.16762,0.033628,0.027201,0.34381,0.13018,0.23736
-0.18409,0.0099447,0.042235,0.3451,0.039497,0.34512
-0.056299,0.12078,0.0020219,0.24036,0.44826,0.038987
-0.076425,0.10359,0.0085278,0.23729,0.34404,0.13016
-0.10103,0.078245,0.020265,0.23648,0.23668,0.23655
-0.12555,0.045979,0.035101,0.23741,0.13018,0.34384
-0.13963,0.01377,0.04874,0.24048,0.038989,0.44809
-0.022297,0.17024,0.0016299,0.13599,0.54954,0.037523
-0.030447,0.15614,0.0067628,0.12913,0.44794,0.12931
-0.042377,0.13256,0.015373,0.13011,0.34405,0.23743
-0.056721,0.10037,0.027652,0.13013,0.23749,0.34398
-0.071013,0.060005,0.041652,0.12921,0.12932,0.44785
-0.082912,0.018533,0.05423,0.13605,0.037522,0.54948
-0.0064233,0.2067,0.0015869,0.042118,0.64993,0.042263
