"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0079881,0.0055548,0.00098358,0.051646,0.05198,0.051618
-0.021457,0.0053942,0.00095238,0.15079,0.044456,0.044181
-0.0075312,0.018864,0.00092035,0.043907,0.15133,0.044
-0.0071954,0.0055162,0.0030483,0.044161,0.044478,0.15077
-0.035908,0.004897,0.00090929,0.24813,0.042959,0.042788
-0.020541,0.018077,0.00087886,0.13994,0.14081,0.036968
-0.020336,0.0051813,0.0029763,0.14029,0.037182,0.14026
-0.0076438,0.031248,0.00090059,0.042591,0.24851,0.04282
-0.0073856,0.018037,0.0028046,0.036847,0.14084,0.14014
-0.007217,0.0051693,0.0046129,0.042851,0.043025,0.24823
-0.050193,0.0044993,0.00092061,0.34848,0.042647,0.042433
-0.035881,0.017316,0.00081415,0.24376,0.13794,0.03717
-0.035415,0.0047741,0.0029489,0.24397,0.037317,0.13758
-0.020849,0.030914,0.00087276,0.13726,0.24437,0.037278
-0.019086,0.017051,0.0028545,0.13009,0.13061,0.13021
-0.019994,0.0050107,0.0047531,0.13763,0.03731,0.24389
-0.0079171,0.044864,0.00094202,0.04226,0.34872,0.042463
-0.007492,0.030912,0.0027802,0.037078,0.24436,0.13767
-0.0072306,0.017923,0.0046037,0.037215,0.13802,0.24413
-0.0069479,0.0050964,0.0065185,0.042437,0.042506,0.34861
-0.063939,0.0040543,0.00096763,0.44934,0.042494,0.042317
-0.050672,0.016447,0.00083492,0.34672,0.13714,0.037438
-0.049952,0.0044315,0.0030371,0.34686,0.037508,0.13666
-0.036723,0.029976,0.00082263,0.24163,0.24222,0.038288
-0.035125,0.016295,0.0027814,0.23992,0.1297,0.12952
-0.035116,0.0047327,0.004886,0.24184,0.038293,0.24183
-0.021491,0.04462,0.00090311,0.13638,0.34712,0.037495
-0.019385,0.030398,0.0028369,0.12936,0.24028,0.12955
-0.018887,0.016867,0.0047793,0.1295,0.12974,0.23999
-0.019751,0.0049758,0.0066117,0.13669,0.037518,0.34683
-0.0083223,0.059235,0.0009841,0.042162,0.4494,0.04233
-0.0077275,0.044804,0.0028552,0.037321,0.34712,0.1368
-0.007464,0.030848,0.0046097,0.038266,0.24223,0.24207
-0.0070799,0.017796,0.0065432,0.037386,0.13687,0.34709
-0.0067761,0.005104,0.0082372,0.042231,0.042327,0.44935
-0.076934,0.0035409,0.0010364,0.54979,0.042305,0.042272
-0.064772,0.015414,0.00088912,0.44867,0.13677,0.03748
-0.06378,0.0040461,0.0031963,0.44862,0.037534,0.13635
-0.052013,0.028568,0.00085641,0.34557,0.24136,0.038828
-0.050218,0.015521,0.0029011,0.34512,0.12957,0.12937
-0.049636,0.0044325,0.0051095,0.3457,0.038825,0.2409
-0.038095,0.043482,0.00085118,0.24071,0.34599,0.038839
-0.035864,0.029406,0.0027695,0.23812,0.23839,0.12986
-0.03476,0.016268,0.0049344,0.23816,0.12992,0.23824
-0.034752,0.0047455,0.0068492,0.24091,0.038842,0.34568
-0.022438,0.058884,0.00093319,0.13609,0.44877,0.037532
-0.020056,0.04443,0.0028747,0.12923,0.34542,0.12941
-0.019325,0.030219,0.0047769,0.1298,0.23845,0.23823
-0.018694,0.016754,0.0066669,0.12936,0.12947,0.34526
-0.019506,0.0049767,0.0083451,0.13623,0.037536,0.44864
-0.0088702,0.074325,0.0010228,0.042129,0.54978,0.04228
-0.0081411,0.059239,0.0029163,0.037373,0.44878,0.13649
-0.0077835,0.044778,0.0045979,0.038819,0.34598,0.24118
-0.0073521,0.030799,0.0065593,0.038823,0.2412,0.34597
-0.0069552,0.017751,0.0082761,0.037402,0.13648,0.44876
-0.0066641,0.00512,0.009756,0.042154,0.042275,0.54976
-0.089016,0.0029771,0.0011133,0.64992,0.042244,0.042206
-0.078035,0.014101,0.00095964,0.54955,0.13643,0.037428
-0.076781,0.0035944,0.0034237,0.54945,0.03752,0.13625
-0.066599,0.026723,0.00092193,0.44806,0.24099,0.038969
-0.064396,0.014531,0.0030928,0.44778,0.12944,0.12926
-0.063441,0.0040538,0.0054096,0.44809,0.038969,0.24055
-0.054065,0.041614,0.00089353,0.34499,0.34543,0.039496
-0.051422,0.028036,0.002914,0.34375,0.23764,0.13014
-0.049819,0.015576,0.0051919,0.34381,0.13018,0.23736
-0.049204,0.0044668,0.0072,0.3451,0.039497,0.34512
-0.039992,0.057455,0.00087556,0.24036,0.44826,0.038987
-0.037199,0.043214,0.0028015,0.23729,0.34404,0.13016
-0.035448,0.029288,0.0049459,0.23648,0.23668,0.23655
-0.034405,0.016255,0.0069184,0.23741,0.13018,0.34384
-0.034342,0.0047682,0.0086411,0.24048,0.038989,0.44809
-0.023601,0.073894,0.00096257,0.13599,0.54954,0.037523
-0.020968,0.058871,0.0029272,0.12913,0.44794,0.12931
-0.020087,0.044289,0.004762,0.13011,0.34405,0.23743
-0.019203,0.030104,0.0066817,0.13013,0.23749,0.34398
-0.018472,0.016725,0.0083855,0.12921,0.12932,0.44785
-0.019249,0.0049869,0.009898,0.13605,0.037522,0.54948
-0.0095291,0.090333,0.0010672,0.042118,0.64993,0.042263
-0.008693,0.074372,0.0029643,0.037371,0.54954,0.13637
-0.0082213,0.059236,0.0045927,0.038965,0.44826,0.24085
-0.0077123,0.044757,0.0065571,0.039494,0.34539,0.3454
-0.0072311,0.03078,0.0082946,0.038969,0.24083,0.44826
-0.0068381,0.017748,0.0097941,0.037383,0.13636,0.54954
-0.0065577,0.0051394,0.011061,0.042126,0.04226,0.64992
-0.10003,0.0023581,0.0011973,0.74995,0.042233,0.042209
-0.090323,0.012537,0.0010393,0.64982,0.13632,0.0374
-0.088858,0.0030729,0.0036899,0.64981,0.037495,0.13614
-0.080301,0.024384,0.00099881,0.54925,0.24076,0.038981
-0.077663,0.013301,0.0033326,0.54903,0.12928,0.12919
-0.076416,0.0035967,0.0057919,0.54923,0.038998,0.24044
-0.069339,0.039026,0.00096664,0.44774,0.34518,0.039679
-0.066111,0.026247,0.0031289,0.4469,0.23727,0.13018
-0.06398,0.014641,0.0055186,0.44693,0.13022,0.237
-0.062953,0.0040954,0.0076623,0.44778,0.03968,0.34488
-0.056856,0.055104,0.00092597,0.34474,0.44797,0.039681
-0.053412,0.041341,0.0029704,0.34294,0.34327,0.13059
-0.050899,0.027962,0.0052219,0.34212,0.23582,0.23569
-0.049349,0.015631,0.0072941,0.34302,0.13061,0.34303
-0.048688,0.0045036,0.0090939,0.34482,0.039682,0.4478
-0.042328,0.072163,0.00089735,0.24024,0.54932,0.039009
-0.039051,0.057369,0.0028495,0.23694,0.44708,0.13021
-0.036758,0.043091,0.0049566,0.23564,0.34233,0.23573
-0.035072,0.029229,0.006949,0.23568,0.23578,0.34221
-0.033999,0.016272,0.0086946,0.23702,0.13022,0.44696
-0.033892,0.0047897,0.010245,0.2403,0.039009,0.54925
-0.024933,0.089876,0.00099651,0.13596,0.64984,0.037514
-0.022047,0.073995,0.0029876,0.12907,0.5491,0.12924
-0.021042,0.058776,0.0047739,0.13016,0.44709,0.23709
-0.020036,0.044204,0.0066804,0.13059,0.34321,0.34319
-0.018992,0.03006,0.0084171,0.13018,0.23709,0.44706
-0.018225,0.016729,0.0099185,0.1291,0.12924,0.54906
-0.018972,0.0049997,0.011231,0.13598,0.037513,0.64981
-0.0103,0.10743,0.0011192,0.042114,0.74998,0.042259
-0.0093511,0.090427,0.0030098,0.037364,0.64984,0.13634
-0.0087751,0.074375,0.0045915,0.038984,0.54933,0.24074
-0.008175,0.059236,0.0065501,0.039679,0.44797,0.34517
-0.0075999,0.044749,0.008305,0.03968,0.34515,0.44798
-0.0071068,0.030791,0.0098131,0.038987,0.24072,0.54933
-0.0067238,0.01776,0.011088,0.037369,0.13633,0.64984
-0.0064435,0.0051605,0.012133,0.042117,0.042257,0.74998
-0.10983,0.0016946,0.0012847,0.84994,0.042254,0.042282
-0.10153,0.01071,0.0011269,0.7499,0.13629,0.037399
-0.099867,0.00249,0.0039896,0.74993,0.037487,0.13615
-0.093029,0.021571,0.0010833,0.64971,0.24068,0.038976
-0.089952,0.011824,0.0036067,0.64957,0.1292,0.12913
-0.088452,0.0030707,0.0062393,0.6497,0.038992,0.24037
-0.08374,0.03571,0.0010514,0.54908,0.34506,0.039708
-0.079849,0.023979,0.0033835,0.54852,0.237,0.13014
-0.077246,0.013445,0.0059227,0.54852,0.13018,0.2369
-0.075862,0.0036406,0.0082243,0.54909,0.039709,0.34478
-0.073041,0.051781,0.0010099,0.44759,0.44783,0.039875
-0.068791,0.038782,0.0032141,0.44632,0.34287,0.13069
-0.065557,0.026197,0.0055755,0.44566,0.23541,0.2353
-0.063455,0.014736,0.0077777,0.44636,0.1307,0.34264
-0.062337,0.0041419,0.0096931,0.44763,0.039875,0.44766
-0.060316,0.069331,0.00095731,0.34465,0.54919,0.039711
-0.056153,0.054995,0.0030473,0.34255,0.44653,0.13069
-0.052775,0.041243,0.005266,0.34099,0.3412,0.23473
-0.050354,0.027963,0.0073489,0.34102,0.23478,0.34105
-0.048804,0.015691,0.0091702,0.34261,0.1307,0.44638
-0.048088,0.004536,0.010786,0.34469,0.039711,0.54911
-0.045051,0.08789,0.00092069,0.2402,0.64974,0.039007
-0.041317,0.072205,0.0029057,0.23678,0.54861,0.13018
-0.038571,0.057297,0.0050061,0.23525,0.44582,0.23534
-0.036386,0.043036,0.006979,0.2347,0.34116,0.34112
-0.034633,0.02921,0.0087422,0.23529,0.23536,0.44574
-0.033541,0.016299,0.010279,0.23683,0.13018,0.54855
-0.033397,0.0048103,0.011626,0.24023,0.039007,0.64971
