"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.06035,0.025139,0.0057871,0.051646,0.05198,0.051618
-0.092041,0.019523,0.0053632,0.15079,0.044456,0.044181
-0.039402,0.088334,0.0056102,0.043907,0.15133,0.044
-0.044245,0.028571,0.020014,0.044161,0.044478,0.15077
-0.15156,0.012437,0.0055997,0.24813,0.042959,0.042788
-0.073189,0.064459,0.0041053,0.13994,0.14081,0.036968
-0.090246,0.019671,0.015673,0.14029,0.037182,0.14026
-0.025458,0.12461,0.0040953,0.042591,0.24851,0.04282
-0.033682,0.08215,0.01484,0.036847,0.14084,0.14014
-0.049981,0.023788,0.023736,0.042851,0.043025,0.24823
-0.19007,0.0072773,0.0059638,0.34848,0.042647,0.042433
-0.1235,0.044915,0.0042224,0.24376,0.13794,0.03717
-0.14727,0.01233,0.016989,0.24397,0.037317,0.13758
-0.050817,0.098001,0.0030065,0.13726,0.24437,0.037278
-0.070464,0.062707,0.012835,0.13009,0.13061,0.13021
-0.086754,0.018458,0.0251,0.13763,0.03731,0.24389
-0.015038,0.14941,0.0030409,0.04226,0.34872,0.042463
-0.022241,0.11926,0.011055,0.037078,0.24436,0.13767
-0.033956,0.082148,0.019619,0.037215,0.13802,0.24413
-0.039851,0.026353,0.033128,0.042437,0.042506,0.34861
-0.21987,0.0032743,0.0065916,0.44934,0.042494,0.042317
-0.15773,0.028159,0.0045683,0.34672,0.13714,0.037438
-0.18598,0.007352,0.018724,0.34686,0.037508,0.13666
-0.087627,0.070434,0.0031377,0.24163,0.24222,0.038288
-0.12255,0.042871,0.01378,0.23992,0.1297,0.12952
-0.14502,0.012185,0.028367,0.24184,0.038293,0.24183
-0.032887,0.12145,0.0022816,0.13638,0.34712,0.037495
-0.048727,0.098015,0.0096637,0.12936,0.24028,0.12955
-0.069278,0.060772,0.021768,0.1295,0.12974,0.23999
-0.08587,0.018451,0.035576,0.13669,0.037518,0.34683
-0.0089274,0.16467,0.0022694,0.042162,0.4494,0.04233
-0.013384,0.14538,0.0084396,0.037321,0.34712,0.1368
-0.022319,0.11867,0.016247,0.038266,0.24223,0.24207
-0.031517,0.079646,0.029016,0.037386,0.13687,0.34709
-0.046876,0.022776,0.041006,0.042231,0.042327,0.44935
-0.24251,-0.000247,0.007351,0.54979,0.042305,0.042272
-0.18299,0.014333,0.0050201,0.44867,0.13677,0.03748
-0.21556,0.0035949,0.020833,0.44862,0.037534,0.13635
-0.11256,0.044305,0.0034202,0.34557,0.24136,0.038828
-0.15842,0.026919,0.015221,0.34512,0.12957,0.12937
-0.1837,0.0075593,0.031699,0.3457,0.038825,0.2409
-0.058461,0.088109,0.0023358,0.24071,0.34599,0.038839
-0.087498,0.070244,0.010213,0.23812,0.23839,0.12986
-0.12131,0.042754,0.024528,0.23816,0.12992,0.23824
-0.14254,0.012333,0.039884,0.24091,0.038842,0.34568
-0.020095,0.1364,0.0017052,0.13609,0.44877,0.037532
-0.031921,0.12253,0.007334,0.12923,0.34542,0.12941
-0.049022,0.096469,0.017457,0.1298,0.23845,0.23823
-0.068759,0.059921,0.031655,0.12936,0.12947,0.34526
-0.0846,0.017842,0.045608,0.13623,0.037536,0.44864
-0.0048187,0.17233,0.0016535,0.042129,0.54978,0.04228
-0.0080598,0.16131,0.0063452,0.037373,0.44878,0.13649
