"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.069262,0.028079,0.0057828,0.051646,0.05198,0.051618
-0.10396,0.02276,0.0055818,0.15079,0.044456,0.044181
-0.047692,0.10289,0.0058906,0.043907,0.15133,0.044
-0.051147,0.032675,0.020964,0.044161,0.044478,0.15077
-0.17262,0.015265,0.0055514,0.24813,0.042959,0.042788
-0.08864,0.076791,0.0044584,0.13994,0.14081,0.036968
-0.1035,0.023135,0.016284,0.14029,0.037182,0.14026
-0.034873,0.15188,0.0045664,0.042591,0.24851,0.04282
-0.042313,0.096341,0.015639,0.036847,0.14084,0.14014
-0.060193,0.027191,0.024919,0.042851,0.043025,0.24823
-0.21885,0.01032,0.0057366,0.34848,0.042647,0.042433
-0.15016,0.056076,0.0043292,0.24376,0.13794,0.03717
-0.16917,0.015171,0.016873,0.24397,0.037317,0.13758
-0.069607,0.12212,0.0034134,0.13726,0.24437,0.037278
-0.085033,0.074841,0.013913,0.13009,0.13061,0.13021
-0.099706,0.021832,0.025388,0.13763,0.03731,0.24389
-0.02545,0.19221,0.0037263,0.04226,0.34872,0.042463
-0.031929,0.14655,0.01207,0.037078,0.24436,0.13767
-0.0433,0.097066,0.020713,0.037215,0.13802,0.24413
-0.046999,0.030687,0.034968,0.042437,0.042506,0.34861
-0.25685,0.0068528,0.0061728,0.44934,0.042494,0.042317
-0.19421,0.040049,0.0045919,0.34672,0.13714,0.037438
-0.21576,0.010349,0.018111,0.34686,0.037508,0.13666
-0.12063,0.092561,0.0033509,0.24163,0.24222,0.038288
-0.14844,0.053415,0.014189,0.23992,0.1297,0.12952
-0.1673,0.015045,0.027936,0.24184,0.038293,0.24183
-0.053492,0.15954,0.002719,0.13638,0.34712,0.037495
-0.06623,0.12206,0.010837,0.12936,0.24028,0.12955
-0.083755,0.072782,0.022602,0.1295,0.12974,0.23999
-0.09908,0.022,0.035649,0.13669,0.037518,0.34683
-0.018582,0.2235,0.0029624,0.042162,0.4494,0.04233
-0.023519,0.18831,0.009873,0.037321,0.34712,0.1368
-0.032212,0.14645,0.017582,0.038266,0.24223,0.24207
-0.039984,0.094633,0.030687,0.037386,0.13687,0.34709
-0.056018,0.026559,0.042538,0.042231,0.042327,0.44935
-0.28862,0.0041633,0.0067531,0.54979,0.042305,0.042272
-0.23022,0.027969,0.0050056,0.44867,0.13677,0.03748
-0.25383,0.0070553,0.019734,0.44862,0.037534,0.13635
-0.15781,0.067516,0.0036001,0.34557,0.24136,0.038828
-0.19427,0.038082,0.015381,0.34512,0.12957,0.12937
-0.21378,0.010571,0.030653,0.3457,0.038825,0.2409
-0.095387,0.12331,0.0025913,0.24071,0.34599,0.038839
-0.11949,0.091998,0.010866,0.23812,0.23839,0.12986
-0.14711,0.053415,0.024857,0.23816,0.12992,0.23824
-0.1649,0.015306,0.039003,0.24091,0.038842,0.34568
-0.041499,0.1896,0.0021359,0.13609,0.44877,0.037532
-0.051231,0.16093,0.0085362,0.12923,0.34542,0.12941
-0.066346,0.12038,0.018671,0.1298,0.23845,0.23823
-0.083021,0.072201,0.032324,0.12936,0.12947,0.34526
-0.097776,0.021477,0.045488,0.13623,0.037536,0.44864
-0.013637,0.2472,0.0023136,0.042129,0.54978,0.04228
-0.017227,0.22,0.0079433,0.037373,0.44878,0.13649
-0.023909,0.18774,0.014613,0.038819,0.34598,0.24118
-0.031322,0.14475,0.026625,0.038823,0.2412,0.34597
-0.041385,0.09283,0.040029,0.037402,0.13648,0.44876
-0.045605,0.028891,0.055645,0.042154,0.042275,0.54976
-0.31566,0.0018705,0.0074119,0.64992,0.042244,0.042206
-0.25964,0.018321,0.0054666,0.54955,0.13643,0.037428
-0.28525,0.0045244,0.02163,0.54945,0.03752,0.13625
-0.18849,0.047218,0.0039359,0.44806,0.24099,0.038969
-0.23115,0.026659,0.016821,0.44778,0.12944,0.12926
-0.25174,0.0073921,0.033493,0.44809,0.038969,0.24055
-0.1257,0.091333,0.0027166,0.34499,0.34543,0.039496
-0.15839,0.067098,0.011783,0.34375,0.23764,0.13014
-0.19299,0.038905,0.027312,0.34381,0.13018,0.23736
-0.21134,0.01098,0.042573,0.3451,0.039497,0.34512
-0.075793,0.14849,0.0019613,0.24036,0.44826,0.038987
-0.094839,0.12415,0.0082003,0.23729,0.34404,0.13016
-0.11959,0.092152,0.019954,0.23648,0.23668,0.23655
-0.14573,0.053635,0.035207,0.23741,0.13018,0.34384
-0.16254,0.015484,0.049225,0.24048,0.038989,0.44809
-0.033016,0.21364,0.0016539,0.13599,0.54954,0.037523
-0.040021,0.19165,0.0066748,0.12913,0.44794,0.12931
-0.052094,0.15954,0.014954,0.13011,0.34405,0.23743
-0.06689,0.11944,0.02746,0.13013,0.23749,0.34398
-0.082659,0.070725,0.041698,0.12921,0.12932,0.44785
-0.096728,0.021636,0.054339,0.13605,0.037522,0.54948
-0.010555,0.26579,0.0017972,0.042118,0.64993,0.042263
-0.012704,0.24398,0.0062423,0.037371,0.54954,0.13637
-0.017769,0.21935,0.011915,0.038965,0.44826,0.24085
-0.024008,0.18618,0.022558,0.039494,0.34539,0.3454
-0.031766,0.14255,0.035461,0.038969,0.24083,0.44826
-0.038859,0.08999,0.049878,0.037383,0.13636,0.54954
-0.042003,0.028515,0.06465,0.042126,0.04226,0.64992
-0.33863,-0.00036122,0.0081348,0.74995,0.042233,0.042209
-0.2834,0.010171,0.0059293,0.64982,0.13632,0.0374
-0.31187,0.0023561,0.023665,0.64981,0.037495,0.13614
