"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.085212,0.030248,0.0062729,0.051646,0.05198,0.051618
-0.1168,0.025752,0.0059781,0.15079,0.044456,0.044181
-0.057835,0.12437,0.0066853,0.043907,0.15133,0.044
-0.06278,0.040082,0.021983,0.044161,0.044478,0.15077
-0.19818,0.015699,0.0058023,0.24813,0.042959,0.042788
-0.095107,0.089742,0.0040431,0.13994,0.14081,0.036968
-0.12008,0.026726,0.015219,0.14029,0.037182,0.14026
-0.041837,0.1779,0.0051079,0.042591,0.24851,0.04282
-0.049646,0.11477,0.014728,0.036847,0.14084,0.14014
-0.076517,0.029911,0.024098,0.042851,0.043025,0.24823
-0.24628,0.0094687,0.0058925,0.34848,0.042647,0.042433
-0.16406,0.063699,0.0037242,0.24376,0.13794,0.03717
-0.19369,0.016112,0.016148,0.24397,0.037317,0.13758
-0.071305,0.13959,0.0026666,0.13726,0.24437,0.037278
-0.092199,0.087313,0.011607,0.13009,0.13061,0.13021
-0.11275,0.024996,0.022396,0.13763,0.03731,0.24389
-0.030287,0.22144,0.0042351,0.04226,0.34872,0.042463
-0.036356,0.17043,0.010604,0.037078,0.24436,0.13767
-0.05216,0.11836,0.016631,0.037215,0.13802,0.24413
-0.057958,0.037873,0.032325,0.042437,0.042506,0.34861
-0.28416,0.0052056,0.0063354,0.44934,0.042494,0.042317
-0.20929,0.043263,0.0039159,0.34672,0.13714,0.037438
-0.24249,0.010008,0.017628,0.34686,0.037508,0.13666
-0.12682,0.10409,0.0023887,0.24163,0.24222,0.038288
-0.1625,0.060507,0.011933,0.23992,0.1297,0.12952
-0.19289,0.015966,0.026022,0.24184,0.038293,0.24183
-0.053064,0.18025,0.0020012,0.13638,0.34712,0.037495
-0.068314,0.13942,0.0078816,0.12936,0.24028,0.12955
-0.0913,0.084674,0.018508,0.1295,0.12974,0.23999
-0.11526,0.025232,0.032725,0.13669,0.037518,0.34683
-0.02215,0.25562,0.0034607,0.042162,0.4494,0.04233
-0.026358,0.21622,0.0086669,0.037321,0.34712,0.1368
-0.037479,0.17185,0.01343,0.038266,0.24223,0.24207
-0.047888,0.11447,0.026268,0.037386,0.13687,0.34709
-0.073484,0.029587,0.042396,0.042231,0.042327,0.44935
-0.31407,0.0020731,0.006937,0.54979,0.042305,0.042272
-0.24526,0.027844,0.0043378,0.44867,0.13677,0.03748
-0.28051,0.0059305,0.019424,0.44862,0.037534,0.13635
-0.16385,0.073515,0.0025046,0.34557,0.24136,0.038828
-0.21041,0.041072,0.013269,0.34512,0.12957,0.12937
-0.24193,0.010303,0.029434,0.3457,0.038825,0.2409
-0.098273,0.1383,0.0016528,0.24071,0.34599,0.038839
-0.12644,0.10338,0.0075864,0.23812,0.23839,0.12986
-0.16326,0.06057,0.021264,0.23816,0.12992,0.23824
-0.19187,0.016252,0.037066,0.24091,0.038842,0.34568
-0.041017,0.2126,0.0015838,0.13609,0.44877,0.037532
