house,carrier_index,carrier_id,x,y,free_cells,geometry_prior,occupancy_sha256
House01,0,quadtree_0_0_2_2,-7.1000003814697266,-7.4300003051757812,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,1,quadtree_0_2_2_2,-7.1000003814697266,-6.9800000190734863,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,2,quadtree_0_4_2_2,-7.1000003814697266,-6.380000114440918,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,3,quadtree_0_6_2_2,-7.1000003814697266,-5.7800002098083496,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,4,quadtree_0_8_2_2,-7.1000003814697266,-5.179999828338623,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,5,quadtree_0_10_2_2,-7.1000003814697266,-4.5800001621246338,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,6,quadtree_0_12_2_2,-7.1000003814697266,-3.9800000190734863,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,7,quadtree_0_18_2_2,-7.1000003814697266,-2.179999828338623,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,8,quadtree_0_20_2_2,-7.1000003814697266,-1.5799999237060547,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,9,quadtree_0_22_2_2,-7.1000003814697266,-0.97999978065490723,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,10,quadtree_0_24_2_2,-7.1000003814697266,-0.37999987602233887,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,11,quadtree_0_26_2_2,-7.1000003814697266,0.22000002861022949,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,12,quadtree_0_28_2_2,-7.1000003814697266,0.67000007629394531,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,13,quadtree_2_0_2_2,-6.6500000953674316,-7.4300003051757812,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,14,quadtree_2_2_2_2,-6.6500000953674316,-6.9800000190734863,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,15,quadtree_2_4_2_2,-6.6500000953674316,-6.380000114440918,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,16,quadtree_2_6_2_2,-6.6500000953674316,-5.7800002098083496,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,17,quadtree_2_8_2_2,-6.6500000953674316,-5.179999828338623,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,18,quadtree_2_10_2_2,-6.6500000953674316,-4.5800001621246338,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,19,quadtree_2_12_2_2,-6.6500000953674316,-3.9800000190734863,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,20,quadtree_2_18_2_2,-6.6500000953674316,-2.179999828338623,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,21,quadtree_2_20_2_2,-6.6500000953674316,-1.5799999237060547,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,22,quadtree_2_22_2_2,-6.6500000953674316,-0.97999978065490723,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,23,quadtree_2_24_2_2,-6.6500000953674316,-0.37999987602233887,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,24,quadtree_2_26_2_2,-6.6500000953674316,0.22000002861022949,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
