house,seed,update_id,native_top5_error,prca_top5_error,improvement_pct,native_expected_distance,prca_expected_distance,expected_distance_improvement_pct,native_entropy,prca_entropy,kl_prca_to_native,grid_offset_i,grid_offset_j
House02,332814273,5,4.918792618,4.901717678,0.347136825,4.926062350,4.908603782,0.354412240,2.216625079,2.224761194,0.022291253,1,1
House02,783030861,5,3.015488344,3.011365560,0.136720287,3.025249284,3.022304606,0.097336708,2.097550759,2.162732870,0.013542864,1,1
House02,845534703,5,3.152192896,3.146037178,0.195283652,3.158374201,3.151641129,0.213181595,1.798202608,1.720810050,0.010066217,1,1
